{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 3, 'width': 3, 'seed': 3, 'uniform_seed': 994768, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 3, 'width': 3, 'seed': 11, 'uniform_seed': 990149, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 3, 'width': 3, 'seed': 15, 'uniform_seed': 989356, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 3, 'width': 3, 'seed': 17, 'uniform_seed': 987536, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 3, 'width': 3, 'seed': 18, 'uniform_seed': 991265, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 5, 'width': 3, 'seed': 0, 'uniform_seed': 982714, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 5, 'width': 3, 'seed': 8, 'uniform_seed': 981352, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 5, 'width': 3, 'seed': 9, 'uniform_seed': 983838, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 5, 'width': 3, 'seed': 11, 'uniform_seed': 982728, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 5, 'width': 3, 'seed': 15, 'uniform_seed': 977057, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 5, 'width': 3, 'seed': 19, 'uniform_seed': 990810, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 8, 'width': 3, 'seed': 2, 'uniform_seed': 985463, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 8, 'width': 3, 'seed': 4, 'uniform_seed': 986274, 'uniform_errors': 1, 'area_uniform_control_errors': 0}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 8, 'width': 3, 'seed': 7, 'uniform_seed': 993192, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '2', 'depth': 8, 'width': 3, 'seed': 8, 'uniform_seed': 982777, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
