a,seed,step,loss,loss_before,last
1.3,1,50,0.6925785544692638,0.7592137832930582,True
1.3,2,50,0.6931027748356297,0.701074526775605,True
1.3,3,100,0.6944531734320388,0.7166583864092574,True
1.3,7,50,0.6849630890225313,0.694954624577319,True
1.3,11,150,0.6931301279129233,0.695228272072255,True
1.3,12,50,0.6926105263562823,0.7037360504038681,True
1.3,15,100,0.6930012164395193,0.6933569902580287,True
1.3,16,300,0.6931396474393563,0.6931735433875502,True
1.3,22,50,0.7285087280137594,0.9015413615964747,True
1.3,23,50,0.6931086057693565,0.6969198830306746,True
1.3,25,100,0.6943783628159139,0.7388108056419395,True
1.3,26,250,0.6930827179571546,0.6931580346696761,True
1.3,28,50,0.6944075260446531,0.7952062054686988,True
1.3,32,50,0.6928618487797172,0.7808817437055845,True
1.3,37,200,0.6931305865354475,0.6932799633648271,True
1.5,1,50,0.6925191096655433,0.7636491780348952,True
1.5,2,50,0.6931064568642458,0.7021915299658229,True
1.5,3,100,0.6929467615926665,0.7169027795691477,True
1.5,7,50,0.6848079370358326,0.6961465736429798,True
1.5,11,150,0.6931215714745389,0.6953604797993777,True
1.5,12,50,0.692617215647065,0.7044650468155781,True
1.5,15,100,0.6930025943053351,0.6933457461830728,True
1.5,16,300,0.6931351250328762,0.6931554352159328,True
1.5,22,50,0.7286943426046907,0.91037788237655,True
1.5,23,50,0.6931113533304034,0.6966944592984854,True
1.5,25,100,0.6942738504316239,0.7412025484647805,True
1.5,26,200,0.6931453635461216,0.6935200426701522,True
1.5,28,50,0.6944637884697725,0.803388731261756,True
1.5,32,50,0.6925442518471828,0.7863840038657273,True
1.5,37,200,0.6931381121886829,0.6933088612171816,True
