budget,eps,rate
2000,0.25,0.7
2000,0.23148,0.7
2000,0.21433,0.7
2000,0.19846,0.7
2000,0.18376,0.625
2000,0.17015,0.325
8000,0.25,0.825
8000,0.23148,0.775
8000,0.21433,0.75
8000,0.19846,0.75
8000,0.18376,0.725
8000,0.17015,0.575
8000,0.15754,0.4
32000,0.25,0.875
32000,0.23148,0.85
32000,0.21433,0.825
32000,0.19846,0.8
32000,0.18376,0.55
32000,0.17015,0.35
128000,0.25,0.9
128000,0.23148,0.9
128000,0.21433,0.85
128000,0.19846,0.85
128000,0.18376,0.575
128000,0.17015,0.35
