act,a,depth,seed,budget,heldout_errors,heldout_acc,strat_errors,big_errors,train_acc,perfect,wout_fro,train_loss
0.9,0.9,5,107,1000,1143,0.94285,8028,,0.9447000026702881,False,1.3888437747955322,0.13017675280570984
0.9,0.9,5,107,4000,875,0.95625,4614,,0.9623000025749207,False,1.3807398080825806,0.111407570540905
0.9,0.9,5,107,16000,36,0.9982,0,,1.0,False,7.103020668029785,1.506780336058e-06
0.9,0.9,5,107,64000,33,0.99835,0,,1.0,False,8.191803932189941,1.0467327699048568e-10
0.9,0.9,5,103,1000,391,0.98045,85,,0.9842000007629395,False,1.4951519966125488,0.051916271448135376
0.9,0.9,5,103,4000,91,0.99545,23,,0.9991999864578247,False,2.595595359802246,0.0028641719836741686
0.9,0.9,5,103,16000,71,0.99645,13,,1.0,False,4.171916484832764,2.2625685858201905e-07
0.9,0.9,5,103,64000,60,0.997,7,,1.0,False,4.892458438873291,1.1885627593244408e-08
0.9,0.9,5,106,1000,2068,0.8966,11296,,0.892799973487854,False,1.231793761253357,0.22374367713928223
0.9,0.9,5,106,4000,1245,0.93775,8283,,0.9416000247001648,False,1.6909958124160767,0.13284210860729218
0.9,0.9,5,106,16000,30,0.9985,0,,1.0,False,6.768789291381836,1.4233422007237095e-05
0.9,0.9,5,106,64000,34,0.9983,0,,1.0,False,8.42374324798584,1.7588201728369057e-10
0.9,0.9,5,105,1000,378,0.9811,772,,0.9836000204086304,False,1.3097150325775146,0.04539722204208374
0.9,0.9,5,105,4000,185,0.99075,254,,0.993399977684021,False,1.8550080060958862,0.023705292493104935
0.9,0.9,5,105,16000,141,0.99295,99,,0.996999979019165,False,3.142744302749634,0.014703953638672829
0.9,0.9,5,105,64000,107,0.99465,146,,0.9990000128746033,False,5.248533725738525,0.003850365523248911
0.9,0.9,5,108,1000,1058,0.9471,8021,,0.948199987411499,False,1.4871021509170532,0.12801465392112732
0.9,0.9,5,108,4000,91,0.99545,23,,0.9966999888420105,False,2.6297433376312256,0.013585484586656094
0.9,0.9,5,108,16000,29,0.99855,0,,1.0,False,5.053555011749268,4.3270858895994024e-07
0.9,0.9,5,108,64000,30,0.9985,0,,1.0,False,5.873684883117676,8.873944634668618e-11
0.9,0.9,5,102,1000,1113,0.94435,7574,,0.948199987411499,False,1.3019142150878906,0.12995341420173645
0.9,0.9,5,102,4000,88,0.9956,41,,0.9983000159263611,False,2.1272215843200684,0.0071177431382238865
0.9,0.9,5,102,16000,145,0.99275,161,,1.0,False,9.151999473571777,0.0001440898486180231
0.9,0.9,5,102,64000,147,0.99265,176,,1.0,False,14.431605339050293,1.5584906805088394e-06
0.9,0.9,5,104,1000,1530,0.9235,7891,,0.9248999953269958,False,1.4503151178359985,0.16855497658252716
0.9,0.9,5,104,4000,168,0.9916,195,,0.9926000237464905,False,2.2859673500061035,0.024760782718658447
0.9,0.9,5,104,16000,79,0.99605,30,,0.998199999332428,False,5.017907619476318,0.006933167111128569
0.9,0.9,5,104,64000,65,0.99675,27,,0.9988999962806702,False,6.89376163482666,0.005054879002273083
0.9,0.9,5,100,1000,659,0.96705,2064,,0.9699000120162964,False,1.5538098812103271,0.08535278588533401
0.9,0.9,5,100,4000,276,0.9862,524,,0.989799976348877,False,2.9238040447235107,0.03386296331882477
0.9,0.9,5,100,16000,203,0.98985,38,,0.9926999807357788,False,5.89707088470459,0.024063635617494583
0.9,0.9,5,100,64000,116,0.9942,73,,0.996999979019165,False,8.900270462036133,0.013222582638263702
0.9,0.9,5,101,1000,667,0.96665,2167,,0.9685999751091003,False,1.470970630645752,0.08371637016534805
0.9,0.9,5,101,4000,381,0.98095,884,,0.9854999780654907,False,2.0857036113739014,0.04447660595178604
0.9,0.9,5,101,16000,94,0.9953,46,,0.9972000122070312,False,5.091325283050537,0.011840756051242352
0.9,0.9,5,101,64000,66,0.9967,16,,0.9984999895095825,False,8.511249542236328,0.006895141676068306
0.9,0.9,5,109,1000,1113,0.94435,7964,,0.9419999718666077,False,1.2141175270080566,0.13616244494915009
0.9,0.9,5,109,4000,131,0.9934499999999999,1,,0.9955999851226807,False,1.7028371095657349,0.016792288050055504
0.9,0.9,5,109,16000,110,0.9945,0,,0.9988999962806702,False,5.416897773742676,0.0037859913427382708
0.9,0.9,5,109,64000,116,0.9942,0,,0.9997000098228455,False,10.493000984191895,0.0011402376694604754
0.9,0.9,5,110,1000,1212,0.9394,8863,,0.9409000277519226,False,1.4189268350601196,0.1402459293603897
0.9,0.9,5,110,4000,109,0.99455,11,,0.996999979019165,False,2.6034164428710938,0.015120790340006351
0.9,0.9,5,110,16000,70,0.9965,6,,1.0,False,8.025075912475586,6.026109531376278e-06
0.9,0.9,5,110,64000,54,0.9973,9,,1.0,False,11.15504264831543,2.0810507805890666e-07
0.9,0.9,5,112,1000,332,0.9834,373,,0.9873999953269958,False,1.3449794054031372,0.03985682502388954
0.9,0.9,5,112,4000,142,0.9929,21,,0.9969000220298767,False,1.8691972494125366,0.0132467495277524
0.9,0.9,5,112,16000,119,0.99405,108,,0.9988999962806702,False,7.778082847595215,0.003950459882616997
0.9,0.9,5,112,64000,103,0.99485,46,,0.9998000264167786,False,12.378403663635254,0.0008349106064997613
0.9,0.9,5,111,1000,334,0.9833,695,,0.9865999817848206,False,1.4150986671447754,0.04254021495580673
0.9,0.9,5,111,4000,196,0.9902,100,,0.9940999746322632,False,2.076331615447998,0.020503224804997444
0.9,0.9,5,111,16000,145,0.99275,15,,0.9965999722480774,False,3.6195430755615234,0.013667195104062557
0.9,0.9,5,111,64000,148,0.9926,87,,0.9976000189781189,False,4.039674282073975,0.010430296882987022
0.9,0.9,5,115,1000,625,0.96875,1397,,0.9718000292778015,False,1.707804560661316,0.0736033096909523
0.9,0.9,5,115,4000,243,0.98785,383,,0.9890000224113464,False,3.4217379093170166,0.03404466062784195
0.9,0.9,5,115,16000,188,0.9906,7,,0.9918000102043152,False,6.657410621643066,0.024847786873579025
0.9,0.9,5,115,64000,102,0.9949,37,,0.9970999956130981,False,8.999996185302734,0.011727453209459782
