a,kind,w2_frozen,w2_lo,w2_hi,steps_outside_frozen_bracket,argmin_separation_lo,argmin_separation_hi,glob_G_lo,glob_G_hi,solve_margin_lo,solve_margin_hi,all_converged,unresolved,Ghat_cert,R_lo,R_hi,R_frozen,frozen_within_one_step
1.3,glob,4.999999999999998,4.95,4.9625,0,0.0002697350642552879,0.00014571699550973053,-0.00027129783980983646,0.00014642415336707515,-0.173843326801002,-0.17280770818356217,True,0,0.0861017938777792,0.21310193984750353,0.21364007605923968,0.21525448469444794,True
1.3,solve,7.1499999999999995,7.1,7.1125,0,0.05134483147519571,0.051543087596331,0.048582124338802046,0.04875618126250769,-0.0005142137261167079,0.00035941032727748734,True,0,0.0861017938777792,0.3056613682661162,0.30619950447785227,0.30781391311306067,True
1.35,glob,4.05,4.025,4.0375,0,0.0003144422099969042,0.00022790670549818707,-0.0003645414002897418,0.0002642025295309658,-0.16843048862044974,-0.16715994807803192,True,0,0.1069135506612335,0.21516352070573241,0.21583173039736508,0.2164999400889978,True
1.35,solve,5.749999999999999,5.7125,5.725,0,0.05349917732197313,0.05375594470174072,0.05852685332146912,0.058788749974124865,-0.0004983562822928889,0.0005967597496372434,True,0,0.1069135506612335,0.3053718290761482,0.30604003876778085,0.30737645815104625,True
1.4,glob,3.3999999999999986,3.375,3.3875,0,0.0002078709108076535,0.00048239801818150024,-0.00027212287959876846,0.0006259157882499977,-0.1628181826552506,-0.16127020347411047,True,0,0.1287718955556904,0.21730257375022757,0.21810739809745064,0.2189122224446736,True
1.4,solve,4.749999999999999,4.7375,4.75,0,0.055242813488946094,0.05559488060480578,0.06846334805593113,0.06887447392372748,-0.0004722220485522399,0.0009654602702955373,True,0,0.1287718955556904,0.3050284275975416,0.30583325194476474,0.3058332519447647,True
1.45,glob,2.8999999999999986,2.8875,2.9,0,0.0005543935138133169,0.000249666188269441,-0.0008014669360005833,0.0003636695159712211,-0.1583318671001095,-0.15661567448104385,True,0,0.1515453187373201,0.21879355392700592,0.21974071216911414,0.21974071216911403,True
1.45,solve,4.05,4.0125,4.025,0,0.056241808780757865,0.056712641150726495,0.07777992748824358,0.07839476293372671,-0.0015787804726290489,0.00013097173716936084,True,0,0.1515453187373201,0.3040377957167485,0.3049849539588567,0.3068792704430732,True
1.5,glob,2.55,2.525,2.5375,0,0.00015794388141006146,0.0008244693580938673,-0.00025260426594497787,0.001318309656547001,-0.15238222304398263,-0.1504458826956565,True,0,0.1751262004888403,0.2210968281171609,0.22219136687021615,0.22328590562327139,True
1.5,solve,3.4999999999999982,3.475,3.4875,0,0.057610755091847786,0.05817424461525003,0.08777534025975342,0.08859228582516598,-0.00028844332119071225,0.0017508570381199462,True,0,0.1751262004888403,0.3042817733493601,0.3053763121024153,0.3064708508554704,True
1.6,glob,2.05,2.0,2.0125,0,0.0002471035241314923,0.0011246311666304916,-0.0004656256981130369,0.0021110533205663806,-0.14270429992273925,-0.14016047784935814,True,0,0.2243602021255619,0.2243602021255619,0.22576245338884668,0.22996920717870092,True
1.6,solve,2.749999999999999,2.7,2.7125,0,0.058573775447580516,0.05935014875641554,0.10546324179907929,0.10679003413250365,-0.0009639975100039777,0.001458109608577729,True,0,0.2243602021255619,0.3028862728695086,0.30428852413279334,0.3084952779226475,True
