a,seed,w2,g_own,g_maxorient,margin,bound_perplace,ok,agrees_with_maxorient
1.45,2,4.7791523847302555,0.10446792552642892,0.10446792552642892,0.0211140015299999,0.4042197913589919,True,True
1.45,5,-5.573053067418152,0.13412739051201505,0.13412739051201505,0.150668024817282,2.2466406636575136,True,True
1.45,7,5.301648807159364,0.11710120328551721,0.11710120328551721,0.0704275757538948,1.2028497364314463,True,True
1.45,10,5.702454903930816,0.12162506860393885,0.12162506860393885,0.1070102856144394,1.7596748243227525,True,True
1.45,19,5.7597004400552185,0.13563343948739126,0.13563343948739126,0.1229769276413357,1.8133718072196772,True,True
1.45,63,5.425660040800892,0.11255705997061316,0.11255705997061316,0.0136565152101866,0.24265941583321557,True,True
1.45,75,5.6381927371768095,0.1343687961243334,0.1343687961243334,0.0764271493335719,1.137572882067839,True,True
1.45,89,5.159769104814388,0.10712193262035274,0.10712193262035274,0.0287277337831639,0.536355778512266,True,True
1.45,106,5.325075939569917,0.13343516525881416,0.13343516525881416,0.0629183548752756,0.9430550747733942,True,True
1.5,1,-5.2510346572860795,0.15745283311148217,0.15745283311148217,0.2353151360325416,2.9890238413929353,True,True
1.5,2,4.799569464187649,0.14422937540026481,0.14422937540026481,0.1124377128894558,1.5591513528699557,True,True
1.5,5,-5.532884483066316,0.17255698453198853,0.17255698453198853,0.2524720339225439,2.9262453166680222,True,True
1.5,7,5.242843971113431,0.1541352326391614,0.1541352326391614,0.1579252303307221,2.0491775647483954,True,True
1.5,10,5.660366251603245,0.15878519795333457,0.15878519795333457,0.2089107671819867,2.6313632489016205,True,True
1.5,19,5.6937097687028215,0.17281841492690164,0.17281841492690164,0.2198731337319621,2.544556768732818,True,True
1.5,34,4.605460664235719,0.15552557723538207,0.15552557723538207,0.1064429109698537,1.368815507545185,True,True
1.5,38,5.291050453092938,0.13685824808775449,0.13685824808775449,0.016750308787639,0.24478332905297143,True,True
1.5,40,4.186976019213142,0.1294577542121349,0.1294577542121349,0.0926542284895521,1.4314202969676888,True,True
1.5,51,-4.761000855429658,0.13096286952987013,0.13096286952987013,0.0493289523878264,0.7533272990261626,True,True
1.5,63,5.405950029219115,0.15118346003377825,0.15118346003377825,0.1080970911403618,1.430012133816889,True,True
1.5,67,-4.972968515680847,0.1453968569334485,0.1453968569334485,0.0665553127636009,0.9154986451194719,True,True
1.5,69,-5.24902654641098,0.16267843881660227,0.16267843881660227,0.15071985900361,1.8529789208700986,True,True
2.0,1,-4.690864162540026,0.4254482725946498,0.4254482725946498,0.9305263158946088,4.37433350108429,True,True
2.0,2,4.402167046921799,0.42653507000570157,0.42653507000570157,0.8163626793683854,3.827880691533631,True,True
2.0,3,3.636385267553608,0.43539053906423586,0.43539053906423586,0.5831794585676686,2.678879792937478,True,True
2.0,5,-4.836869020406935,0.42421154373909253,0.42421154373909253,1.0182433935574675,4.800639721316631,True,True
2.0,7,3.8417741665202483,0.42871227980472826,0.42871227980472826,0.6439819977204966,3.0042619633560315,True,True
2.0,9,-3.543900291875323,0.42726840489818585,0.42726840489818585,0.6814282027595766,3.1896961954018326,True,True
2.0,10,4.9475329042165415,0.42599992074747695,0.42599992074747695,1.014161400829341,4.761322016444753,True,True
2.0,14,3.2070565704324174,0.431585652623494,0.431585652623494,0.3977777401977551,1.843331620408465,True,True
