a,s,status,tol,m_minus_lo,m_minus_hi,m_plus_lo,m_plus_hi,plus_above_log2,minus_arg_w1,minus_arg_b1,plus_arg_w1,plus_arg_b1,argmin_separation,glob_w1,glob_b1,glob_G,glob_is_constant,solve_margin,converged,W,seconds,rss_gb
1.08,30.292686,minus,1e-07,0.35893149059393337,0.3589315352734826,0.35898833142064596,0.3589884167995987,False,-0.46289305395849895,3.5233590785621587,0.4618271093790546,3.5188999006555073,0.0045848124770392525,-0.46289305395849895,3.5233590785621587,-0.0013138423501688479,False,-0.2194211250799185,True,1.5563744565054822,12.959124088287354,0.76214599609375
1.08,30.595613,minus,1e-07,0.3574781219032628,0.3574781682058025,0.35751488658418806,0.35751495547619927,False,-0.4622316426190128,3.5226286115203083,-0.4613604995718538,3.5190551249019015,0.003678137683739607,-0.4622316426190128,3.5226286115203083,-0.0010522935236769726,False,-0.21550134824434508,True,1.5535028772408312,13.139219999313354,0.76214599609375
1.08,30.901569,minus,1e-07,0.35601678351044314,0.35601682847091476,0.35603784334326916,0.3560378955697794,False,0.4615299093725658,3.521898144478458,0.46087575259065205,3.519215865696266,0.0027608948840401695,0.4615299093725658,3.521898144478458,-0.0007882442522531008,False,-0.21155692023511108,True,1.5506597319641153,11.896261930465698,0.76214599609375
1.08,31.210585,minus,1e-07,0.35454746693450306,0.35454751502845894,0.3545571512892059,0.35455722260536676,False,-0.4608329312078318,3.5211920263380017,0.4604110409388516,3.5193694730234273,0.0018707463707104226,-0.4608329312078318,3.5211920263380017,-0.0005324843378740063,False,-0.20764073700166819,True,1.547844732648546,6.8285322189331055,0.76214599609375
1.08,31.522691,minus,1e-07,0.353070183739713,0.35307022913694297,0.353072854229433,0.3530729290820925,False,0.4601734859095425,3.5204859081975464,-0.4599358275617543,3.5195260288503647,0.000988862908303943,0.4601734859095425,3.5204859081975464,-0.0002812593719290213,False,-0.20365854394718497,True,1.545057606083085,4.289442777633667,0.76214599609375
1.08,31.837918,minus,1e-09,0.3515849735777295,0.3515849743300794,0.3515850028812773,0.35158500386151476,False,0.4595003919323766,3.519776746444417,-0.4594741538651288,3.5196776863631554,0.00010247602584261398,0.4595003919323766,3.519776746444417,-2.911800700244882e-05,False,-0.19962855261843515,True,1.5422980753763316,5.4902448654174805,0.76214599609375
1.08,32.156297,plus,1e-07,0.3500933793115169,0.35009343866541803,0.35009170815065294,0.3500917542497588,False,0.45901716071990856,3.519827346505128,0.45882884653136957,3.519073671916636,0.0007768446556062256,0.45882884653136957,3.519073671916636,0.00022010329906452242,False,-0.19557090081201522,True,1.5395658690652494,3.4685301780700684,0.76214599609375
1.08,31.9971075,plus,1e-07,0.3508377260176067,0.35083782239851397,0.3508374540750769,0.35083750310300355,False,0.45923243670355685,3.5197569629620338,0.4591611402742538,3.519438905437561,0.0003259505632839383,0.4591611402742538,3.519438905437561,9.22420622311293e-05,False,-0.19764804265933833,True,1.5409251756915017,1.7174968719482422,0.76214599609375
1.08,31.91751275,plus,1e-09,0.3512110608793516,0.35121106145190084,0.351211021872728,0.351211022613263,False,0.45935908264913794,3.5197154224046736,0.4593317892129851,3.519600216909303,0.00011839441634050964,0.4593317892129851,3.519600216909303,3.356223813844039e-05,False,-0.19861439234556144,True,1.5416099136898884,6.302564859390259,0.76214599609375
1.08,31.877715375,unresolved,1e-09,0.351397943700428,0.35139794465096286,0.351397943700428,0.35139794446427025,False,-0.45941596665137946,3.5196976125148836,-0.45941293073599987,3.5196884816768605,9.622317038761672e-06,-0.45941596665137946,3.5196976125148836,-2.2707633018370643e-07,False,-0.19915053687506656,True,1.5419535649692537,2.040969133377075,0.76214599609375
1.09,25.386861,minus,1e-07,0.3597118428678583,0.3597118825018649,0.35978328575832613,0.35978336658434656,False,0.4898745233723304,3.5458331145497524,0.4885968747978713,3.5405272416422497,0.005457533617888916,0.4898745233723304,3.5458331145497524,-0.0017568139208714584,False,-0.22056229409727734,True,1.6204178648077878,12.175319910049438,0.76214599609375
1.09,25.64073,minus,1e-07,0.3582600097391386,0.35826004905890707,0.3583086446086848,0.35830871271513864,False,0.4891367894559032,3.5450296008037174,0.48810109245356964,3.5406919771782506,0.004459556816192727,0.4891367894559032,3.5450296008037174,-0.0014323201458759094,False,-0.21659778106290162,True,1.6174149091452588,11.24105191230774,0.76214599609375
1.09,25.897137,minus,1e-07,0.35680021473631574,0.356800257035731,0.35683043292847816,0.35683048625793534,False,-0.48838316561342754,3.544299133761867,-0.487585578721795,3.540862704826703,0.0035277738981029966,-0.48838316561342754,3.544299133761867,-0.0011301499468672205,False,-0.21280969248438453,True,1.6144416937288164,9.892961978912354,0.76214599609375
1.09,26.156108,minus,1e-07,0.3553324602233209,0.3553324984618396,0.35534859598384383,0.3553486742657516,False,-0.4876863362121147,3.543519968917227,0.48708654139655827,3.5410274403627047,0.002563679468240633,-0.4876863362121147,3.543519968917227,-0.0008202179227811968,False,-0.20880507907190804,True,1.6114979168087356,6.216983079910278,0.76214599609375
1.09,26.417669,minus,1e-07,0.35385673658395334,0.3538567788198091,0.3538631649135535,0.3538632634667966,False,0.48694928737106535,3.542789501875376,0.48658413280315277,3.5411927465760824,0.0016379759901443153,0.48694928737106535,3.542789501875376,-0.0005224868786881665,False,-0.204919244043964,True,1.6085832829132019,3.782965898513794,0.76214599609375
1.09,26.681846,minus,1e-07,0.35237305133802904,0.3523730925109996,0.35237416189689263,0.35237424378020854,False,-0.4862428688108416,3.542034685932131,0.48608381712336163,3.5413567212089148,0.0006963717435509602,-0.4862428688108416,3.542034685932131,-0.0002217598872915616,False,-0.20089964096722213,True,1.605532560177082,2.204663038253784,0.76214599609375
