configuration,reading,amplitude,frequency,noise,embedded,linking_number,min_between_class_distance,activation,monotonic,depth,width,seed,train_data_seed,eval_data_seed,passed,final_train_accuracy,final_eval_accuracy,perfect_eval,at_chance,eval_errors,max_steps,learning_rate,initialization_scheme,initialization_gain,duration_seconds
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,4,8,50008,60008,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6415677920449525
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,4,9,50009,60009,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6504259589128196
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,0,50000,60000,False,0.9615,0.9625,False,False,75,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9443936250172555
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,1,50001,60001,False,0.966,0.955,False,False,90,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9703064591158181
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,2,50002,60002,False,0.955,0.944,False,False,112,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9574506669305265
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,3,50003,60003,False,0.9615,0.9535,False,False,93,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9410485839471221
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,4,50004,60004,False,0.975,0.9735,False,False,53,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9461599579080939
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,5,50005,60005,False,0.9715,0.967,False,False,66,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9434879168402404
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,6,50006,60006,False,0.974,0.969,False,False,62,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9490362089127302
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,7,50007,60007,False,0.957,0.955,False,False,90,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9502141659613699
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,8,50008,60008,False,0.9585,0.956,False,False,88,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9468463330995291
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,3,9,50009,60009,False,0.972,0.961,False,False,78,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9439207499381155
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,0,50000,60000,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9313449580222368
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,1,50001,60001,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9274041659664363
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,2,50002,60002,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9568748341407627
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,3,50003,60003,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9310055840760469
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,4,50004,60004,False,0.958,0.9665,False,False,67,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9317476251162589
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,5,50005,60005,False,0.9715,0.9635,False,False,73,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9400636670179665
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,6,50006,60006,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9308142499066889
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,5,4,7,50007,60007,False,0.9675,0.969,False,False,62,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9570345829706639
