ghat,runs,binary_10,steepest_slope,steepest_slope_at_R,binary_50,slope_near_binary_50,slope_near_binary_50_at_R,binary_90,W_binary,continuous_10,continuous_90,W_continuous,ratio,err_first_bin,err_last_zero_rate_bin,improvement_at_zero_rate_pct,runs_in_zero_rate_bins,last_zero_rate_bin_right
restricted,2400,0.3299053123462863,-1648.9574223245097,0.2625,0.36494798041615667,-135.74314574314596,0.3625,0.4208783783783784,0.0909730660320921,0.054470917767654344,0.30682625793462853,0.2523553401669742,2.7739566354502343,153.62713567839197,36.34375,76.34288380141176,1817,0.3
certified,2400,0.33046827794561934,-1759.9999999999984,0.2625,0.371875,-142.13479052823328,0.3625,0.4291891891891892,0.09872091124356985,0.05536510508510724,0.3417737524612313,0.2864086473761241,2.901195337120424,153.62713567839197,36.5390625,76.21574968598512,1815,0.3
