seed,ck_step,level,variant,k,G_4000,placed_4000,dist_4000,w1_4000,b1_4000,G_16000,placed_16000,dist_16000,w1_16000,b1_16000,G_64000,placed_64000,dist_64000,w1_64000,b1_64000,first_hit,settle_step,w2_sign,block4_reproduced_rows,block4_reproduced_all,own_over_pop,w2_own,held_s,placed,own_rule,dist,branch_start,branch_end,T_start,T_end,start_rule_correct,end_rule_correct,seed_gap_rel,gap_exceeds_distance
200001,801,1.0,preserved,2.084597914709073,0.0035666736810955335,True,0.006602348771039329,-0.8271214107780236,2.45321341139803,0.0043520741449945,True,0.0056562633784858485,-0.828753972154976,2.4545223828158385,0.0034730740157482565,True,0.0072467648046312455,-0.8263789138517201,2.4528952447480674,10.0,58.0,-1.0,3258,False,1.0397225725094577,5.153125,4.956250000000001,True,False,0.03820497271073364,1,1,4.846875,4.846875,True,True,0.05942995755003039,True
200001,1101,1.0,preserved,1.447395805868238,0.0035666736810950894,True,0.0066023487710394355,-0.8271214107780235,2.45321341139803,0.0035666334638402297,True,0.006602343613796487,-0.8271214034937623,2.4532133671532166,0.0035664926899201532,True,0.0066024188916047446,-0.8271212719243262,2.453213180770101,8.0,48.0,-1.0,3258,False,1.0397225725094577,5.153125,4.956250000000001,True,False,0.03820497271073364,1,1,4.846875,4.846875,True,True,0.05942995755003039,True
200001,1514,1.0,preserved,1.0329774663314746,0.0035666736810942012,True,0.0066023487710389775,-0.8271214107780237,2.4532134113980297,0.00356667785598086,True,0.006602345851567211,-0.8271214154609194,2.4532134171575453,0.0035666775944536155,True,0.006602339379755817,-0.8271214227311859,2.453213419043718,5.0,5.0,-1.0,3258,False,1.0397225725094577,5.153125,4.956250000000001,True,False,0.03820497271073364,1,1,4.846875,4.846875,True,True,0.05942995755003039,True
200004,4616,1.05,preserved,3.2894712274013593,-0.038378849497013826,False,2.556307879900165,0.005962263622730555,0.03701355275871987,-0.038532518648966146,False,2.4980009263482534,0.006001068182536994,0.09865593379535924,-0.03950562789221557,False,2.2289156036888658,0.006405483912686393,0.3855450414238604,,,-1.0,3258,False,1.0132408575031524,5.021875,5.204062500000001,False,True,0.03627878033603005,-1,-1,5.021875,5.021875,False,False,0.024891101431238336,False
200004,4616,1.1,preserved,3.4461127144204715,-0.03659201829357368,False,2.5631505769859193,0.00568425776633105,0.03387878347766657,-0.036729693018368315,False,2.5145564577057273,0.005716079973658993,0.08518610160714135,-0.03484334899319985,False,2.2990095083219186,0.0055680201026923155,0.31439746481433634,,,-1.0,3258,False,1.0132408575031524,5.021875,5.451875000000001,False,True,0.08562538892346017,-1,-1,5.021875,5.021875,False,False,0.024891101431238336,False
200011,1101,1.0,preserved,2.1419161840380743,0.0019241013916637684,True,0.010436237764620462,0.8230902391488975,-2.450309338549236,0.0019241066618800318,True,0.010436241821431482,0.8230902346311434,-2.450309342728736,0.0019241719873215324,True,0.010436311442075775,0.8230901597694741,-2.4503093890224994,25.0,49276.0,1.0,3258,False,1.0245901639344261,5.078125,4.956250000000001,True,False,0.02399999999999991,1,1,4.896875,4.896875,True,True,0.03569230769230776,True
200011,1776,1.0,preserved,1.3492436320059147,0.0019241013916642125,True,0.010436237764620462,0.8230902391488975,-2.4503093385492365,0.0019239022225612246,True,0.010436148023504921,0.8230903478642583,-2.4503091624778364,0.001918632280065946,True,0.01049005609238289,0.823038327408565,-2.450288463813989,5.0,62676.0,1.0,3258,False,1.0245901639344261,5.078125,4.956250000000001,True,False,0.02399999999999991,1,1,4.896875,4.896875,True,True,0.03569230769230776,True
200011,2082,1.0,preserved,1.146979247924282,0.0019241210782414697,True,0.01043632377472488,0.8230901531477853,-2.4503093339623168,0.0008023704516881836,True,0.00912521211476414,0.8245309368750804,-2.449562344207821,0.0019239241574733335,True,0.010436076461952699,0.8230904153462812,-2.4503092050866284,4.0,23.0,1.0,3258,False,1.0245901639344261,5.078125,4.956250000000001,True,False,0.02399999999999991,1,1,4.896875,4.896875,True,True,0.03569230769230776,True
200019,939,1.05,preserved,2.1418962584145147,-0.0006437190808239457,False,0.00843701661385674,0.8298388456674136,-2.4496371732594744,-0.0006477021663040539,False,0.00844096604984473,0.8298420257492212,-2.4496339939785803,0.0007013771087587273,True,0.007138052599774093,0.8287641062410913,-2.4507130633173246,36.0,63976.0,1.0,3258,False,1.0535939470365698,5.221875,5.204062500000001,True,False,0.003411131059245731,1,1,5.221875,5.221875,False,False,0.11370436864153202,True
200020,801,1.05,preserved,2.2356827636782564,0.0028751436369640615,True,0.025710224415790482,0.849724252978405,-2.470572473569292,0.002874822316732306,True,0.025710296557943074,0.8497244512510249,-2.4705722741383522,0.0028751480242310556,True,0.025710223428796662,0.8497242502704019,-2.4705724762897163,28.0,59026.0,1.0,3258,False,1.0876418663303908,5.390625,5.204062500000001,True,False,0.03460869565217373,1,1,5.134375,5.134375,True,True,0.04753623188405791,True
200020,1291,1.05,preserved,1.4083732968756342,0.0028751436369640615,True,0.025710224415791464,0.8497242529784051,-2.470572473569293,0.0028751438502414572,True,0.02571022436749667,0.8497242528466336,-2.4705724737011336,0.002875143678568115,True,0.025710224406366708,0.849724252952699,-2.470572473595006,20.0,61401.0,1.0,3258,False,1.0876418663303908,5.390625,5.204062500000001,True,False,0.03460869565217373,1,1,5.134375,5.134375,True,True,0.04753623188405791,True
200020,1514,1.05,preserved,1.2116683392397078,0.0028751394833079758,True,0.025710219155540066,0.8497242530178344,-2.4705724629705395,0.0033926540099047386,True,0.025596100381611704,0.8494041035076931,-2.4708917677161546,0.0028751472241768106,True,0.025710223601590605,0.8497242507612975,-2.4705724757843095,8.0,57026.0,1.0,3258,False,1.0876418663303908,5.390625,5.204062500000001,True,False,0.03460869565217373,1,1,5.134375,5.134375,True,True,0.04753623188405791,True
200020,1776,1.05,preserved,1.0427393347887985,0.0028757109212524945,True,0.02571094203732295,0.8497242472552899,-2.4705739200224266,0.0028751439264866896,True,0.025710224349623893,0.8497242527992783,-2.470572473747479,0.006395761451749582,True,0.025091167355797615,0.8475425152091254,-2.4727600965994885,7.0,51001.0,1.0,3258,False,1.0876418663303908,5.390625,5.204062500000001,True,False,0.03460869565217373,1,1,5.134375,5.134375,True,True,0.04753623188405791,True
