window,a,w2_glob_lo,w2_glob_hi,evaluations,ties,Ghat_lo,R_glob,R_glob_lo,R_glob_hi,tie_at_w2
G1_wide_gap,1.3,2.662781753701072,2.6927006498100727,6,0,0.1671184652596791,0.22375,0.2225,0.225,
G1_wide_gap,1.5,1.3879041234646197,1.417433998431952,5,0,0.3386401063689765,0.2374999999999999,0.2349999999999999,0.2399999999999999,
G2_narrow_gap,1.3,12.106460293868107,12.343841868257677,9,1,0.0210631343770364,0.12874999999999975,0.12749999999999975,0.12999999999999975,12.225151081062892
G2_narrow_gap,1.5,6.113454640711048,6.1716780182416295,10,1,0.0429380792738602,0.13187499999999974,0.13124999999999976,0.13249999999999976,6.142566329476338
G3_far_outer,1.3,5.683531254209002,5.718399544112124,7,0,0.0716983828844473,0.2043749999999999,0.20375,0.2049999999999999,
G3_far_outer,1.5,2.843611466000559,2.8778718451089995,6,0,0.1459411754952877,0.2087499999999999,0.2074999999999999,0.2099999999999999,
G4_shifted,1.3,2.10131657937158,2.135764392148163,8,0,0.1451470963462409,0.15375,0.1525,0.155,
G4_shifted,1.5,1.1233387573221274,1.1584430934884438,6,0,0.2848650933782721,0.1624999999999999,0.1599999999999999,0.1649999999999999,
H10,1.3,7.263170200070487,7.356287766738057,8,1,0.0536955612022165,0.19624999999999995,0.19499999999999995,0.19749999999999995,7.309728983404272
H10,1.5,3.657029573681426,3.7027424433524434,6,0,0.1093783880990963,0.2012499999999998,0.1999999999999998,0.2024999999999998,
H35,1.3,5.011110137725565,5.040761677002047,7,0,0.0843126549582811,0.2118749999999999,0.21125,0.2125,
H35,1.5,2.536210710391895,2.565362557637779,6,0,0.1715157176088038,0.2187499999999999,0.2174999999999999,0.2199999999999999,
H65,1.3,3.757561600195523,3.800261163834109,6,0,0.1170972153795442,0.22125,0.22,0.2224999999999999,
H65,1.5,1.9339526244049097,1.975995072761538,5,0,0.2378548441131256,0.2324999999999999,0.2299999999999999,0.2349999999999999,
H90,1.3,3.072694480411662,3.1076114631436127,6,0,0.1431967944763097,0.22125,0.2199999999999999,0.2225,
H90,1.5,1.5833654538006896,1.6177864419267916,5,0,0.2905204221146937,0.2324999999999999,0.2299999999999999,0.2349999999999999,
base,1.3,4.935943676334053,4.964978639136017,7,0,0.0861030894735916,0.2131249999999998,0.2124999999999998,0.2137499999999998,
base,1.5,2.5124787000078177,2.5410295943260883,6,0,0.175125862758013,0.2212499999999999,0.22,0.2225,
