a,n,size,median,min,max
1.3,400,20,0.09716354858177426,0.001258653241032024,0.2370853724850462
1.3,1600,20,0.08809047775357351,0.0,0.24932831810854383
1.3,6400,20,0.0365541171606614,0.001266624445851733,0.14227405247813416
1.5,400,20,0.09929091887133835,0.0,0.23732470334412084
1.5,1600,20,0.08775551409719033,0.0,0.2523659305993691
1.5,6400,20,0.03645222013066106,0.0024844720496892997,0.14399999999999993
