a,dmu_max,n_maximisers,w1,b1,G,G_n,sine_check_abs_diff
1.3,2.0423874796579753,622,-1.7913244131277206,4.712388980750317,-3.6616244677823646,-3.6616244677823646,4.440892098500626e-14
1.35,2.1209408442646236,630,1.7913244118146046,4.712388984614471,-3.6095443145516755,-3.6095443145516755,4.4644288266226795e-12
1.4,2.199494208862461,626,1.7913244215899893,4.712388964188193,-3.5574641987587734,-3.5574641987587734,7.460698725481052e-14
1.45,2.2780475734646473,639,1.7913244227598355,4.712388963458059,-3.5053840548838737,-3.5053840548838737,3.241851231905457e-14
1.5,2.356600938067004,622,-1.7913244159734238,4.712388978127746,-3.4533038822561424,-3.4533038822561424,1.603162047558726e-13
1.6,2.513707667271774,616,-1.791324414011134,4.712388966647075,-3.349143562408436,-3.349143562408436,4.742872761198669e-13
