family,beta,inv_beta,measured,predicted,n_cells,r2,source
q0.667_beta2.5,2.4992503748125934,0.4001199760047991,-0.4999999999999996,-0.44701403719256155,3,0.966607668692994,constructed
q1_beta2,2.0,0.5,-0.6521299940856459,-0.5586,4,0.99987767723242,constructed
q2_beta1.5,1.5,0.6666666666666666,-0.6749304581024035,-0.7448,4,0.9997146115838832,constructed
familyA_sin,1.5,0.6666666666666666,-0.734,-0.7448,6,0.99,independent (pre-existing)
q4_beta1.25,1.25,0.8,-0.8304820237218402,-0.89376,3,0.9812267169771597,constructed
