init_seed,alpha,loss,a,kind
6,0.0,0.6525918841362,1.02,constructed
6,0.05,20.326833724975586,1.02,constructed
6,0.1,107.64022064208984,1.02,constructed
6,0.15,246.4072723388672,1.02,constructed
6,0.2,417.9367980957031,1.02,constructed
6,0.25,599.8948974609375,1.02,constructed
6,0.3,774.31689453125,1.02,constructed
6,0.35,922.6931762695312,1.02,constructed
6,0.4,1030.9581298828125,1.02,constructed
6,0.45,1089.4176025390625,1.02,constructed
6,0.5,1094.17626953125,1.02,constructed
6,0.55,1045.1812744140625,1.02,constructed
6,0.6,949.3169555664062,1.02,constructed
6,0.65,816.5563354492188,1.02,constructed
6,0.7,660.6478881835938,1.02,constructed
6,0.75,496.6514587402344,1.02,constructed
6,0.8,339.61651611328125,1.02,constructed
6,0.85,201.3743438720703,1.02,constructed
6,0.9,93.9507064819336,1.02,constructed
6,0.95,28.567081451416016,1.02,constructed
6,1.0,0.00018327613361179829,1.02,constructed
7,0.0,0.9807849526405334,1.02,constructed
7,0.05,161.302978515625,1.02,constructed
7,0.1,473.64666748046875,1.02,constructed
7,0.15,914.3671264648438,1.02,constructed
7,0.2,1438.2003173828125,1.02,constructed
7,0.25,1986.4857177734375,1.02,constructed
7,0.3,2497.364501953125,1.02,constructed
7,0.35,2913.5625,1.02,constructed
7,0.4,3189.677978515625,1.02,constructed
7,0.45,3297.72314453125,1.02,constructed
7,0.5,3229.547607421875,1.02,constructed
7,0.55,2996.386474609375,1.02,constructed
7,0.6,2628.17626953125,1.02,constructed
7,0.65,2167.881103515625,1.02,constructed
7,0.7,1665.364501953125,1.02,constructed
7,0.75,1177.7186279296875,1.02,constructed
7,0.8,746.4126586914062,1.02,constructed
7,0.85,404.5808410644531,1.02,constructed
7,0.9,172.52285766601562,1.02,constructed
7,0.95,41.8581428527832,1.02,constructed
7,1.0,0.00018327613361179829,1.02,constructed
8,0.0,0.6183863282203674,1.02,constructed
8,0.05,0.7240239381790161,1.02,constructed
8,0.1,97.27339935302734,1.02,constructed
8,0.15,287.68255615234375,1.02,constructed
8,0.2,548.8343505859375,1.02,constructed
8,0.25,847.0831298828125,1.02,constructed
8,0.3,1144.3299560546875,1.02,constructed
8,0.35,1404.2686767578125,1.02,constructed
8,0.4,1596.635498046875,1.02,constructed
8,0.45,1700.5849609375,1.02,constructed
8,0.5,1707.4801025390625,1.02,constructed
8,0.55,1618.961181640625,1.02,constructed
8,0.6,1449.5872802734375,1.02,constructed
8,0.65,1220.4664306640625,1.02,constructed
8,0.7,959.1668701171875,1.02,constructed
8,0.75,695.6815185546875,1.02,constructed
8,0.8,454.02569580078125,1.02,constructed
8,0.85,256.34100341796875,1.02,constructed
8,0.9,113.42630004882812,1.02,constructed
8,0.95,29.446889877319336,1.02,constructed
8,1.0,0.00018327613361179829,1.02,constructed
9,0.0,0.7498577237129211,1.02,constructed
9,0.05,25.932443618774414,1.02,constructed
9,0.1,1.2428648471832275,1.02,constructed
9,0.15,166.9947967529297,1.02,constructed
9,0.2,468.4387512207031,1.02,constructed
9,0.25,866.3858642578125,1.02,constructed
9,0.3,1296.1727294921875,1.02,constructed
9,0.35,1684.514404296875,1.02,constructed
9,0.4,1965.219482421875,1.02,constructed
9,0.45,2092.046142578125,1.02,constructed
9,0.5,2045.9276123046875,1.02,constructed
9,0.55,1838.234130859375,1.02,constructed
9,0.6,1506.96484375,1.02,constructed
