a,gstar,med_w2,med_R,P_solve,P_solve_given_capacity,n_capacity
1.25,0.0662463517095606,3.4058547707122457,0.11281272650614416,0.0,0.0,48
1.35,0.1067705918459203,3.763006149722271,0.20088919686284232,0.0,0.0,47
1.45,0.1512839606725933,3.9824537917053373,0.3012406914023852,0.21666666666666667,0.2653061224489796,49
1.5,0.1744776842420989,4.053435110916741,0.3536169856891841,0.4,0.48,50
2.0,0.4402489042560642,3.9221853680338894,0.8633689052830439,0.7666666666666667,0.7666666666666667,60
3.0,1.0489010419504077,3.1342098128390736,1.6437379691890484,0.7333333333333333,0.7457627118644068,59
