budget,reachable_w2_worst_case,a_min_worst_case,reachable_w2_lr_per_step,a_min_lr_per_step,observed_onset
2000,106.92684484100029,1.0350428927144635,21.0,1.1069023045115225,1.6
8000,538.1597612593938,1.0118143965719828,81.0,1.042299298996495,1.18
32000,2283.017659055933,1.0044930224651123,321.0,1.0167069735348677,1.06
128000,9262.497787082073,1.0017643738218691,1281.0,1.0066119730598653,1.03
