a,seed,precision,w1,b1,w2,b2,solved,gap,gap_continuous,placement_ok,bias_ok,bias_lo,bias_hi,bias_width,margin_grid,lipschitz,certify_threshold,certified,rho,R,predicted_solved,failure
1.02,0,float32,-1.2422147989273071,1.939318299293518,-0.6671773195266724,1.351599097251892,False,-1.6733639937283291,-1.6733639937283291,False,False,2.299055474158994,1.1826249702308798,-1.116430503928114,-0.9474563769071018,1.6741306304458639,0.0003349936229006231,False,-1035.7508260665466,0.0005389474359233502,False,placement
1.02,0,float64,0.8440387538021007,2.330349729102699,-1.7759648816712277,5.0280475676759835,False,-0.5628400633378772,-0.5628400633378772,False,False,5.744064845143627,4.744480658657948,-0.9995841864856794,-0.7160172774676434,3.0279460347545983,0.0006058921530274334,False,-348.37731822273065,0.0014346286830398754,False,placement
1.02,1,float32,0.8698262572288513,-2.3398427963256836,1.9804073572158811,5.53745698928833,False,-0.5957981941657251,-0.5957981941657251,False,False,6.450284964030394,5.270361836888656,-1.179923127141738,-0.912827974742064,3.4796728450174528,0.0006962827103586699,False,-368.7771901923046,0.001599777804216211,False,placement
1.02,1,float64,-0.8347134202630192,2.3736240181421544,-2.236738030414033,6.34301410476794,False,-0.5265688779422955,-0.5265688779422955,False,False,7.254040478113828,6.076243843187851,-1.1777966349259772,-0.9110263733458881,3.7714112082305182,0.0007546595714318196,False,-325.9267872105367,0.0018068423356763922,False,placement
1.02,2,float32,-0.7367238402366638,-2.458129405975342,3.0763325691223145,8.99354362487793,False,-0.3632196870323714,-0.3632196870323714,False,False,9.865884454737984,8.748499901773886,-1.117384552964098,-0.8723408298600539,4.578143239221205,0.000916086691189836,False,-224.81964013651898,0.0024850688140181615,False,placement
1.02,2,float64,0.802438490221637,-2.3913710703965614,2.310627918251583,6.6185762307567675,False,-0.4736252443208575,-0.4736252443208575,False,False,7.455972105909672,6.3616003935931715,-1.0943717123165004,-0.8373958751529047,3.745356291935244,0.0007494459813777377,False,-293.1566233586237,0.0018665307639625392,False,placement
1.02,3,float32,-0.908963978290558,-2.2714834213256836,1.804921507835388,4.907720565795898,False,-0.6970691811280614,-0.6970691811280614,False,False,5.885891855563476,4.6277366980962364,-1.2581551574672396,-0.9781712897675776,3.3140294412137785,0.0006631374569712414,False,-431.4602100229819,0.0014580199149768916,False,placement
1.02,3,float64,-0.9335885953307436,-2.2469574902370955,1.670096230374232,4.485037146966408,False,-0.7537504804978492,-0.7537504804978492,False,False,5.463366135305919,4.204530299183695,-1.258835836122224,-0.978328988339511,3.149549243440143,0.000630224961168613,False,-466.5438516364121,0.0013491077330746418,False,placement
1.02,4,float32,-0.0014296055305749,-0.1881723701953888,-0.6917063593864441,-0.2622891664505005,False,-0.008014426586234857,-0.008014426586234857,False,False,-0.25818118732597745,-0.2637248171625119,-0.00554362983653444,-0.004107979124523042,0.0019975118185636335,3.997022148201368e-07,False,-4.960635574957941,0.0005587620530441246,False,placement
1.02,4,float64,-0.0018104150746903,0.498264708179186,-0.8781567206870329,0.8653939434297828,False,-0.00960834582518133,-0.00960834582518133,False,False,0.8716465298016294,0.8632088963405612,-0.00843763346106818,-0.006252586371846558,0.0032114528934462554,6.426118846315669e-07,False,-5.947213016930912,0.0007093771012613284,False,placement
1.02,5,float32,0.8056292533874512,-2.3762576580047607,2.258368492126465,6.479605674743652,False,-0.48539077866981106,-0.48539077866981106,False,False,7.280891339846496,6.184700098929865,-1.096191240916632,-0.8012856651028439,3.6752035988148872,0.000735408423974965,False,-300.43905680807995,0.0018243154744306052,False,placement
1.02,5,float64,0.8741028270180817,2.33798407323196,-1.9149311524389996,5.330148967399317,False,-0.603372627191713,-0.603372627191713,False,False,6.242146372149798,5.086729331811424,-1.155417040338374,-0.9119974047504806,3.381170402461684,0.0006765723666756747,False,-373.4654859205838,0.0015468859692486679,False,placement
1.02,6,float32,0.0165387578308582,-0.0895126387476921,0.7148593664169312,0.1278260350227356,False,-0.093305690583602,-0.093305690583602,False,False,0.1767984119659882,0.11009796511230026,-0.06670044685368794,-0.0489723769432526,0.02388222960746651,4.778835339162884e-06,False,-57.75279404892293,0.0005774651075512068,False,placement
1.02,6,float64,0.0161286761864725,0.471966933237181,0.518998573163568,-0.4864475820676415,False,-0.08638517079632191,-0.08638517079632191,False,False,-0.4535527516615527,-0.4983865320473349,-0.044833780385782195,-0.032894830406088815,0.016908935054148817,3.383478750204866e-06,False,-53.46924658802965,0.0004192482898741582,False,placement
1.02,7,float32,-0.7061986327171326,-2.477268695831299,3.411613702774048,10.047792434692385,False,-0.3224300170990766,-0.3224300170990766,False,False,10.9029498712375,9.802943206716618,-1.1000066645208804,-0.8551574365451149,4.8667394031612945,0.0009738347980312746,False,-199.57233322258114,0.0027559097164386336,False,placement
1.02,7,float64,-0.7452685639611674,-2.439449581599934,2.8968278298989008,8.433937276556604,False,-0.38096553243934705,-0.38096553243934705,False,False,9.288910902470066,8.185319345867514,-1.103591556602553,-0.8549736259134626,4.361007727999627,0.0008726378645321915,False,-235.80366639046758,0.0023400644559425855,False,placement
1.02,8,float32,-0.0019817857537418,0.4688289761543274,0.6729459166526794,-0.6257185935974121,False,-0.010601288046102608,-0.010601288046102608,False,False,-0.6205462746878866,-0.6276803681897702,-0.007134093501883613,-0.0051723189095255195,0.002693941953935214,5.390579197469163e-07,False,-6.561807767033161,0.0005436073224916495,False,placement
1.02,8,float64,0.0033079700962035,-0.2487353268289384,-0.4029660095672782,-0.2014976849279089,False,-0.018423691093944816,-0.018423691093944816,False,False,-0.19611361690388135,-0.2035377381855085,-0.007424121281627145,-0.00538406802402755,0.0026926590090587195,5.388012024129504e-07,False,-11.403587827434897,0.0003255169072213439,False,placement
1.02,9,float32,-0.8436977863311768,-2.3223812580108643,2.0537612438201904,5.784121036529541,False,-0.5669269565223671,-0.5669269565223671,False,False,6.6364355829457,5.472102971563129,-1.1643326113825718,-0.8523145464161592,3.500162706428995,0.0007003827326521251,False,-350.906954935213,0.0016590332494229693,False,placement
1.02,9,float64,-0.9376950032236764,2.287222652176506,-1.4671412375268469,3.9738488778081367,False,-0.7364319337114242,-0.7364319337114242,False,False,4.8311763996952,3.7507267411155314,-1.080449658579668,-0.8573275218870631,2.778976635053697,0.0005560733636925857,False,-455.8243075279329,0.0011851602039821647,False,placement
1.02,10,float32,-0.7692415118217468,2.4182326793670654,-2.8271806240081787,8.149398803710938,False,-0.41884750070928867,-0.41884750070928867,False,False,9.08754666600361,7.903389127584056,-1.1841575384195528,-0.9381478622926718,4.393065088758506,0.0008790525440237132,False,-259.25121281531835,0.0022838032762899857,False,placement
