window,a,n_crossed,obs_median_R,U,C,abslogerr_U,abslogerr_C,PL,abslogerr_PL,PL5,abslogerr_PL5,RK,abslogerr_RK,RKa,abslogerr_RKa,RG,abslogerr_RG
V10,1.3,57,0.21277964396199614,0.19125000000000003,0.21321888750000004,0.10667562211199225,0.0020621840744714905,0.21108109306445544,0.00801470785770427,0.2123332812954038,0.002099972991205164,0.18465542633906928,0.1417655667919934,0.18637545929186644,0.1324938573940945,0.18615793483660717,0.13366166937234444
V10,1.5,57,0.22623098096149405,0.19625,0.22851350000000004,0.14216716033546045,0.010038772553870663,0.2311574563379023,0.0215425904885736,0.23180006330875913,0.02431868702566474,0.20414477461262498,0.10272709538350894,0.20226075114296252,0.11199880478140606,0.202063737807425,0.11297333566693861
V20,1.3,57,0.22733746745803848,0.204375,0.22785155625,0.10647901265777353,0.002258793528690195,0.22556705043162392,0.007818098403485406,0.2269051731490099,0.0019033635369865725,0.19331347628647086,0.1621224535749342,0.19406676976296056,0.15823328042438123,0.19424515501826076,0.15731450736352676
V20,1.5,57,0.24455274211411018,0.21125000000000002,0.24597950000000005,0.14638873358282736,0.005817199306503776,0.24882554217264646,0.017321017241206833,0.24951726559987447,0.02009711377829777,0.2137166333450709,0.1347800054979285,0.21288706656291262,0.13866917864847966,0.21340279929161,0.13624954345831433
V30,1.3,57,0.23421795861614475,0.21062500000000003,0.23481949375000005,0.10617282780097217,0.0025649783854916736,0.23246512536837088,0.007511913546683958,0.23384416926977478,0.001597178680185173,0.19872676215502558,0.16432130218354424,0.1988549809815596,0.16367630862841978,0.19928267159549945,0.16152785180357523
V30,1.5,57,0.2501899698746167,0.21875000000000003,0.25471250000000006,0.13429098356073577,0.01791494932859548,0.2576595850900185,0.02941876726329849,0.25837586674543217,0.03219486380038941,0.21970126128403333,0.12995178848658023,0.2195596010763244,0.13059678204170294,0.22052997400424731,0.1261868866228927
V40,1.3,57,0.24225818449200576,0.22062500000000004,0.24596819375000006,0.09353960782532061,0.015198198361143113,0.24350204526716593,0.005121306428967437,0.2449465630629985,0.011036041295466389,0.20576720684559272,0.16325856958326207,0.2050596429317731,0.16670315755903692,0.20581144512113714,0.16304360082575522
V40,1.5,57,0.2670701579838439,0.22875,0.26635650000000005,0.1548816837126435,0.0026757508233123096,0.26943830897984794,0.00882806711139077,0.270187334939509,0.011604163648481597,0.22748478556503293,0.16042802835082895,0.22826972804765716,0.15698344037505232,0.22983665532775382,0.1501425254796215
V50,1.3,58,0.23463194017980116,0.20124999999999998,0.2243675875,0.1534701580524684,0.04473235186600451,0.22211801296325046,0.05480924379818025,0.22343567508862747,0.04889450893168125,0.20853598055316197,0.11790647940023583,0.20749285885878765,0.12292115041097526,0.20839656258495678,0.11857525892198886
V50,1.5,58,0.2596836113948327,0.20750000000000002,0.24161300000000005,0.2243326710953775,0.07212673820604631,0.2444085207139604,0.06062292027134335,0.24508796502709565,0.05784682373425225,0.2305457878636992,0.11901452222740015,0.23170480275312724,0.11399985121665884,0.23354933194967556,0.10607068423882247
V60,1.3,58,0.2378736745441334,0.20875,0.2327291125,0.13060238980102132,0.021864583614557613,0.23039570288734676,0.031941475546733225,0.23176247043354528,0.026026740680234407,0.21280451272085613,0.11136578989434873,0.21123666224989304,0.11876062656655775,0.2123338614420941,0.11357989946260749
V60,1.5,58,0.26946672991255405,0.2175,0.253257,0.21424608104023732,0.06204014815090615,0.25618724460378983,0.05053633021620293,0.25689943322117254,0.04776023367911196,0.2352648397463153,0.13573307434351337,0.2370110332615349,0.12833823767130279,0.2392136541751502,0.1190878284496205
V70,1.3,58,0.24693059588829339,0.22124999999999997,0.2466649875,0.10981402494882311,0.001076218762359335,0.24419185276084054,0.011153110694534998,0.24564046267507492,0.0052383758280360945,0.21622981829941457,0.13276549316304903,0.21423451480982536,0.14203603023788744,0.2154728405225534,0.1362724372932714
V70,1.5,58,0.2776641632580763,0.23249999999999998,0.270723,0.17752211255340256,0.025316179664071452,0.27385533043853394,0.013812361729368302,0.2746166355122878,0.011036265192277427,0.23905166718581972,0.14973262831917547,0.24127810873820676,0.1404620912443354,0.24374798165255715,0.1302775081369052
V80,1.3,58,0.2511036550483312,0.22624999999999998,0.2522393375,0.10422523962384535,0.004512566562618308,0.24971031271023808,0.005564325369557325,0.25119165957168677,0.000350409496941459,0.2198839854131281,0.13276575397488344,0.2174265265601831,0.14400483766412606,0.21881604339284647,0.13763442987959854
V80,1.5,58,0.28423374526063333,0.23750000000000002,0.27654500000000004,0.17962932286168298,0.027423389972351817,0.2797446923834487,0.015919572037648717,0.2805223696093263,0.013143475500557895,0.2430915112164854,0.15635898451955635,0.24583904803163795,0.1451199008303115,0.2485932815668544,0.13397879269794324
