a,gamma2_hat,R2,s,retained_loss,retained_constant,Gplus_lo,Gplus_hi,t,cap_hits,restarts
0.5,0.45638113061474583,0.02,0.0876460425656073,0.6760935086109268,False,0.3421432166018872,0.3421432166018872,-0.5000000425239206,1,100
0.5,0.45638113061474583,0.05,0.21911510641401827,0.6511072541151235,False,0.34212114762246615,0.34212114762246615,-0.5000000026745881,0,100
0.5,0.45638113061474583,0.075,0.3286726596210274,0.6308291586878683,False,0.3421019347451737,0.3421019347451737,0.5000000029086237,0,100
0.5,0.45638113061474583,0.1,0.43823021282803654,0.6110438642725629,False,0.3420820562021203,0.3420820562021203,-0.5000000019714829,0,100
0.5,0.45638113061474583,0.2,0.8764604256560731,0.5367810326659204,False,0.3419971011580196,0.3419971011580196,0.4999999994887467,0,100
0.5,0.45638113061474583,0.5,2.1911510641401826,0.35823415954546506,False,0.34170604744037636,0.34170604744037636,-0.4999999997459011,0,100
0.5,0.45638113061474583,1.0,4.382302128280365,0.17887405283083346,False,0.3412698504468308,0.3412698504468308,0.4999999997938713,1,100
1.0,0.9127612989555761,0.02,0.04382306748299896,0.6771519267092949,False,-3.7661962200421546,-3.7661962200421546,1.0,24,100
1.0,0.9127612989555761,0.05,0.1095576687074974,0.6511072108382926,False,0.684242081644794,0.684242081644794,-0.5000000611452601,1,100
1.0,0.9127612989555761,0.075,0.1643365030612461,0.63082909533387,False,0.6842038854883488,0.6842038854883488,-0.5000000022902724,3,100
1.0,0.9127612989555761,0.1,0.2191153374149948,0.6110437818747585,False,0.6841641939293335,0.6841641939293335,-0.4999999997156746,0,100
1.0,0.9127612989555761,0.2,0.4382306748299896,0.5367808842190525,False,0.6839941434336949,0.6839941434336949,0.5000000054949463,0,100
1.0,0.9127612989555761,0.5,1.095576687074974,0.35823389970762337,False,0.6834120920050484,0.6834120920050484,-0.499999999208978,1,100
1.0,0.9127612989555761,1.0,2.191153374149948,0.17887379166861134,False,0.6825396997269408,0.6825396997269408,0.500000000046375,0,100
1.3,1.1868728875468348,0.02,0.03370200837823214,0.6767302541060858,False,-3.5199679967671544,-3.5199679967671544,1.0,20,100
1.3,1.1868728875468348,0.05,0.08425502094558035,0.6528242064032335,False,0.024239604563681016,0.024239604563681016,0.03766515876469996,15,100
1.3,1.1868728875468348,0.075,0.12638253141837053,0.630843434508627,False,0.8894648881329541,0.8894648881329541,-0.5000000215286335,0,100
1.3,1.1868728875468348,0.1,0.1685100418911607,0.6110624313726665,False,0.8894134805882801,0.8894134805882801,-0.5000000030470676,0,100
1.3,1.1868728875468348,0.2,0.3370200837823214,0.5368144833886868,False,0.8891925751043801,0.8891925751043801,-0.4999999992544688,1,100
1.3,1.1868728875468348,0.5,0.8425502094558035,0.3582927138472297,False,0.8884360342421302,0.8884360342421302,-0.49999999938120565,0,100
1.3,1.1868728875468348,1.0,1.685100418911607,0.17893291117929103,False,0.8873019885881466,0.8873019885881466,-0.49999999854094096,0,100
1.5,1.3694651982927923,0.02,0.02920848229649424,0.6765745814006726,False,-3.3373643185504105,-3.3373643185504105,1.0,21,100
1.5,1.3694651982927923,0.05,0.0730212057412356,0.6540249679785529,False,-3.1577274754552027,-3.1577274754552027,1.0,21,100
1.5,1.3694651982927923,0.075,0.1095318086118534,0.6308432801627489,False,1.0263058898851005,1.0263058898851005,-0.4999999988497951,11,100
1.5,1.3694651982927923,0.1,0.1460424114824712,0.6110622306301393,False,1.0262458800355274,1.0262458800355274,-0.4999999432822593,1,100
1.5,1.3694651982927923,0.2,0.2920848229649424,0.536814121723463,False,1.0259914332519684,1.0259914332519684,-0.49999999959594454,2,100
1.5,1.3694651982927923,0.5,0.7302120574123561,0.35829208073361024,False,1.0251184938463962,1.0251184938463962,0.49999999932603884,0,100
1.5,1.3694651982927923,1.0,1.4604241148247121,0.17893227471857767,False,1.023809976077172,1.023809976077172,-0.5000000001148002,0,100
