a,L,h,Ghat_lo,Ghat_hi,slack,w1,b1,D,kappa_lo,kappa_hi,rel_width
1.02,4.04,2.5600000000000007e-07,0.0016267426322560397,0.0016272597522560396,5.171200000000001e-07,-0.22540083199999753,3.3107595015898017,0.005285980527226286,0.30774661841398054,0.3078444469998666,0.00031788679398092476
1.05,4.1,1.2800000000000002e-06,0.006360085993950104,0.006362709993950104,2.624e-06,-0.3525939199999973,2.876731213589805,0.020623144260030646,0.30839555374087524,0.30852278943136524,0.0004125730379267994
1.1,4.2,6.400000000000001e-06,0.017673266986832914,0.017686706986832914,1.3440000000000003e-05,0.48995840000000357,9.056069453589778,0.05711580668831928,0.30942865051833823,0.3096639619107404,0.0007604706028609856
1.25,4.5,6.400000000000001e-06,0.0665031203971651,0.0665175203971651,1.4400000000000003e-05,0.7372096000000047,3.699563853589802,0.21299778241343104,0.31222447315475715,0.3122920794924234,0.0002165311930327346
1.3,4.6,3.2000000000000005e-05,0.08609817542206422,0.08617177542206421,7.36e-05,-0.7957119999999979,8.821976653589774,0.27500495743010767,0.3130786303877668,0.31334626192680437,0.0008548380919711311
1.35,4.7,3.2000000000000005e-05,0.1069138244193697,0.1069890244193697,7.520000000000001e-05,-0.8481279999999974,-2.4993993464102053,0.34058771068344873,0.31390981255556294,0.3141306073688846,0.0007033702181022478
1.4,4.8,3.2000000000000005e-05,0.12877205570941674,0.12884885570941673,7.680000000000001e-05,0.8939840000000052,3.8192886535898007,0.40920504760581977,0.31468833647785466,0.31487601744721055,0.0005964026867233728
1.45,4.9,3.2000000000000005e-05,0.1515398529463221,0.1516182529463221,7.840000000000002e-05,-0.934559999999998,-2.4315913464102055,0.48043285485966614,0.31542358398987247,0.3155867701650205,0.0005173556557942339
1.5,5.0,3.2000000000000005e-05,0.1751248393574727,0.1752048393574727,8.000000000000002e-05,-0.9728639999999977,3.8807286535898005,0.5539306363639294,0.3161494018583523,0.31629382427290786,0.000456816978639433
1.6,5.2,3.2000000000000005e-05,0.2243665984701666,0.2244497984701666,8.320000000000002e-05,-1.0391039999999987,2.3507446535897993,0.7066696116436297,0.3174985803455118,0.3176163157039157,0.00037082168454351445
