seed,ck_step,level,variant,k,G_4000,placed_4000,dist_4000,w1_4000,b1_4000,G_16000,placed_16000,dist_16000,w1_16000,b1_16000,G_64000,placed_64000,dist_64000,w1_64000,b1_64000,first_hit,settle_step,w2_sign,block4_reproduced_rows,block4_reproduced_all
200000,7443,0.9,preserved,1.114639672322243,-0.0027560435904931957,False,0.016514817042598513,-0.8370088499449254,2.4496367784973243,-0.002577695510165068,False,0.016712919095733924,-0.8368679549917822,2.4497776103775446,-0.00275604689314779,False,0.016514813375972652,-0.8370088525515046,2.449636775889402,16.0,,-1.0,3258,False
200000,7443,0.9,reset,1.114639672322243,-0.002756043628741267,False,0.01651481700013095,-0.8370088499751234,2.4496367784671254,-0.0027560937623429815,False,0.0165147613440172,-0.8370088895360238,2.449636738877425,-0.0027589457915633275,False,0.016511594636863927,-0.8370111414471337,2.4496344871041913,24.0,,-1.0,3258,False
200000,7443,0.95,preserved,1.1765640985623673,0.006775332993071537,True,0.0166705273152447,-0.8296301838777782,2.457329423112105,0.006775332978917081,True,0.01667052729912836,-0.8296301838892354,2.4573294231006475,0.007120320387431267,True,0.017063521862837532,-0.8293509214068872,2.457608846445124,4.0,14.0,-1.0,3258,False
200000,7443,0.95,reset,1.1765640985623673,0.007036629607406919,True,0.01697030783392289,-0.8294132699344294,2.457539411479272,0.0067752359876651624,True,0.016670416852080216,-0.8296302624261964,2.457329344597149,0.006707652609302173,True,0.01659346793075459,-0.8296849781867792,2.4572746473562663,3.0,14.0,-1.0,3258,False
200000,7443,1.0,preserved,1.238488524802492,0.015287531357635498,True,0.016744519642926687,-0.8228716830606766,2.4643627188155146,0.015287999151815779,True,0.01674506486849424,-0.8228712958670251,2.4643631065149036,0.015287531373545882,True,0.016744519661483204,-0.8228716830474775,2.4643627188286925,3.0,12.0,-1.0,3258,False
200000,7443,1.0,reset,1.238488524802492,0.01528753135145866,True,0.01674451963590244,-0.8228716830653603,2.464362718810271,0.015287882095859295,True,0.0167449285651477,-0.8228713924395982,2.464363009409392,0.015286008800940998,True,0.01674274499391401,-0.8228729434703005,2.464361457007267,3.0,15.0,-1.0,3258,False
200000,7443,1.05,preserved,1.3004129510426166,0.022927702898700275,True,0.016962871540981892,-0.8166579362764925,2.4708151249272836,0.02292558631709074,True,0.016960348372567983,-0.8166597286788496,2.4708133326192883,0.022927702875213285,True,0.016962871512983074,-0.816657936296383,2.4708151249073955,3.0,3.0,-1.0,3258,False
200000,7443,1.05,reset,1.3004129510426166,0.02291936969568731,True,0.0169570709785083,-0.8166551212956029,2.4708052810848136,0.022927702938019046,True,0.016962871587846595,-0.8166579362432127,2.470815124960583,0.02292770290817181,True,0.01696287155227355,-0.8166579362684704,2.4708151249353034,3.0,3.0,-1.0,3258,False
200000,7443,1.1,preserved,1.3623373772827414,0.029816187158579588,True,0.01706659728200381,-0.8109255913825675,2.476752739461727,0.02981621079548491,True,0.017066626047168514,-0.8109255709606504,2.476752759893592,0.029816197363663477,True,0.017066609702910476,-0.8109255825614925,2.476752748281947,3.0,3.0,-1.0,3258,False
200000,7443,1.1,reset,1.3623373772827414,0.029816187162811314,True,0.017066597286281147,-0.8109255913809518,2.4767527394659448,0.02981618761495053,True,0.01706659783759846,-0.8109255909877809,2.4767527398560825,0.029816146061126148,True,0.017066547257644803,-0.8109256269144675,2.476752703943552,3.0,3.0,-1.0,3258,False
