a,runs,crossed,n,G1_mean_diff,G1_lo,G1_hi,G1,G2_spearman,G2,G3_median_resid_own,G3_median_resid_pop
1.3,40,30,30,-0.045897604668468706,-0.0737665320445972,-0.01716958396534423,PASS,0.6738622830108527,PASS,0.029518046014339827,0.0944680692196691
1.5,40,30,30,-0.043866721957389755,-0.07266910447781047,-0.014829994461777109,PASS,0.684029043030212,PASS,0.0643322397616437,0.12743307081613664
