seed,level,held_s,global_branch,global_G,global_L
200000,0.9,4.460625000000001,1,-0.0027560435903377645,0.3571294971779552
200000,0.95,4.7084375000000005,1,0.006775333010138329,0.34901646163593375
200000,1.0,4.956250000000001,1,0.015287531346406258,0.3411136441612061
200000,1.05,5.204062500000001,1,0.022927702895887858,0.33341096206167153
200000,1.1,5.451875000000001,1,0.029816187097961855,0.3258995698773497
200001,0.9,4.460625000000001,-1,-0.032319065907968625,0.3420186586433171
200001,0.95,4.7084375000000005,-1,-0.0188422213353876,0.3341975626811691
200001,1.0,4.956250000000001,-1,-0.006852703438679608,0.3265805859580276
200001,1.05,5.204062500000001,-1,0.0017863124417512033,0.3191576107598445
200001,1.1,5.451875000000001,-1,0.009582531248677029,0.3119198019273994
200002,0.9,4.460625000000001,1,-0.023657569221321673,0.3519823204563049
200002,0.95,4.7084375000000005,1,-0.010758298251519527,0.3439514574113289
200002,1.0,4.956250000000001,1,0.0007823216004001488,0.33612805102622434
200002,1.05,5.204062500000001,1,0.010113325232135484,0.3285020747221369
200002,1.1,5.451875000000001,1,0.01754185827357757,0.3210647556915046
200003,0.9,4.460625000000001,1,-0.017813509347808232,0.3534955403917522
200003,0.95,4.7084375000000005,1,-0.007720031756369927,0.3455571588995154
200003,1.0,4.956250000000001,1,0.0012992753848521943,0.33782303502171873
200003,1.05,5.204062500000001,1,0.009399872004479448,0.3302832338267969
200003,1.1,5.451875000000001,1,0.01670886331300503,0.3229290603887802
200004,0.9,4.460625000000001,-1,-0.02101582205312047,0.3532208014109219
200004,0.95,4.7084375000000005,-1,-0.011106403626937045,0.3453412839812324
200004,1.0,4.956250000000001,-1,-0.0022631376997477304,0.33766617511184277
200004,1.05,5.204062500000001,-1,0.0056684377322770985,0.33018548588152696
200004,1.1,5.451875000000001,-1,0.012814608611577238,0.32289047127207277
200005,0.9,4.460625000000001,-1,-0.009664224255792053,0.3628949707240594
200005,0.95,4.7084375000000005,-1,0.001875006161704107,0.3549026550419933
200005,1.0,4.956250000000001,-1,0.010441765541427728,0.347113014030118
200005,1.05,5.204062500000001,-1,0.01813195087635311,0.3395164710751071
200005,1.1,5.451875000000001,1,0.006006628687032833,0.33184628074016387
200006,0.9,4.460625000000001,-1,-0.06523876838636422,0.34504162401734534
200006,0.95,4.7084375000000005,-1,-0.05360212713606005,0.3374552536400657
200006,1.0,4.956250000000001,-1,-0.04319800764727866,0.3300645695746675
200006,1.05,5.204062500000001,-1,-0.03384807249430244,0.32285999129004234
200006,1.1,5.451875000000001,-1,-0.025406557076980807,0.31583314157860426
200007,0.9,4.460625000000001,1,-0.03729343479522518,0.3637687156851038
200007,0.95,4.7084375000000005,1,-0.026768031006827897,0.3558385901926382
200007,1.0,4.956250000000001,1,-0.01734544570374741,0.3481076213488587
200007,1.05,5.204062500000001,1,-0.008866915629715422,0.34056629374825703
200007,1.1,5.451875000000001,1,-0.0012025432492208665,0.3332062744995433
200008,0.9,4.460625000000001,1,-0.0642780686878166,0.33912505170542717
200008,0.95,4.7084375000000005,1,-0.05200359363246543,0.3315269947684765
200008,1.0,4.956250000000001,1,-0.041299701329662764,0.3241258730034251
200008,1.05,5.204062500000001,1,-0.03167258972598397,0.31691199231342515
200008,1.1,5.451875000000001,1,-0.022973386657925587,0.30987688669599717
200009,0.9,4.460625000000001,-1,-0.02758704336272899,0.35168813914615427
200009,0.95,4.7084375000000005,-1,-0.015266614264751066,0.34349410455491997
200009,1.0,4.956250000000001,-1,-0.005814248424298896,0.3355136535662349
200009,1.05,5.204062500000001,-1,0.0026927432444523447,0.32773663561103794
200009,1.1,5.451875000000001,-1,0.010384261087827529,0.3201541538326952
200010,0.9,4.460625000000001,-1,-0.019133690488026822,0.35966948244609964
200010,0.95,4.7084375000000005,-1,-0.009204501241223628,0.3515560372726378
200010,1.0,4.956250000000001,-1,-0.0003258975117348406,0.3436491786222595
200010,1.05,5.204062500000001,-1,0.007653668561038884,0.3359391542722966
200010,1.1,5.451875000000001,-1,0.014858155101917347,0.32841741580486145
200011,0.9,4.460625000000001,-1,-0.02266646063542943,0.35691048851746887
200011,0.95,4.7084375000000005,-1,-0.012809021149263522,0.3487934925056541
200011,1.0,4.956250000000001,-1,-0.003998471040072005,0.3408855561646496
200011,1.05,5.204062500000001,-1,0.003916510362373948,0.33317677225968906
200011,1.1,5.451875000000001,-1,0.01105967896595006,0.3256584578477276
200013,0.9,4.460625000000001,1,-0.03434675771853879,0.3452316619621157
200013,0.95,4.7084375000000005,1,-0.020734514796765247,0.33740873309576214
200013,1.0,4.956250000000001,1,-0.008561446124689454,0.32979228893889984
200013,1.05,5.204062500000001,1,0.0023815106267490727,0.32237206083891207
200013,1.1,5.451875000000001,1,0.012265144288577279,0.3151390674773385
200014,0.9,4.460625000000001,-1,-0.004913866109102827,0.36368432678897583
200014,0.95,4.7084375000000005,-1,0.004456788151715241,0.3556320703096838
200014,1.0,4.956250000000001,-1,0.012825521795820194,0.34778458134663837
200014,1.05,5.204062500000001,-1,0.020337428340530206,0.3401320803915086
200014,1.1,5.451875000000001,-1,0.027111162458716365,0.3326659945107256
200015,0.9,4.460625000000001,1,-0.0389652378678198,0.34253119018819
200015,0.95,4.7084375000000005,1,-0.025279443153022996,0.3347930429169068
200015,1.0,4.956250000000001,1,-0.01488862780230793,0.32725719884494225
200015,1.05,5.204062500000001,1,-0.006120382809042368,0.3199135037387097
200015,1.1,5.451875000000001,1,0.001790704501686946,0.3127530988108562
200016,0.9,4.460625000000001,1,-0.016779421061709154,0.36464484224257565
200016,0.95,4.7084375000000005,1,-0.004450063264203052,0.3566096299843889
200016,1.0,4.956250000000001,1,0.006582675486550116,0.3487771763342204
200016,1.05,5.204062500000001,1,0.016506933283515046,0.3411378722574659
200016,1.1,5.451875000000001,1,0.02364868846923418,0.3336832965776
200017,0.9,4.460625000000001,-1,-0.008396466397489366,0.36697799624847915
200017,0.95,4.7084375000000005,-1,0.0008298807401798669,0.35888015862987716
200017,1.0,4.956250000000001,-1,0.009074031567977592,0.3509876751334037
200017,1.05,5.204062500000001,-1,0.016477927295977857,0.3432908512218257
200017,1.1,5.451875000000001,-1,0.023157662644479604,0.33578118808385926
200018,0.9,4.460625000000001,1,-0.044875266124404956,0.3616056970502898
200018,0.95,4.7084375000000005,1,-0.03400994638252097,0.35366704773602053
200018,1.0,4.956250000000001,1,-0.024278378443227222,0.34592897459021826
200018,1.05,5.204062500000001,1,-0.015517514784503916,0.3383819199229569
200018,1.1,5.451875000000001,1,-0.007593946900020132,0.3310175126157261
200019,0.9,4.460625000000001,1,-0.02842706714591614,0.35541849581072754
200019,0.95,4.7084375000000005,1,-0.018127381109052987,0.34744570162231514
200019,1.0,4.956250000000001,1,-0.008918658447818473,0.3396787345807659
200019,1.05,5.204062500000001,1,-0.0006437190802337511,0.3321076200379834
200019,1.1,5.451875000000001,1,0.0068260321448287975,0.32472362723308507
200020,0.9,4.460625000000001,-1,-0.03479250591059513,0.3648874374882181
200020,0.95,4.7084375000000005,-1,-0.02411864392565599,0.35671063989576957
200020,1.0,4.956250000000001,-1,-0.014553621984723542,0.34874220974353193
200020,1.05,5.204062500000001,-1,-0.005938923167541965,0.34097241101116765
200020,1.1,5.451875000000001,-1,0.0018552671934290998,0.3333926953666356
200021,0.9,4.460625000000001,1,-0.0164378789826487,0.36081292841724405
200021,0.95,4.7084375000000005,1,-0.006535030392656793,0.35280389552164704
200021,1.0,4.956250000000001,1,0.0023149738367926886,0.3449993220381561
200021,1.05,5.204062500000001,1,0.010264213766388863,0.3373894427633063
200021,1.1,5.451875000000001,1,0.017437070603377514,0.3299656955389749
200022,0.9,4.460625000000001,-1,-0.03329330885737303,0.3527057225301034
200022,0.95,4.7084375000000005,-1,-0.022884654257753656,0.34466642836592243
200022,1.0,4.956250000000001,-1,-0.013575649280499924,0.33683376372314533
200022,1.05,5.204062500000001,-1,-0.005207499947835537,0.3291978719064413
200022,1.1,5.451875000000001,-1,0.0023496661841608812,0.32175012313864476
200023,0.9,4.460625000000001,-1,-0.020435962791599316,0.36176915928914594
