a,seed,arm,budget,placed_at,placed,gap_final,w2_final,R_final,loss_final,grad_100,grad_500,grad_2000,grad_8000,grad_11999
1.3,0,control,12000,4050.0,True,0.08117548776616745,23.834483867856825,1.0222979753273533,0.06472747935936467,0.035649349606756725,0.0005182523364760713,0.008607863254558763,0.004088664612824888,0.0016812680606369827
1.3,1,control,12000,2650.0,True,0.08180975205905705,27.606809374421672,1.1840988663815863,0.04806208662315552,0.012771012382867129,0.02012588196779816,0.01069192868821315,0.00293218983497581,0.001204200581201072
1.3,2,control,12000,1900.0,True,0.08145752551416541,29.611097946716285,1.270065911474255,0.04348771252890425,0.0009579834513120369,0.01643641645017683,0.009451005089066331,0.0024907745254766837,0.0036024531047841152
1.3,3,control,12000,3250.0,True,0.08239723828141621,26.873365379000308,1.1526403160017125,0.04625692945038692,0.04670656055587984,0.022593963140335717,0.01105055311977438,0.00296448654978935,0.001207560834991156
1.3,4,control,12000,,False,-0.00829351909004622,0.6854013909260109,0.029397928569166773,0.6931463657169297,0.0013806846075554975,3.986925705969391e-07,3.97730575265245e-07,3.6559641260128047e-07,3.318114341857521e-07
1.3,5,control,12000,2450.0,True,0.08196814888860837,28.647008813997843,1.2287146334739654,0.04746653364107195,0.049226341765462485,0.019184471401044612,0.010489289047228963,0.0027097776212658673,0.001131476914627237
1.3,6,control,12000,4400.0,True,0.0816893889025474,24.0584646777897,1.0319048596121585,0.06460858756029958,0.001426031228865504,2.6970700075740706e-05,3.253297409746293e-05,0.00416776116143796,0.0016991847094011015
1.3,7,control,12000,1900.0,True,0.08133749610003171,29.637362975820565,1.2711924593040334,0.04307871751199138,0.0639534906508077,0.015561134458384774,0.009416483167758399,0.0024805332900804315,0.0010430796533470248
1.3,8,control,12000,,False,-0.010514831950120596,0.7366189971961408,0.03159473112974915,0.6931455325558885,0.0017006730673904335,1.033455909670404e-06,1.0321154781029802e-06,9.762174761690506e-07,8.497212386841926e-07
1.3,9,control,12000,2850.0,True,0.08218347653332625,27.813356454014535,1.1929579909360861,0.04724741643383616,0.09982867155613483,0.019030363697320807,0.010607207932028831,0.0028928409193601456,0.0011912825769773456
1.3,10,control,12000,2150.0,True,0.08189831025764827,29.14066269396313,1.2498882139382603,0.04066957608744439,0.0868839228474089,0.01654265033188711,0.009535816090019456,0.0025186941970551133,0.0010368215548150323
1.3,11,control,12000,3900.0,True,0.08304150966711088,26.183548976760814,1.1230530207505631,0.0595003521979468,0.04765407292797923,0.0001861936756372373,0.00016041017637219874,0.003383350053596318,0.005187127987222963
1.3,12,control,12000,2000.0,True,0.08143082319511175,29.192529284599633,1.2521128524447536,0.0437454677840733,0.09020793735783593,0.01638047197013554,0.00956255525286635,0.002586227193660267,0.0010864189991022
1.3,13,control,12000,4350.0,True,0.08256746499783452,24.539866156883686,1.0525529156022053,0.06610074378306872,0.018992361798414598,0.0011644542839348646,0.0005097768700870953,0.003856597885872597,0.0016182876761673276
1.3,14,control,12000,4650.0,True,0.08156315093122268,23.284956784562347,0.9987279065247682,0.07271505775433343,0.0011141022305641115,2.402903937780286e-05,3.0888127655470694e-05,0.004408708953031662,0.0018262440506960596
1.3,15,control,12000,2850.0,True,0.08132469351068261,27.077891109233,1.16141274174747,0.04494471789249373,0.0005206946467099053,0.00038321382039366525,0.01183410412355649,0.00300603148022024,0.0012051978141677955
