q,a,gstar_committed,ghat_cert_lo,ghat_cert_hi,ratio
1.0,1.1,0.001849953783676,0.003496494543872338,0.003499694543872338,1.8900442674435547
1.0,1.2,0.0123416306450963,0.01282025024585862,0.01282665024585862,1.0387809046086216
1.0,1.35,0.0300659276545047,0.03490010619884963,0.034911306198849634,1.1607859434738126
1.0,1.55,0.0620277523994445,0.07506116999159326,0.07507876999159327,1.2101223579441756
1.0,1.8,0.1348958760499954,0.13674513380149478,0.13687313380149477,1.0137087789905008
1.0,2.1,0.2093972265720367,0.22160037407124464,0.22179397407124463,1.0582775029974423
2.0,1.05,0.0041907061822712,0.004470592185740642,0.004472023269246242,1.0667873125187115
2.0,1.1,0.0115946885198354,0.012354012871681426,0.012364132160193966,1.065488982351447
2.0,1.15,0.0219071581959724,0.02219683121688138,0.022209224763589244,1.0132227566130525
2.0,1.25,0.0445595048367977,0.0458065661373445,0.0458225661373445,1.0279864263553702
2.0,1.4,0.0849776193499565,0.08760492705513412,0.08762516563215919,1.0309176430838547
2.0,1.6,0.1464086174964904,0.1515724920997731,0.15169642756685175,1.035270291404852
