a,seed,w2_final,crossed_on_replay
1.3,4,0.8141281045164082,False
1.3,6,0.8592649445406823,False
1.3,8,0.6479787031286478,False
1.3,11,0.8807982841056724,False
1.3,16,0.5899493649965271,False
1.3,17,0.7327805766564709,False
1.3,21,1.3660045221619157,False
1.3,23,0.5493667799656278,False
1.3,26,0.4198021370112714,False
1.3,37,0.8213249369566442,False
1.5,4,0.8103246772995062,False
1.5,6,0.8674601843034395,False
1.5,8,0.6299227527978727,False
1.5,11,0.8861115454460882,False
1.5,16,0.5761662082607546,False
1.5,17,0.7260059295223457,False
1.5,21,1.3670603854917573,False
1.5,23,0.5493190771413625,False
1.5,26,0.4227544954723847,False
1.5,37,0.8142335569583536,False
