a,eps,alpha,ci_lo,ci_hi
1.05,0.050000000000000044,1.339800228943528,1.26056632324378,1.470284929315817
1.1,0.10000000000000009,1.3410872075943217,1.2498877870977365,1.5005913710214422
1.2,0.19999999999999996,1.3010201988621668,1.17801044743922,1.4848574627969635
1.3,0.30000000000000004,1.2583282208929087,1.114133296541065,1.453364822862998
1.45,0.44999999999999996,1.2104529261409251,1.033509776010754,1.4295629716111942
1.6,0.6000000000000001,1.1718669177689125,0.9821544609346716,1.3859890745601853
