a,seed,precision,exact_sep,grid_solved,agree,exact_gap,grid_gap,certified,inner_max_logit,outer_min_logit
1.02,0,float32,False,False,True,-1.6733639937283291,-1.6733639937283291,False,0.16897412702101233,-0.9474563769071018
1.02,0,float64,False,False,True,-0.5628400633378772,-0.5628400633378772,False,0.2835669090180355,-0.7160172774676434
1.02,1,float32,False,False,True,-0.5957981941657251,-0.5957981941657251,False,0.2670951523996745,-0.912827974742064
1.02,1,float64,False,False,True,-0.5265688779422955,-0.5265688779422955,False,0.2667702615800893,-0.9110263733458881
1.02,2,float32,False,False,True,-0.3632196870323714,-0.3632196870323714,False,0.2450437231040432,-0.8723408298600539
1.02,2,float64,False,False,True,-0.4736252443208575,-0.4736252443208575,False,0.25697583716359595,-0.8373958751529047
1.02,3,float32,False,False,True,-0.6970691811280614,-0.6970691811280614,False,0.279983867699662,-0.9781712897675776
1.02,3,float64,False,False,True,-0.7537504804978492,-0.7537504804978492,False,0.2805068477827133,-0.978328988339511
1.02,4,float32,False,False,True,-0.008013116314443791,-0.0080144265862348,False,0.0014356507120114048,-0.004107979124523042
1.02,4,float64,False,False,True,-0.00960834582518133,-0.0096083458251813,False,0.0021850470892216256,-0.006252586371846558
1.02,5,float32,False,False,True,-0.48539077866981106,-0.485390778669811,False,0.29490557581378773,-0.8012856651028439
1.02,5,float64,False,False,True,-0.603372627191713,-0.603372627191713,False,0.2434196355878937,-0.9119974047504806
1.02,6,float32,False,False,True,-0.093305690583602,-0.093305690583602,False,0.017728069910435337,-0.0489723769432526
1.02,6,float64,False,False,True,-0.08597988632974762,-0.0863851707963219,False,0.011938949979693414,-0.032894830406088815
1.02,7,float32,False,False,True,-0.3224300170990766,-0.3224300170990766,False,0.24484922797576658,-0.8551574365451149
1.02,7,float64,False,False,True,-0.38096553243934705,-0.380965532439347,False,0.24861793068908966,-0.8549736259134626
1.02,8,float32,False,False,True,-0.010595206153856451,-0.0106012880461026,False,0.0019617745923581342,-0.0051723189095255195
1.02,8,float64,False,False,True,-0.018414458776827014,-0.0184236910939448,False,0.0020400532575995944,-0.00538406802402755
1.02,9,float32,False,False,True,-0.5669269565223671,-0.5669269565223671,False,0.31201806496641193,-0.8523145464161592
1.02,9,float64,False,False,True,-0.7364319337114242,-0.7364319337114242,False,0.22312213669260528,-0.8573275218870631
1.02,10,float32,False,False,True,-0.41884750070928867,-0.4188475007092886,False,0.24600967612688152,-0.9381478622926718
1.02,10,float64,False,False,True,-0.338714409886415,-0.338714409886415,False,0.24143887185168644,-0.9355234922649451
1.02,11,float32,False,False,True,-0.2041747081315265,-0.2043995786044622,False,0.030197246376124677,-0.07517419826497068
1.02,11,float64,False,False,True,-0.6452559623971101,-0.6452559623971101,False,0.2991411590747246,-0.8783803435081774
1.02,12,float32,False,False,True,-0.39912641374589963,-0.3991264137458996,False,0.18791942704124587,-0.9034323446299535
1.02,12,float64,False,False,True,-0.21478744725036214,-0.2151827450516059,False,0.034048428999342475,-0.09623547557148589
1.02,13,float32,False,False,True,-0.33645037086218565,-0.3369983728844755,False,0.062175098987335725,-0.16271319052270897
1.02,13,float64,False,False,True,-0.6387808084541171,-0.6387808084541171,False,0.3159069039929756,-0.930885005884301
1.02,14,float32,False,False,True,-0.03464443892596836,-0.0346444389259683,False,0.0054582968713811075,-0.013335128679237362
1.02,14,float64,False,False,True,-0.3672811962275606,-0.3672811962275606,False,0.23959925958343753,-0.8372994367447291
1.02,15,float32,False,False,True,-0.6389823525091063,-0.6389823525091063,False,0.2356034364213695,-0.9163328867664076
1.02,15,float64,False,False,True,-0.3166824016708989,-0.3166824016708989,False,0.2230690844621126,-0.9151222801413024
1.02,16,float32,False,False,True,-0.16743848804461692,-0.1674384880446169,False,0.015074595787346823,-0.037083543305973604
1.02,16,float64,False,False,True,-0.06928170489358293,-0.0692817048935829,False,0.00734041050546398,-0.017875297578579145
1.02,17,float32,False,False,True,-0.011708911191099292,-0.0117133919750374,False,0.00287783550020404,-0.007465389319688542
1.02,17,float64,False,False,True,-0.021850792572350453,-0.0218645948151237,False,0.0026012304924756535,-0.006747773986757827
1.02,18,float32,False,False,True,-0.5499830201223577,-0.5499830201223577,False,0.24786941435270737,-0.9015980663995133
1.02,18,float64,False,False,True,-0.3550924265241284,-0.3550924265241284,False,0.23175209705328292,-0.7944276173184903
1.02,19,float32,False,False,True,-0.482867526761098,-0.482867526761098,False,0.2284361271113804,-0.9605145688570307
1.02,19,float64,False,False,True,-0.30784480374016354,-0.3078448037401635,False,0.2167511483679494,-0.9599426927967869
1.02,20,float32,False,False,True,-0.7251753436219031,-0.7251753436219031,False,0.29491230687484915,-0.9066010169789811
1.02,20,float64,False,False,True,-0.637217297243514,-0.637217297243514,False,0.29314269377752566,-0.9084785944680354
1.02,21,float32,False,False,True,-0.14754301901665967,-0.1479934401608202,False,0.040869695528879924,-0.10972937302197494
1.02,21,float64,False,False,True,-0.5990879223400714,-0.5990879223400714,False,0.26223852781819357,-0.9282213588929569
1.02,22,float32,False,False,True,-0.8418854278322927,-0.8418854278322927,False,0.2546351556864477,-0.9006024473154755
1.02,22,float64,False,False,True,-0.4147897651498611,-0.4147897651498611,False,0.24816486125484438,-0.9004059351681502
1.02,23,float32,False,False,True,-0.6075738869405103,-0.6075738869405103,False,0.2673586952695368,-0.8582494055536642
1.02,23,float64,False,False,True,-0.493147126635086,-0.493147126635086,False,0.26434853369324074,-0.8580011765034357
1.02,24,float32,False,False,True,-0.586660012320182,-0.586660012320182,False,0.24190194198880732,-0.9899803837862207
1.02,24,float64,False,False,True,-0.5796334626376223,-0.5796334626376223,False,0.24114506825458193,-0.9902594661663029
1.02,25,float32,False,False,True,-1.0325073413276828,-1.0325073413276828,False,0.26469914139233097,-0.9442737842998605
1.02,25,float64,False,False,True,-0.5321737791383234,-0.5321737791383234,False,0.2590692420997467,-0.9425342163685801
