activation,width,depth,seed,layer,final_layer,distortion,native_min_distance,reportable_native,rand_n,rand_n_reportable,rand_frac_zero_all,rand_frac_zero_reportable,rand_any_nonzero_reportable,rand_distinct_all,rand_distinct_reportable,rand_min_proj_dist,rand_median_proj_dist,pca_n,pca_n_reportable,pca_frac_zero_all,pca_frac_zero_reportable,pca_any_nonzero_reportable,pca_distinct_all,pca_distinct_reportable,pca_min_proj_dist,pca_median_proj_dist
gelu,10,8,2,2,False,0.5781088514094596,0.32130595714944576,True,48,44,0.9166666666666666,0.9545454545454546,True,"(-1, 0, 1)","(-1, 0, 1)",0.0005896600715267277,0.10514373184377428,20,18,0.8,0.8888888888888888,True,"(-2, -1, 0, 1)","(-1, 0, 1)",0.0018996399746995043,0.10652310308591892
gelu,10,8,2,3,False,0.7913577668543292,0.6362627669059936,True,48,44,0.9375,1.0,False,"(-1, 0, 1)","(0,)",0.004231355061970029,0.2455077596488411,20,15,0.85,0.9333333333333333,True,"(-1, 0, 1)","(0, 1)",0.006460002882511274,0.12162596175936079
gelu,10,8,2,4,False,0.948865998449356,1.4726138064468912,True,48,47,0.9791666666666666,1.0,False,"(0, 1)","(0,)",0.006351590559823554,0.7244412109255962,20,12,0.9,1.0,False,"(0, 1)","(0,)",0.001564111859388965,0.5669732340792905
gelu,10,8,2,5,False,0.9870721087644819,4.254649747260227,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.06488142194500805,1.9262327214450448,20,12,0.85,1.0,False,"(-1, 0, 1)","(0,)",0.0020498499249013546,2.1271030523296757
gelu,10,8,2,6,False,0.9972231080637144,10.162508632796253,True,48,48,1.0,1.0,False,"(0,)","(0,)",2.18605520761569,5.512701969613366,20,12,0.8,1.0,False,"(-2, 0, 1)","(0,)",0.0002351293602636518,5.051472598519735
gelu,10,8,2,7,False,0.9994673628813525,13.519578476759389,True,48,48,1.0,1.0,False,"(0,)","(0,)",2.16904415344313,7.350641145357737,20,11,0.9,1.0,False,"(-1, 0, 1)","(0,)",0.0016139228201670112,6.49095311011019
gelu,10,8,2,8,True,0.999821434305823,19.404476055171923,True,48,48,1.0,1.0,False,"(0,)","(0,)",3.7746249959412372,9.975235529112986,20,10,0.75,1.0,False,"(-4, -1, 0, 1)","(0,)",0.003985695778112817,9.47581753245794
gelu,12,8,2,1,False,0.290615915549981,0.40717109116308026,True,48,33,0.4166666666666667,0.3939393939393939,True,"(-1, 0, 1)","(-1, 0, 1)",0.0033806145931092363,0.03607644531165191,20,13,0.6,0.6923076923076923,True,"(-1, 0, 1)","(-1, 0, 1)",0.005574869114712975,0.0712578828761501
gelu,12,8,2,2,False,0.5902468166406707,0.2902895034600338,True,48,38,0.7916666666666666,0.8947368421052632,True,"(-1, 0, 1)","(-1, 0, 1)",0.0026392946258854823,0.06123941759380397,20,16,0.75,0.8125,True,"(-1, 0, 1)","(0, 1)",0.018602947676926503,0.10607328072214937
gelu,12,8,2,3,False,0.8305272446181039,0.507152090428212,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.03922841485676547,0.20081907333600846,20,17,0.9,0.8823529411764706,True,"(-1, 0, 1)","(-1, 0, 1)",0.008454581846480892,0.27819896510643133
gelu,12,8,2,4,False,0.9619206560310063,1.289704978454626,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.05425120407095591,0.6630054440933282,20,18,0.95,1.0,False,"(0, 1)","(0,)",0.007508702703765959,0.6767433208231242
gelu,12,8,2,5,False,0.991982263701639,3.3146543430129194,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.4734002677755037,1.5053770042519812,20,12,0.9,1.0,False,"(-1, 0, 1)","(0,)",0.0018849981889154585,1.6746406707986485
gelu,12,8,2,6,False,0.9986967985459909,8.052681285797496,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.2900904306600588,3.740689650198224,20,10,0.85,1.0,False,"(0, 1, 4, 5)","(0,)",0.002669027645475222,4.00532001147118
gelu,12,8,2,7,False,0.9997862546570615,13.86242146286761,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.9147620204262961,5.7100056983201375,20,12,0.8,1.0,False,"(-4, -2, -1, 0)","(0,)",0.0007618770829084709,6.864691386254131
gelu,12,8,2,8,True,0.9999560745241333,22.49459608877933,True,48,48,1.0,1.0,False,"(0,)","(0,)",2.635155589155447,10.888148514159592,20,11,0.65,0.9090909090909091,True,"(-3, -2, -1, 0, 2, 5, 9)","(0, 2)",0.0006975404743330332,11.12797767202642
gelu,15,8,2,1,False,0.4323089110448129,0.6512228384938497,True,48,41,0.375,0.36585365853658536,True,"(-1, 0, 1)","(-1, 0, 1)",0.006857025417311488,0.05946455829928711,20,17,0.8,0.8823529411764706,True,"(0, 1)","(0, 1)",0.01141182770694183,0.11599247089884492
gelu,15,8,2,2,False,0.35807618015946957,0.5801374242359785,True,48,38,0.5833333333333334,0.631578947368421,True,"(-1, 0, 1)","(-1, 0, 1)",0.0026830598368455657,0.048683987481854,20,19,0.75,0.7894736842105263,True,"(-1, 0, 1)","(-1, 0, 1)",0.012978679942514426,0.07597841822872142
gelu,15,8,2,3,False,0.6040698238528109,0.9681210345437448,True,48,48,0.8958333333333334,0.8958333333333334,True,"(-1, 0, 1)","(-1, 0, 1)",0.023828403329125124,0.24256928576642284,20,20,0.9,0.9,True,"(0, 1)","(0, 1)",0.024024734224964144,0.3436520846727059
gelu,15,8,2,4,False,0.8216267877646121,2.578679879866797,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.1996709110923327,0.9569307940790979,20,19,0.9,0.8947368421052632,True,"(-1, 0, 1)","(-1, 0, 1)",0.012139967380636496,1.1598004319446111
gelu,15,8,2,5,False,0.9580471481750984,6.778057518297128,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.928042133635775,2.488754783705259,20,20,0.95,0.95,True,"(0, 4)","(0, 4)",0.029758188051092437,2.827179111888202
gelu,15,8,2,6,False,0.9902734647117032,13.312108559455142,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.4448741241566891,4.4543419774178306,20,19,0.9,0.9473684210526315,True,"(-1, 0, 1)","(0, 1)",0.005568826471571676,6.320064635195996
gelu,15,8,2,7,False,0.9974651281874333,23.286997372301784,True,48,48,1.0,1.0,False,"(0,)","(0,)",1.7479710148755891,8.213067413148414,20,17,0.95,0.9411764705882353,True,"(0, 3)","(0, 3)",0.006235362898082304,10.881361810775633
gelu,15,8,2,8,True,0.9991047136389268,39.31227656769019,True,48,48,1.0,1.0,False,"(0,)","(0,)",2.048662583680106,15.404508983315718,20,17,0.95,1.0,False,"(-1, 0)","(0,)",0.003394570066819802,18.638609928437823
gelu,4,12,0,1,False,0.4773077374667753,0.1304005004099714,True,48,47,1.0,1.0,False,"(0,)","(0,)",0.005461618497803102,0.09397326458403293,4,3,0.75,1.0,False,"(-1, 0)","(0,)",0.005179108467956895,0.027902440274284977
