population,a,seed,w2,lambda_max,lambda_min,realized_step,lr_nominal
constructed_w2_1,1.25,-1,1.0,2.7753979819057375,-0.23666600769697294,,
constructed_w2_1,1.35,-1,1.0,2.8201448495401253,-0.10317140107019486,,
found_adam,1.45,2,5.466699600219727,2.8640044831157176,0.0005273135684251814,0.0011970996856689453,0.01
found_adam,1.45,5,4.6612348556518555,2.716341018368753,0.0006229442739211534,0.001135408878326416,0.01
found_adam,1.45,7,5.46549129486084,2.8751963544931556,0.0005286443908163838,0.001175522804260254,0.01
found_adam,1.45,10,-5.293097019195557,2.67622464315489,0.0005255104176968198,0.0011726617813110352,0.01
found_adam,1.45,12,5.196598052978516,2.8796295963219345,0.0005371981865416095,0.001165151596069336,0.01
found_adam,1.45,19,4.9232072830200195,2.6296217614536648,0.0005639946139685308,0.0011709481477737427,0.01
found_adam,1.45,39,-5.357658386230469,2.6546320453391865,0.0005212285855289829,0.001231074333190918,0.01
constructed_w2_1,1.45,-1,1.0,2.884491789292047,-0.019883856668602286,,
found_adam,1.5,1,4.394019603729248,2.5356423752753554,0.0007569259300110314,0.0010770559310913086,0.01
found_adam,1.5,2,5.441926002502441,2.7823540103990996,0.0006221146856669571,0.001160457730293274,0.01
found_adam,1.5,5,4.681643009185791,2.671382565589215,0.0007376868638589948,0.0011085271835327148,0.01
found_adam,1.5,7,5.425278186798096,2.793482528641633,0.0006254293480247674,0.001137852668762207,0.01
found_adam,1.5,9,4.547369956970215,2.5804433532210975,0.0007359586270382759,0.0010821819305419922,0.01
found_adam,1.5,10,-5.288018703460693,2.606779095357979,0.0006203879124503779,0.0011353492736816406,0.01
found_adam,1.5,12,5.196073532104492,2.8078171496716324,0.000634425932956976,0.001132965087890625,0.01
found_adam,1.5,19,4.939854621887207,2.567694800731638,0.000663665500491142,0.0011417567729949951,0.01
found_adam,1.5,30,-4.475937843322754,2.612195816162238,0.0007496075542261524,0.0010704994201660156,0.01
found_adam,1.5,31,-5.432450294494629,2.8638887269791824,0.0005946881530999283,0.0011620819568634033,0.01
found_adam,1.5,33,-4.509225368499756,2.5298678321220454,0.0007231403874588448,0.0013170838356018066,0.01
found_adam,1.5,34,4.176525592803955,2.5413228378097403,0.000798045237762443,0.0010377168655395508,0.01
found_adam,1.5,36,-5.20581579208374,2.5412413379749488,0.0006150617553528005,0.0012390613555908203,0.01
found_adam,1.5,38,-5.886249542236328,2.77799703818945,0.000522239628925985,0.0011419057846069336,0.01
