type,dmu,var,c,G
pair_c_nonzero,2.0423874796579313,5.6540528223466335,-1.791324422581162,-3.661624514215322
single_unit,2.0423874796579318,5.65405282231099,-1.791324422575688,-3.6616245141843433
single_unit,2.0423874796579313,5.654052822346919,-1.79132442258127,-3.6616245142157218
single_unit,2.0423874796579318,5.654052822346918,1.791324422581269,-3.6616245142157187
single_unit,2.042387479657932,5.654052822346057,-1.7913244225507707,-3.661624514143321
pair_c_nonzero,2.0423874796579327,5.65405281877279,1.791324421990903,-3.6616245110113455
pair_c_nonzero,2.042387479657932,5.65405282242877,1.7913244226076541,-3.661624514319458
pair_c_nonzero,2.0423874796579318,5.654052822348725,-1.7913244225813678,-3.661624514216868
single_unit,2.042387479657931,5.6540528223463715,-1.7913244225811882,-3.6616245142152524
single_unit,2.042387479657931,5.654052822346899,1.7913244225812677,-3.6616245142157062
single_unit,2.0423874796579327,5.654052820269316,1.7913244223263165,-3.661624512561211
single_unit,2.0423874796579313,5.654052822346923,-1.7913244225812708,-3.661624514215727
single_unit,2.0423874796579327,5.654052822346321,-1.791324422581081,-3.6616245142149797
single_unit,2.0423874796579318,5.654052822346919,1.7913244225812701,-3.661624514215723
single_unit,2.0423874796579318,5.654052822348024,1.7913244225814684,-3.6616245142167507
pair_c_nonzero,2.0423874796579327,5.654052822425147,1.7913244225950689,-3.661624514287926
single_unit,2.042387479657932,5.6540528223469435,1.7913244225812732,-3.6616245142157418
pair_c_nonzero,2.0423874796579327,5.654052822398142,1.7913244226000995,-3.6616245142861112
single_unit,2.0423874796579313,5.654052822346889,-1.791324422581259,-3.661624514215682
single_unit,2.0423874796579313,5.654052822347588,-1.791324422581414,-3.6616245142164017
pair_c_nonzero,2.042387479657932,5.654052822343669,1.7913244225904321,-3.661624514235692
pair_c_nonzero,2.0423874796579318,5.6540528223674436,-1.7913244226837628,-3.6616245144679587
single_unit,2.042387479657931,5.654052822347113,-1.7913244225812917,-3.6616245142158723
single_unit,2.042387479657931,5.654052822346865,-1.7913244225812437,-3.661624514215634
single_unit,2.0423874796579313,5.654052822346918,-1.7913244225812701,-3.6616245142157213
single_unit,2.042387479657931,5.654052822346939,1.7913244225812717,-3.661624514215737
single_unit,2.0423874796579318,5.654052822124895,1.7913244225566876,-3.6616245140451964
single_unit,2.042387479657932,5.654052822347178,1.7913244225813292,-3.6616245142159936
pair_c_nonzero,2.0423874796579318,5.65405282260944,-1.7913244226162317,-3.661624514431263
single_unit,2.042387479657931,5.654052822345992,-1.7913244225811857,-3.6616245142150534
single_unit,2.0423874796579313,5.6540528223469115,-1.7913244225812697,-3.661624514215718
single_unit,2.0423874796579313,5.654052822346919,-1.7913244225812701,-3.661624514215723
pair_c_nonzero,2.0423874796579313,5.654052810587894,-1.7913244211001782,-3.6616245047614964
single_unit,2.0423874796579318,5.654052822346919,1.7913244225812703,-3.661624514215724
pair_c_nonzero,2.0423874796579327,5.654052822346946,1.7913244225812741,-3.6616245142157458
pair_c_nonzero,2.0423874796579318,5.6540528224197395,-1.7913244225945155,-3.661624514283883
single_unit,2.0423874796579313,5.654052822346935,-1.791324422581278,-3.6616245142157497
single_unit,2.0423874796579313,5.6540528223469915,-1.7913244225813238,-3.6616245142158874
single_unit,2.0423874796579318,5.654052822354772,-1.7913244225815224,-3.6616245142202977
single_unit,2.0423874796579327,5.6540528070538265,1.791324418318675,-3.6616244964073856
single_unit,2.0423874796579318,5.654052822346919,1.7913244225812703,-3.661624514215724
pair_c_nonzero,2.042387479657936,5.65405282199524,1.7913244227849805,-3.6616245145181416
pair_c_nonzero,2.042387479657932,5.654052818504879,1.7913244225718539,-3.6616245122463345
single_unit,2.0423874796579327,5.654052823038958,1.791324422696719,-3.661624514838857
single_unit,2.0423874796579313,5.654052822346921,1.7913244225812703,-3.6616245142157253
single_unit,2.0423874796579313,5.6540528223468955,-1.791324422581289,-3.661624514215757
single_unit,2.042387479657932,5.65405282196265,1.7913244225074676,-3.661624513846834
single_unit,2.0423874796579318,5.65405282234669,-1.79132442258126,-3.6616245142155837
single_unit,2.042387479657931,5.654052822346921,-1.7913244225812703,-3.661624514215725
pair_c_nonzero,2.0423874796579313,5.654052822346847,-1.7913244225810834,-3.661624514215246
single_unit,2.0423874796579313,5.654052822346906,-1.7913244225812697,-3.6616245142157147
pair_c_nonzero,2.042387479657932,5.654052821144015,1.7913244220304452,-3.661624512306398
single_unit,2.0423874796579313,5.654052822347023,1.7913244225812905,-3.6616245142158244
pair_c_nonzero,2.0423874796579327,5.654052820512573,-1.7913244223417437,-3.6616245127208975
pair_c_nonzero,2.0423874796579327,5.652927421357521,-1.7911022764275182,-3.661002504985233
pair_c_nonzero,2.0423874796579318,5.654052824360874,-1.7913244226384208,-3.6616245153712565
pair_c_nonzero,2.0423874796579313,5.654052828686286,-1.7913244229866134,-3.661624518384974
pair_c_nonzero,2.042387479657932,5.654052821973387,1.7913244222805942,-3.6616245133169625
single_unit,2.0423874796579327,5.65405282234691,1.7913244225812686,-3.6616245142157138
pair_c_nonzero,2.0423874796579313,5.6540528193953445,-1.7913244220161486,-3.661624511386432
single_unit,2.0423874796579313,5.654052822346963,-1.7913244225812723,-3.66162451421575
pair_c_nonzero,2.0423874796579327,5.654052822106575,1.7913244225274882,-3.661624513967014
single_unit,2.042387479657931,5.654052822346812,-1.7913244225812581,-3.6616245142156405
pair_c_nonzero,2.0423874796579327,5.654052815547076,1.79132442098522,-3.661624507003598
single_unit,2.0423874796579313,5.654052822346921,1.7913244225812701,-3.661624514215724
single_unit,2.0423874796579318,5.654052821809928,-1.7913244224373024,-3.661624513603878
single_unit,2.0423874796579318,5.654052822015112,-1.7913244225164804,-3.6616245138946883
single_unit,2.042387479657932,5.654052804006877,1.7913244175282843,-3.661624492998227
pair_c_nonzero,2.0423874796579318,5.654052822582372,1.791324422639748,-3.661624514473031
single_unit,2.0423874796579318,5.654052822346919,1.7913244225812703,-3.661624514215724
single_unit,2.042387479657932,5.65405282234693,1.7913244225812712,-3.66162451421573
single_unit,2.0423874796579313,5.6540528223469835,-1.7913244225812888,-3.6616245142157986
single_unit,2.0423874796579313,5.654052822346909,-1.791324422581267,-3.6616245142157107
pair_c_nonzero,2.0423874796579327,5.65405282241622,1.7913244225977636,-3.6616245142897603
pair_c_nonzero,2.0423874796579318,5.654052822473406,-1.7913244225985037,-3.6616245143204895
single_unit,2.0423874796579327,5.6540528223469275,-1.791324422581271,-3.66162451421573
single_unit,2.042387479657936,5.654052822346919,-1.7913244225812703,-3.6616245142157204
single_unit,2.0423874796579318,5.654052822346921,1.7913244225812706,-3.661624514215725
single_unit,2.0423874796579318,5.654052822346919,1.7913244225812703,-3.661624514215724
pair_c_nonzero,2.0423874796579327,5.654052824418785,1.791324423649165,-3.6616245177854827
single_unit,2.0423874796579313,5.654052822346915,-1.7913244225812706,-3.661624514215722
single_unit,2.042387479657932,5.654052822346913,1.791324422581269,-3.6616245142157164
single_unit,2.042387479657932,5.654052822492356,1.791324422611483,-3.6616245143607196
pair_c_nonzero,2.042387479657932,5.654052819655644,1.791324422145034,-3.661624511822457
single_unit,2.0423874796579313,5.6540528223469275,-1.791324422581272,-3.661624514215731
single_unit,2.0423874796579318,5.654052822346921,1.7913244225812706,-3.661624514215725
single_unit,2.0423874796579313,5.654052822346926,-1.7913244225812721,-3.6616245142157307
single_unit,2.0423874796579313,5.654052822346932,-1.79132442258127,-3.6616245142157284
single_unit,2.042387479657931,5.654052822345559,-1.7913244225810787,-3.661624514214581
pair_c_nonzero,2.042387479657932,5.654052822782835,1.7913244227232301,-3.6616245147716064
single_unit,2.0423874796579313,5.65405282234713,-1.7913244225812566,-3.6616245142157977
single_unit,2.0423874796579313,5.654052822346806,-1.7913244225812082,-3.66162451421552
pair_c_nonzero,2.042387479657932,5.654052822364065,1.791324422583899,-3.6616245142306143
single_unit,2.0423874796579327,5.654052822929143,1.7913244226691687,-3.6616245147181976
single_unit,2.0423874796579327,5.654052822346922,-1.791324422581247,-3.66162451421567
single_unit,2.0423874796579318,5.654052822346921,-1.7913244225812708,-3.661624514215725
single_unit,2.0423874796579313,5.654052822346937,-1.7913244225812732,-3.6616245142157386
