a,w2,halfwidth_b1,halfwidth_w1,halfwidth_b2,basin_eps03,basin_eps10,reach_standard,reach_scaled3x
1.5,1.0,0.049783266551971544,0.06125,0.038800923213460056,0.7666666666666667,0.18333333333333332,0.7,0.89
1.5,1.5,0.049783266551971544,0.06125,0.05820138482019008,0.6666666666666666,0.15,0.68,0.78
1.5,2.0,0.049783266551971544,0.06125,0.07760184642692011,0.65,0.15,0.66,0.58
1.5,3.0,0.049783266551971544,0.06125,0.11640276964038015,0.6,0.21666666666666667,0.65,0.21
1.5,4.0,0.049783266551971544,0.06125,0.15520369285384022,0.7166666666666667,0.23333333333333334,0.47,0.06
1.5,5.0,0.049783266551971544,0.06125,0.1940046160673003,0.7,0.2833333333333333,0.21,0.02
1.5,6.0,0.049783266551971544,0.06125,0.2328055392807603,0.6833333333333333,0.3333333333333333,0.01,0.0
1.5,8.0,0.049783266551971544,0.06125,0.31040738570768045,0.7166666666666667,0.4166666666666667,0.0,0.0
1.5,10.0,0.049783266551971544,0.06125,0.3880092321346006,0.7333333333333333,0.4,0.0,0.0
1.5,14.0,0.049783266551971544,0.06125,0.5432129249884409,0.7333333333333333,0.43333333333333335,0.0,0.0
1.5,20.0,0.049783266551971544,0.06125,0.7760184642692012,0.7333333333333333,0.35,0.0,0.0
