a,eps,K_lo,K_hi,box_argmax_u,box_argmax_v,box_kept_spread,exclusion_closed,exclusion_rounds,exclusion_peak_cells,Ghat_lo,Ghat_hi
1.01,0.010000000000000009,0.5772852777999649,0.57728558606861,1.5996940553188332,1.2001550734043136,2.0158886549019373e-05,True,10,43408,0.0005772852777999656,0.0005772855860686108
1.02,0.020000000000000018,0.5751413021347327,0.5751416111724141,1.5938825190067292,1.1961739599704753,2.0325970424515183e-05,True,8,11616,0.001626745259519724,0.0016267461336102848
1.03,0.030000000000000027,0.5730233854915096,0.5730236942005112,1.5881395459175118,-1.1922375082969652,2.059869087745757e-05,True,7,5464,0.0029775168527892675,0.0029775184568882947
1.04,0.040000000000000036,0.5709309773847495,0.5709312871112062,1.5824637293815618,-1.1883448243141166,2.0852606391209625e-05,True,6,2646,0.004567447819078002,0.004567450296889656
