family,q,beta_theory,beta_measured,error,D_at_eps_0.01
q0.667_beta2.5,0.6666666666666666,2.5,2.4933511079726567,0.006648892027343312,7.881482694732593e-06
q1_beta2,1.0,2.0,1.9955674053151122,0.0044325946848877695,9.900990099009918e-05
q2_beta1.5,2.0,1.5,1.497783702657568,0.0022162973424320054,0.0013267162536133204
q4_beta1.25,4.0,1.25,1.2488918513287968,0.0011081486712032351,0.00504707361442012
