split,n,q1,median,q3,max
before crossing,197,0.1468669886607918,0.8338867453427694,1.0679444328910273,9.176094575727252
after crossing,211,0.0010008812259486,0.0017074318984032,0.0033106260144034998,0.0082049690253878
all,408,0.001634150853684475,0.0065063943944473,0.823134438163382,9.176094575727252
