a,seed,optimiser,cross_step,cross_w2,cross_R,local_rate,final_placed,final_solved,R_final
1.25,0,adam,4750.0,6.271980779973325,0.2077479223328586,0.0022491835090206773,True,True,1.4834302050757995
1.25,1,adam,3400.0,6.750176573669566,0.22358728570047542,0.0023220179043157824,True,True,1.6166417162399076
1.25,2,adam,2475.0,6.462511092493535,0.21405889138013176,0.002511286610430024,True,True,1.6963273553929357
1.25,3,adam,4100.0,7.58860518053939,0.2513587038875031,0.0023404698164795406,True,True,1.586392692326478
1.25,4,adam,,,,,False,False,0.02030732756470622
1.25,5,adam,3150.0,6.921476540990459,0.2292612846419635,0.0024524774467562633,True,True,1.6587196762555503
1.25,6,adam,4775.0,6.205299300392256,0.2055392199584379,0.002980489274079293,True,True,1.5044862158449537
1.25,7,adam,2500.0,6.635096926245364,0.21977548230153746,0.002505405698234172,True,True,1.6989374705226936
1.25,8,adam,,,,,False,False,0.02803745111975722
1.25,9,adam,3650.0,7.584179157253192,0.251212099939857,0.002385199593806973,True,True,1.6248085749069543
1.25,10,adam,2800.0,6.910779968579847,0.2289069801929634,0.0024507328578226807,True,True,1.6757402333706322
1.25,11,adam,4525.0,7.123587051251157,0.23595582661542797,0.002889731378638467,True,True,1.5712381008150509
1.25,12,adam,2575.0,6.2460847011689955,0.20689016196067353,0.00242985144219234,True,True,1.6796191121275472
1.25,13,adam,5100.0,7.41202620366272,0.24550984738415993,0.002522286192768464,True,True,1.5107306313463686
1.25,14,adam,5325.0,6.266178304195965,0.20755572590729202,0.002724516108200411,True,True,1.459487021301594
1.25,15,adam,3525.0,6.572040689207348,0.21768685947338656,0.0024118430186299937,True,True,1.5969283122326074
1.25,16,adam,4075.0,6.652696655749363,0.220358441236895,0.003101932000345669,True,True,1.6004974693110587
1.25,17,adam,,,,,False,False,0.034223680906991835
1.25,18,adam,3375.0,6.937368962944465,0.22978769212910438,0.0023312145433929715,True,True,1.622902956824693
1.25,19,adam,2825.0,6.473903623034772,0.21443624817268012,0.0024709442981824055,True,True,1.6811178191991505
1.25,20,adam,4225.0,7.31363468941513,0.24225080795511889,0.0022859759052640443,True,True,1.5690066530698146
1.25,21,adam,9000.0,7.141253970308954,0.23654101108219155,0.0028583111797477706,True,True,1.1745267937002988
