act,R2,unplaced_candidates,no_descent,descended_to_placed,descended_still_unplaced,no_descent_single_unit,lowest_local_min_minus_placed,lowest_local_min_G,lowest_local_min_single_unit,boundary_inf_minus_placed,predicted_single_unit_gap,predicted_boundary_gap
f1.30,0.001,399,199,3,197,157,1.6092890580132746e-06,-3.654602377308377,True,9.921359334086333e-08,1.6106502735027353e-06,9.905855685783642e-08
f1.30,0.003,399,246,4,149,181,1.4458869250444373e-05,-3.64053905208476,True,8.911864028959826e-07,1.4495852461524616e-05,8.870090290507618e-07
f1.30,0.01,399,299,3,97,186,0.0001596656911184713,-3.591116276645438,True,9.834206716963223e-06,0.0001610650273502735,9.681266214152816e-06
f1.30,0.02,398,327,8,63,199,0.0006327319571601819,-3.519967998129502,True,3.8945446059091005e-05,0.000644260109401094,3.7742369940077146e-05
f1.50,0.001,399,197,3,199,162,1.2089843661744482e-06,-3.447581204908556,True,9.921410271118702e-08,1.2097835322998613e-06,9.905882989235582e-08
f1.50,0.003,397,240,1,156,180,1.0866324289260376e-05,-3.4361117704805837,True,8.911909753495095e-07,1.088805179069875e-05,8.870130827534833e-07
f1.50,0.01,398,299,3,96,211,0.00012015432911527402,-3.3957237088059657,True,9.834256994412094e-06,0.00012097835322998612,9.681315168381603e-06
f1.50,0.02,399,318,3,78,192,0.00047710264463141083,-3.337364106046211,True,3.8945644137200475e-05,0.0004839134129199445,3.774255500674067e-05
