window,i_lo,i_hi,o_lo,o_hi,symmetric,K_lo,K_hi,K_argmax_near_box_edge,A_lo,A_hi,status_lo,status_hi,switch_certified,R_inf_lo,R_inf_hi,branch_loss_upper_over_bracket,B_P,B_full,localised,localisation_margin,argmin_shift,dG_dA_float,all_converged,evaluations
base,-0.8,0.8,1.2,2.0,True,0.5794557826009681,0.5794951414335255,False,0.68375,0.686875,minus,plus,True,0.19810144567670596,0.19902036263607642,0.35286497525248545,0.38797358308679,0.47738562622110964,True,0.03510860783430453,0.0015623903061140248,1.6903719203795187,True,9
G1_wide_gap,-0.6,0.6,1.4,2.0,True,1.1323165331392007,1.1323936574271092,False,0.346875,0.35,minus,plus,True,0.19638614871633012,0.19816889004974408,0.40780854014183077,0.35296162111638213,0.47738562622110964,False,-0.05484691902544864,0.004733045392546186,5.769947475683434,True,9
G2_narrow_gap,-0.95,0.95,1.05,2.0,True,0.14118504677405036,0.14119442362768914,False,1.7425,1.745625,minus,plus,True,0.12300747200189137,0.12323625787254243,0.23091088865212073,0.4028424250836912,0.47738562622110964,True,0.1719315364315705,0.00026087542429031673,0.08371119796915516,True,19
G3_far_outer,-0.8,0.8,1.2,3.0,True,0.48158462319934525,0.48161401105088036,False,0.801875,0.805,minus,plus,True,0.1930853348639875,0.19384963944797937,0.33839980375276313,0.43869031373279654,0.47738562622110964,True,0.10029050998003342,0.0010489901154262485,0.7323439438619572,True,9
G4_shifted,-0.4,1.2,1.6,2.4,False,1.0415445518370812,1.0416116906903956,False,0.258125,0.26125,minus,plus,True,0.13442434372147327,0.1360605270964329,0.4257981626649227,0.38797358308679,0.47738562622110964,False,-0.03782457957813273,0.007174735817838957,6.318080999127617,True,10
H10,-0.6,0.6,0.8,2.0,True,0.3601639465349631,0.3601866721202895,False,1.035,1.04125,minus,plus,False,0.18638484233184338,0.18752218617262573,0.30419263388970286,0.41878871200968004,0.47738562622110964,True,0.11459607811997718,0.0014343592149137431,0.18789673640799176,True,9
H35,-0.6,0.6,0.9,1.7,True,0.5670517798897916,0.5670898257210535,False,0.6975,0.700625,minus,plus,True,0.19775930823656482,0.19865865457290657,0.3513098704989696,0.38797358308679,0.47738562622110964,True,0.03666371258782036,0.0016415807075782914,1.0351319167742623,True,9
H65,-0.8,0.8,1.4,2.2,True,0.7898668755444336,0.789908366431944,False,0.50375,0.506875,minus,plus,True,0.19894771927775423,0.20019240161759577,0.3817921825686669,0.38797358308679,0.47738562622110964,True,0.006181400518123048,0.002484517404689946,3.1995860615531835,True,9
H90,-0.7,0.7,1.5,2.7,True,0.9678146515161204,0.9678649524042612,False,0.41,0.413125,minus,plus,True,0.19840200356080467,0.19992460423100522,0.398888870803964,0.41878871200968004,0.47738562622110964,True,0.01989984120571603,0.0033167753941272986,4.296126611498918,True,9
