a,lambda_fitted,B1_base_median_cross_w2,B2_pooled_median_cross_R,B3_frac_by_1000,B3_frac_by_2000,B3_frac_by_4000,B3_frac_by_8000,B3_frac_by_12000,U_expected_log_error_min,U_expected_log_error_max
1.3,1.1148657085990012,5.519099386510101,0.2280329273471252,0.0,0.1,0.75,0.9,0.925,0.08010901561935586,0.1824332611910125
1.5,1.1644021378607485,2.942157930809711,0.2280329273471252,0.175,0.65,0.85,0.925,0.925,0.08010901561935586,0.1824332611910125
