a,L,h,Ghat_lo,Ghat_hi,slack,w1,b1,D,kappa_lo,kappa_hi,rel_width
1.02,4.04,6.400000000000001e-07,0.001626744762345922,0.001628037562345922,1.2928000000000004e-06,0.22540799999998867,2.97242785358977,0.005285980527226286,0.3077470213836607,0.30799159284837596,0.0007947159443351606
1.05,4.1,6.400000000000001e-07,0.006360085993950548,0.006361397993950548,1.312e-06,-0.3525939200000094,2.87673121358977,0.020623144260030646,0.3083955537408968,0.3084591715861418,0.0002062865189633853
1.1,4.2,3.2000000000000007e-06,0.017671950853019425,0.017678670853019426,6.720000000000002e-06,-0.489190400000009,2.77267425358977,0.05711580668831928,0.30940560726832045,0.30952326296452154,0.000380263619783299
1.25,4.5,1.6000000000000003e-05,0.0665056222110576,0.0665416222110576,3.600000000000001e-05,-0.7378400000000085,2.583784653589769,0.21299778241343104,0.3122362188821734,0.31240523472633897,0.0005413076188618653
1.3,4.6,1.6000000000000003e-05,0.08610179387777928,0.08613859387777928,3.68e-05,-0.7964960000000085,2.5389846535897695,0.27500495743010767,0.3130917881713532,0.31322560394087207,0.00042740108356210054
1.35,4.7,1.6000000000000003e-05,0.10691355066123354,0.10695115066123353,3.7600000000000006e-05,-0.8480640000000084,2.4993846535897695,0.34058771068344873,0.31390900877395966,0.31401940618062046,0.00035168600956054835
1.4,4.8,1.6000000000000003e-05,0.12877189555569046,0.12881029555569046,3.8400000000000005e-05,-0.8939200000000075,8.747064653589788,0.40920504760581977,0.3146879451001646,0.3147817855848426,0.00029820171423497455
1.45,4.9,1.6000000000000003e-05,0.15154531873732013,0.15158451873732012,3.920000000000001e-05,-0.935376000000008,2.43178465358977,0.48043285485966614,0.3154349607950654,0.3155165538826394,0.000258668498153587
1.5,5.0,1.6000000000000003e-05,0.1751262004888403,0.17516620048884032,4.000000000000001e-05,-0.9730560000000078,8.685688653589784,0.5539306363639294,0.31615185908183524,0.31622407028911304,0.00022840671406310328
1.6,5.2,8e-05,0.22436020212556196,0.22456820212556197,0.00020800000000000001,1.038559999999987,3.932552653589764,0.7066696116436297,0.31748952895218846,0.3177838673481982,0.0009270806409935737
