activation,parameter,depth,seed,layer,layer_determinant,linking_number,converged,residual,min_distance,regime
sin_family,0.95,8,2,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
sin_family,0.95,8,2,1,0.8114702602069738,-1.0,True,1.1928142895634153e-07,0.7915377954458623,exact (d=3)
sin_family,0.95,8,2,2,0.9653111881291282,-1.0,True,2.1924941950857146e-07,0.8568036849757815,exact (d=3)
sin_family,0.95,8,2,3,-0.34332671272725224,1.0,True,1.0154592666733464e-07,0.8662512082403016,exact (d=3)
sin_family,0.95,8,2,4,0.0023130606450602067,,False,,0.018340739225489913,artifact (too close)
sin_family,0.95,8,2,5,0.877460513768216,,True,,0.010695783746431379,artifact (too close)
sin_family,0.95,8,2,6,-0.6694200350477371,,True,,0.015530861715785318,artifact (too close)
sin_family,0.95,8,2,7,0.8997805256677232,-1.0,True,6.205950181159547e-05,0.03374094874918369,exact (d=3)
sin_family,0.95,8,2,8,0.04395231224652711,,False,,0.015391536805486198,artifact (too close)
sin_family,0.9,12,0,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
sin_family,0.9,12,0,1,-1.3131983400682787,1.0,True,1.44806201474168e-07,0.7506661058359172,exact (d=3)
sin_family,0.9,12,0,2,-0.8285269620721513,-1.0,True,3.513510764552308e-07,0.7566819314927051,exact (d=3)
sin_family,0.9,12,0,3,-1.1630233995145904,1.0,True,7.364624465822089e-09,1.0278373546244945,exact (d=3)
sin_family,0.9,12,0,4,-0.0002959623759711544,,True,,0.004504039099143383,artifact (too close)
sin_family,0.9,12,0,5,-0.26564028496198405,,False,,0.0048119479409631126,artifact (too close)
sin_family,0.9,12,0,6,0.42014279398815246,,False,,0.004317891010547943,artifact (too close)
sin_family,0.9,12,0,7,-0.8243075035999781,,False,,0.003723910170965195,artifact (too close)
sin_family,0.9,12,0,8,-0.0008014835831831736,,True,,0.00045710237877144935,artifact (too close)
sin_family,0.9,12,0,9,-0.6391939392185857,,True,,0.0011488441918433363,artifact (too close)
sin_family,0.9,12,0,10,0.5981161257689425,,True,,0.00235612523712175,artifact (too close)
sin_family,0.9,12,0,11,0.16105916310866522,,True,,0.0013737892468514757,artifact (too close)
sin_family,0.9,12,0,12,-0.09608711822602695,,True,,0.0005240192812349702,artifact (too close)
sin_family,0.95,12,19,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
sin_family,0.95,12,19,1,-2.022495552672629,1.0,True,1.6631937116429185e-07,0.909823368840677,exact (d=3)
sin_family,0.95,12,19,2,0.989628699265967,1.0,True,4.5238047907680823e-07,1.101958271802197,exact (d=3)
sin_family,0.95,12,19,3,1.4494954835411242,1.0,True,8.80969286409794e-07,1.247232643258303,exact (d=3)
sin_family,0.95,12,19,4,-0.0019903817919251464,-1.0,True,0.0002020888935747589,0.027838917325920566,exact (d=3)
sin_family,0.95,12,19,5,0.43021678827644405,-1.0,True,0.023745873243539828,0.028714577361256547,exact (d=3)
sin_family,0.95,12,19,6,-0.8135037794168408,,False,,0.010814406602295367,artifact (too close)
sin_family,0.95,12,19,7,0.5324479313401203,,False,,0.010539527439260699,artifact (too close)
sin_family,0.95,12,19,8,0.48941260798348557,,False,,0.014898099004341109,artifact (too close)
sin_family,0.95,12,19,9,-0.31555137995222393,,True,,0.004322117311996468,artifact (too close)
sin_family,0.95,12,19,10,0.07455619591468951,,True,,0.0006433457036684707,artifact (too close)
sin_family,0.95,12,19,11,0.4944996713130296,,True,,9.297661650696025e-05,artifact (too close)
sin_family,0.95,12,19,12,-0.09563576103585314,,True,,2.6116494564512155e-05,artifact (too close)
sin_family,1.0,3,4,0,,-1.0,True,9.804571887706004e-08,0.9999999999999998,exact (d=3)
