a,w2,solved,budget,opt,src,gstar,R
1.02,0.7251890897750854,False,2000,adam,sweep,0.001615604787961633,0.0005858094828090834
1.02,1.217858076095581,False,2000,adam,sweep,0.001615604787961633,0.0009837886693988818
1.02,0.1791749447584152,False,2000,adam,sweep,0.001615604787961633,0.00014473794931722835
1.02,1.985611915588379,False,2000,adam,sweep,0.001615604787961633,0.0016039820589291275
1.02,2.7605443000793457,False,2000,adam,sweep,0.001615604787961633,0.002229974294294193
1.02,2.2275843620300293,False,2000,adam,sweep,0.001615604787961633,0.0017994479804420876
1.02,2.890148162841797,False,2000,adam,sweep,0.001615604787961633,0.0023346686049028624
1.02,1.77324378490448,False,2000,adam,sweep,0.001615604787961633,0.001432430574557443
1.02,0.2667363286018371,False,2000,adam,sweep,0.001615604787961633,0.00021547024480621777
1.02,0.2058672755956649,False,2000,adam,sweep,0.001615604787961633,0.00016630007806848663
1.02,2.8277440071105957,False,2000,adam,sweep,0.001615604787961633,0.002284258378508846
1.02,0.7136054039001465,False,2000,adam,sweep,0.001615604787961633,0.0005764521536281859
1.02,2.07173752784729,False,2000,adam,sweep,0.001615604787961633,0.0016735545346949394
1.02,0.8377014398574829,False,2000,adam,sweep,0.001615604787961633,0.0006766972285580517
1.02,3.916680812835694,False,2000,adam,sweep,0.001615604787961633,0.003163904137067404
1.02,2.24273419380188,False,2000,adam,sweep,0.001615604787961633,0.0018116860508157952
1.02,2.0561983585357666,False,2000,adam,sweep,0.001615604787961633,0.0016610019565246176
1.02,0.3384093344211578,False,2000,adam,sweep,0.001615604787961633,0.000273367870490866
1.02,2.938716411590576,False,2000,adam,sweep,0.001615604787961633,0.002373902152513582
1.02,2.4122462272644043,False,2000,adam,sweep,0.001615604787961633,0.0019486182772553786
1.02,3.4348320960998535,False,2000,adam,sweep,0.001615604787961633,0.0027746655901516076
1.02,1.731617450714111,False,2000,adam,sweep,0.001615604787961633,0.0013988047221458176
1.02,0.2531621158123016,False,2000,adam,sweep,0.001615604787961633,0.00020450496321842594
1.02,0.506855309009552,False,2000,adam,sweep,0.001615604787961633,0.0004094389320198026
1.02,1.3859091997146606,False,2000,adam,sweep,0.001615604787961633,0.0011195407693695405
1.02,1.1851027011871338,False,2000,adam,sweep,0.001615604787961633,0.000957328799132099
1.02,2.0663673877716064,False,2000,adam,sweep,0.001615604787961633,0.0016692165226857899
1.02,2.531585216522217,False,2000,adam,sweep,0.001615604787961633,0.0020450205984730904
1.02,2.318295478820801,False,2000,adam,sweep,0.001615604787961633,0.0018727246377463463
1.02,0.4996935427188873,False,2000,adam,sweep,0.001615604787961633,0.0004036536400650726
1.02,1.823993682861328,False,2000,adam,sweep,0.001615604787961633,0.001473426463621267
1.02,2.6454687118530273,False,2000,adam,sweep,0.001615604787961633,0.0021370159586362224
1.02,2.985024690628052,False,2000,adam,sweep,0.001615604787961633,0.002411310091181187
1.02,3.0933923721313477,False,2000,adam,sweep,0.001615604787961633,0.0024988497637296997
1.02,2.3061256408691406,False,2000,adam,sweep,0.001615604787961633,0.0018628938135146365
1.02,0.7285428643226624,False,2000,adam,sweep,0.001615604787961633,0.0005885186699174879
1.02,2.2047922611236572,False,2000,adam,sweep,0.001615604787961633,0.0017810364667660678
1.02,1.776800513267517,False,2000,adam,sweep,0.001615604787961633,0.001435303708243844
1.02,3.233872175216675,False,2000,adam,sweep,0.001615604787961633,0.0026123296849679804
1.02,2.50499963760376,False,2000,adam,sweep,0.001615604787961633,0.002023544704177395
1.02,1.5780085325241089,False,2000,adam,sweep,0.001615604787961633,0.0012747190702951303
1.02,2.7390036582946777,False,2000,adam,sweep,0.001615604787961633,0.002212573712292655
1.02,0.203702688217163,False,2000,adam,sweep,0.001615604787961633,0.00016455151920215214
1.02,2.085287570953369,False,2000,adam,sweep,0.001615604787961633,0.0016845002919545734
1.02,1.1525509357452393,False,2000,adam,sweep,0.001615604787961633,0.0009310334050798345
1.02,1.6416988372802734,False,2000,adam,sweep,0.001615604787961633,0.001326168250950528
1.02,0.2346196919679641,False,2000,adam,sweep,0.001615604787961633,0.00018952634884676314
1.02,2.180555820465088,False,2000,adam,sweep,0.001615604787961633,0.0017614582119805015
1.02,1.976944923400879,False,2000,adam,sweep,0.001615604787961633,0.001596980841891452
1.02,2.66274356842041,False,2000,adam,sweep,0.001615604787961633,0.0021509706291270294
1.02,1.693675875663757,False,2000,adam,sweep,0.001615604787961633,0.0013681554269887389
1.02,2.3936619758605957,False,2000,adam,sweep,0.001615604787961633,0.0019336058744810407
1.02,2.4227755069732666,False,2000,adam,sweep,0.001615604787961633,0.0019571238546110914
1.02,2.4670181274414062,False,2000,adam,sweep,0.001615604787961633,0.001992863149341239
1.02,1.65245258808136,False,2000,adam,sweep,0.001615604787961633,0.0013348551565919187
1.02,1.5803767442703247,False,2000,adam,sweep,0.001615604787961633,0.001276632117413177
1.02,2.321530818939209,False,2000,adam,sweep,0.001615604787961633,0.0018753381532393386
1.02,2.0537970066070557,False,2000,adam,sweep,0.001615604787961633,0.0016590621386878145
1.02,1.9631832838058472,False,2000,adam,sweep,0.001615604787961633,0.0015858641564814842
1.02,3.2651898860931396,False,2000,adam,sweep,0.001615604787961633,0.0026376282067879877
1.02,0.3012093901634216,False,2000,adam,sweep,0.001615604787961633,0.00024331766646351377
1.02,3.2727468013763428,False,2000,adam,sweep,0.001615604787961633,0.0026437327010448695
1.02,2.05783748626709,False,2000,adam,sweep,0.001615604787961633,0.001662326047830021
1.02,0.6474841833114624,False,2000,adam,sweep,0.001615604787961633,0.0005230392733437132
1.02,0.7379094958305359,False,2000,adam,sweep,0.001615604787961633,0.0005960850572730843
1.02,1.6796776056289673,False,2000,adam,sweep,0.001615604787961633,0.0013568475909430456
1.02,2.6339476108551025,False,2000,adam,sweep,0.001615604787961633,0.002127709185668804
1.02,2.5644845962524414,False,2000,adam,sweep,0.001615604787961633,0.0020715967961796498
1.02,0.3241135776042938,False,2000,adam,sweep,0.001615604787961633,0.0002618197239104357
1.02,1.916837453842163,False,2000,adam,sweep,0.001615604787961633,0.0015484258840857922
1.02,2.482865333557129,False,2000,adam,sweep,0.001615604787961633,0.002005664560379427
1.02,0.9352400302886964,False,2000,adam,sweep,0.001615604787961633,0.0007554891354139003
1.02,2.2569127082824707,False,2000,adam,sweep,0.001615604787961633,0.001823139488756308
1.02,2.5623202323913574,False,2000,adam,sweep,0.001615604787961633,0.0020698484178712207
1.02,2.172123432159424,False,2000,adam,sweep,0.001615604787961633,0.0017546465085202104
1.02,1.9604510068893433,False,2000,adam,sweep,0.001615604787961633,0.0015836570166473138
1.02,0.3784390687942505,False,2000,adam,sweep,0.001615604787961633,0.00030570398574786647
1.02,2.6981282234191895,False,2000,adam,sweep,0.001615604787961633,0.0021795544381452286
1.02,0.9610212445259094,False,2000,adam,sweep,0.001615604787961633,0.0007763152619944533
1.02,0.4842777252197265,False,2000,adam,sweep,0.001615604787961633,0.00039120070578407915
1.02,2.078688144683838,False,2000,adam,sweep,0.001615604787961633,0.0016791692596151461
1.02,1.7687381505966189,False,2000,adam,sweep,0.001615604787961633,0.0014287909123771507
1.02,1.175806999206543,False,2000,adam,sweep,0.001615604787961633,0.0009498197088184454
1.02,1.3314809799194336,False,2000,adam,sweep,0.001615604787961633,0.0010755735231188419
1.02,2.045628309249878,False,2000,adam,sweep,0.001615604787961633,0.0016524634454069815
1.02,1.894825458526611,False,2000,adam,sweep,0.001615604787961633,0.0015306445415735948
1.02,0.5221442580223083,False,2000,adam,sweep,0.001615604787961633,0.00042178938163375785
1.02,1.6924313306808472,False,2000,adam,sweep,0.001615604787961633,0.0013671500805721272
1.02,2.3201327323913574,False,2000,adam,sweep,0.001615604787961633,0.0018742087755789917
1.02,2.311551570892334,False,2000,adam,sweep,0.001615604787961633,0.0018672768927769446
1.02,2.706500291824341,False,2000,adam,sweep,0.001615604787961633,0.002186317415045481
1.02,1.2308377027511597,False,2000,adam,sweep,0.001615604787961633,0.0009942736428842354
1.02,0.310977429151535,False,2000,adam,sweep,0.001615604787961633,0.0002512083117426097
1.02,3.6513967514038086,False,2000,adam,sweep,0.001615604787961633,0.002949607037157773
1.02,2.9860334396362305,False,2000,adam,sweep,0.001615604787961633,0.002412124961044919
1.02,2.6329774856567383,False,2000,adam,sweep,0.001615604787961633,0.0021269255162111042
1.02,2.0946526527404785,False,2000,adam,sweep,0.001615604787961633,0.0016920654274420266
1.02,1.7023520469665527,False,2000,adam,sweep,0.001615604787961633,0.0013751640589377248
1.02,1.920985221862793,False,2000,adam,sweep,0.001615604787961633,0.001551776461022534
1.02,1.1390855312347412,False,2000,adam,sweep,0.001615604787961633,0.0009201560190803341
1.02,0.2643536925315857,False,2000,adam,sweep,0.001615604787961633,0.00021354554568468363
1.02,0.2017287462949752,False,2000,adam,sweep,0.001615604787961633,0.00016295696419182975
1.02,2.604384660720825,False,2000,adam,sweep,0.001615604787961633,0.002103828163777199
1.02,0.1111134067177772,False,2000,adam,sweep,0.001615604787961633,8.975767594998456e-05
1.02,0.3767443001270294,False,2000,adam,sweep,0.001615604787961633,0.0003043349475612416
1.02,1.908212423324585,False,2000,adam,sweep,0.001615604787961633,0.001541458563785535
1.02,1.8091821670532229,False,2000,adam,sweep,0.001615604787961633,0.001461461685692995
1.02,2.6084632873535156,False,2000,adam,sweep,0.001615604787961633,0.0021071228881352406
1.02,1.825259804725647,False,2000,adam,sweep,0.001615604787961633,0.0014744492398943354
1.02,1.4602282047271729,False,2000,adam,sweep,0.001615604787961633,0.0011795758395369202
1.02,1.6304363012313845,False,2000,adam,sweep,0.001615604787961633,0.0013170703473679402
1.02,2.153057336807251,False,2000,adam,sweep,0.001615604787961633,0.0017392448710508586
1.02,3.606210470199585,False,2000,adam,sweep,0.001615604787961633,0.0029131054510259107
1.02,1.3673322200775146,False,2000,adam,sweep,0.001615604787961633,0.001104534240745721
1.02,0.8256388902664185,False,2000,adam,sweep,0.001615604787961633,0.0006669530721208775
1.02,3.741424560546875,False,2000,adam,sweep,0.001615604787961633,0.00302233171690839
1.02,2.732316493988037,False,2000,adam,sweep,0.001615604787961633,0.0022071718049568078
1.02,1.5528109073638916,False,2000,adam,sweep,0.001615604787961633,0.0012543643683680756
1.02,1.2435365915298462,False,2000,adam,sweep,0.001615604787961633,0.0010045318356405545
1.02,0.450246512889862,False,2000,adam,sweep,0.001615604787961633,0.0003637102109939451
1.02,0.6179731488227844,False,2000,adam,sweep,0.001615604787961633,0.0004992001890349087
1.02,2.1908040046691895,False,2000,adam,sweep,0.001615604787961633,0.0017697367197145313
1.02,0.3577706813812256,False,2000,adam,sweep,0.001615604787961633,0.00028900801291590196
1.02,2.9806175231933594,False,2000,adam,sweep,0.001615604787961633,0.002407749970776768
1.02,2.0272789001464844,False,2000,adam,sweep,0.001615604787961633,0.0016376407488051267
1.02,1.3774995803833008,False,2000,adam,sweep,0.001615604787961633,0.0011127474587412007
1.02,2.3149893283843994,False,2000,adam,sweep,0.001615604787961633,0.0018700539215089605
1.02,3.123089075088501,False,2000,adam,sweep,0.001615604787961633,0.0025228388314718253
1.02,0.3775412440299988,False,2000,adam,sweep,0.001615604787961633,0.0003049787207539287
1.02,1.4475500583648682,False,2000,adam,sweep,0.001615604787961633,0.0011693344025542113
1.02,1.3046774864196775,False,2000,adam,sweep,0.001615604787961633,0.0010539215969026898
1.02,2.3107383251190186,False,2000,adam,sweep,0.001615604787961633,0.0018666199508943656
1.02,1.8550745248794556,False,2000,adam,sweep,0.001615604787961633,0.00149853364221045
1.02,2.955599546432495,False,2000,adam,sweep,0.001615604787961633,0.0023875403892567853
1.02,3.0408806800842285,False,2000,adam,sweep,0.001615604787961633,0.0024564306931820533
1.02,1.7874443531036377,False,2000,adam,sweep,0.001615604787961633,0.0014439018275446106
1.02,2.008448839187622,False,2000,adam,sweep,0.001615604787961633,0.001622429780483753
1.02,3.12043833732605,False,2000,adam,sweep,0.001615604787961633,0.002520697559161502
1.02,2.0576095581054688,False,2000,adam,sweep,0.001615604787961633,0.0016621419269154077
1.02,0.640360951423645,False,2000,adam,sweep,0.001615604787961633,0.0005172851095718538
1.02,0.5388051867485046,False,2000,adam,sweep,0.001615604787961633,0.000435248119744723
1.02,2.0513532161712646,False,2000,adam,sweep,0.001615604787961633,0.001657088038923395
1.02,1.866377353668213,False,2000,adam,sweep,0.001615604787961633,0.0015076640943647635
1.05,0.6455913186073303,False,2000,adam,sweep,0.006335790677169939,0.002045165728847086
1.05,2.25913667678833,False,2000,adam,sweep,0.006335790677169939,0.00715670854762409
1.05,3.648914337158203,False,2000,adam,sweep,0.006335790677169939,0.011559378719579336
1.05,2.0119524002075195,False,2000,adam,sweep,0.006335790677169939,0.006373654630072242
1.05,0.6897855997085571,False,2000,adam,sweep,0.006335790677169939,0.002185168585939776
1.05,2.636322259902954,False,2000,adam,sweep,0.006335790677169939,0.008351592998154361
1.05,0.7177834510803223,False,2000,adam,sweep,0.006335790677169939,0.0022738628487907852
1.05,4.00876522064209,False,2000,adam,sweep,0.006335790677169939,0.012699348655953624
1.05,0.6704736948013306,False,2000,adam,sweep,0.006335790677169939,0.0021239904924049767
1.05,2.3603248596191406,False,2000,adam,sweep,0.006335790677169939,0.007477262120333698
1.05,3.315460681915283,False,2000,adam,sweep,0.006335790677169939,0.01050303243950117
1.05,0.5137295722961426,False,2000,adam,sweep,0.006335790677169939,0.0016274415173702002
1.05,3.206620931625366,False,2000,adam,sweep,0.006335790677169939,0.01015823950190499
1.05,0.6579350233078003,False,2000,adam,sweep,0.006335790677169939,0.0020842692934285737
1.05,0.5374023914337158,False,2000,adam,sweep,0.006335790677169939,0.0017024345307672835
1.05,2.011817455291748,False,2000,adam,sweep,0.006335790677169939,0.006373227138702604
1.05,0.3142235279083252,False,2000,adam,sweep,0.006335790677169939,0.0009954272493345074
1.05,0.8797702789306641,False,2000,adam,sweep,0.006335790677169939,0.002787020165650049
1.05,2.393947124481201,False,2000,adam,sweep,0.006335790677169939,0.007583773936462889
1.05,2.8554956912994385,False,2000,adam,sweep,0.006335790677169939,0.009045911489816956
1.05,1.838518142700195,False,2000,adam,sweep,0.006335790677169939,0.005824233054163844
1.05,1.013020634651184,False,2000,adam,sweep,0.006335790677169939,0.0032091433464018736
1.05,1.4980978965759275,False,2000,adam,sweep,0.006335790677169939,0.0047458173433068285
1.05,2.0643978118896484,False,2000,adam,sweep,0.006335790677169939,0.006539796205270228
1.05,2.362801313400269,False,2000,adam,sweep,0.006335790677169939,0.007485107266723156
1.05,1.2408274412155151,False,2000,adam,sweep,0.006335790677169939,0.003930811467014946
1.05,1.014650821685791,False,2000,adam,sweep,0.006335790677169939,0.0032143076083098266
1.05,2.013195753097534,False,2000,adam,sweep,0.006335790677169939,0.006377593441896735
1.05,2.037749767303467,False,2000,adam,sweep,0.006335790677169939,0.006455377989043259
1.05,0.360624760389328,False,2000,adam,sweep,0.006335790677169939,0.0011424214974156738
1.05,2.250248432159424,False,2000,adam,sweep,0.006335790677169939,0.007128551518895975
1.05,3.568792819976806,False,2000,adam,sweep,0.006335790677169939,0.011305562138780033
1.05,2.056325674057007,False,2000,adam,sweep,0.006335790677169939,0.0065142245174577874
1.05,2.670095443725586,False,2000,adam,sweep,0.006335790677169939,0.00845858290975525
1.05,2.196929931640625,False,2000,adam,sweep,0.006335790677169939,0.0069596440896421315
1.05,1.5432941913604736,False,2000,adam,sweep,0.006335790677169939,0.004888994474876104
1.05,3.4893970489501953,False,2000,adam,sweep,0.006335790677169939,0.011054044645841473
1.05,0.3469176292419433,False,2000,adam,sweep,0.006335790677169939,0.001098998740548501
1.05,4.480828285217285,False,2000,adam,sweep,0.006335790677169939,0.01419479503773952
1.05,3.0108468532562256,False,2000,adam,sweep,0.006335790677169939,0.00953804771162362
1.05,2.908231496810913,False,2000,adam,sweep,0.006335790677169939,0.00921297300227328
1.05,1.6986145973205566,False,2000,adam,sweep,0.006335790677169939,0.005381033264904176
1.05,2.605609655380249,False,2000,adam,sweep,0.006335790677169939,0.00825429868145108
1.05,1.7250492572784424,False,2000,adam,sweep,0.006335790677169939,0.005464775500961841
1.05,3.013780355453491,False,2000,adam,sweep,0.006335790677169939,0.009547340739560067
1.05,1.6853432655334473,False,2000,adam,sweep,0.006335790677169939,0.005338991074798978
1.05,0.5840081572532654,False,2000,adam,sweep,0.006335790677169939,0.0018500767190582172
1.05,2.028714656829834,False,2000,adam,sweep,0.006335790677169939,0.006426755704690237
1.05,0.8631002902984619,False,2000,adam,sweep,0.006335790677169939,0.0027342113863678317
1.05,1.617817759513855,False,2000,adam,sweep,0.006335790677169939,0.00512507733904392
1.05,1.0525150299072266,False,2000,adam,sweep,0.006335790677169939,0.0033342574570337227
1.05,2.652036190032959,False,2000,adam,sweep,0.006335790677169939,0.008401373084164053
1.05,2.8283822536468506,False,2000,adam,sweep,0.006335790677169939,0.008960018957064308
1.05,2.3875582218170166,False,2000,adam,sweep,0.006335790677169939,0.007563534561494345
1.05,1.390838861465454,False,2000,adam,sweep,0.006335790677169939,0.004406031945959238
1.05,0.1178345680236816,False,2000,adam,sweep,0.006335790677169939,0.00037328757876639443
1.05,1.8767377138137815,False,2000,adam,sweep,0.006335790677169939,0.005945308655337291
1.05,0.7256256937980652,False,2000,adam,sweep,0.006335790677169939,0.002298706252940375
1.05,1.285659670829773,False,2000,adam,sweep,0.006335790677169939,0.004072835278228324
1.05,0.1775567382574081,False,2000,adam,sweep,0.006335790677169939,0.0005624811634599947
1.05,2.297811985015869,False,2000,adam,sweep,0.006335790677169939,0.007279227876276447
1.05,3.2565112113952637,False,2000,adam,sweep,0.006335790677169939,0.010316286686628748
1.05,2.520320177078247,False,2000,adam,sweep,0.006335790677169939,0.007984110540707823
1.05,3.3938844203948975,False,2000,adam,sweep,0.006335790677169939,0.010751470635065147
1.05,1.9216365814208984,False,2000,adam,sweep,0.006335790677169939,0.00608754356873762
1.05,0.2645022869110107,False,2000,adam,sweep,0.006335790677169939,0.0008379155617504549
1.05,0.2043193727731704,False,2000,adam,sweep,0.006335790677169939,0.0006472623885907312
1.05,3.336601495742798,False,2000,adam,sweep,0.006335790677169939,0.010570004325079246
1.05,0.7105845808982849,False,2000,adam,sweep,0.006335790677169939,0.002251057581498031
1.05,2.3757801055908203,False,2000,adam,sweep,0.006335790677169939,0.007526222722004067
1.05,0.8363484740257263,False,2000,adam,sweep,0.006335790677169939,0.002649464432298751
1.05,4.51348876953125,False,2000,adam,sweep,0.006335790677169939,0.014298260033753656
1.05,2.532869577407837,False,2000,adam,sweep,0.006335790677169939,0.008023865727513969
1.05,2.327014684677124,False,2000,adam,sweep,0.006335790677169939,0.007371738972407434
1.05,0.3379831314086914,False,2000,adam,sweep,0.006335790677169939,0.0010706951865099446
1.05,3.4603986740112305,False,2000,adam,sweep,0.006335790677169939,0.010962180829045787
1.05,2.7942678928375244,False,2000,adam,sweep,0.006335790677169939,0.008851948232477638
1.05,4.018264293670654,False,2000,adam,sweep,0.006335790677169939,0.01272944072512169
1.05,1.9118144512176511,False,2000,adam,sweep,0.006335790677169939,0.006056428088251778
1.05,0.2540155053138733,False,2000,adam,sweep,0.006335790677169939,0.0008046945352121247
1.05,0.505097508430481,False,2000,adam,sweep,0.006335790677169939,0.001600096042487803
1.05,1.5352729558944702,False,2000,adam,sweep,0.006335790677169939,0.00486358404043366
1.05,1.1809779405593872,False,2000,adam,sweep,0.006335790677169939,0.0037412145128697598
1.05,2.3272109031677246,False,2000,adam,sweep,0.006335790677169939,0.007372360572049152
1.05,3.0128660202026367,False,2000,adam,sweep,0.006335790677169939,0.00954444422118098
1.05,2.690119743347168,False,2000,adam,sweep,0.006335790677169939,0.008522017795184888
1.05,0.5144023299217224,False,2000,adam,sweep,0.006335790677169939,0.001629572743116272
1.05,2.0650579929351807,False,2000,adam,sweep,0.006335790677169939,0.006541887589726992
1.05,3.0498335361480713,False,2000,adam,sweep,0.006335790677169939,0.009661553442623589
1.05,3.5661442279815674,False,2000,adam,sweep,0.006335790677169939,0.011297171676544503
1.05,3.7385642528533936,False,2000,adam,sweep,0.006335790677169939,0.011843380269614665
1.05,2.646629571914673,False,2000,adam,sweep,0.006335790677169939,0.008384245483829626
1.05,0.7239630222320557,False,2000,adam,sweep,0.006335790677169939,0.0022934390834368156
1.05,2.5143797397613525,False,2000,adam,sweep,0.006335790677169939,0.007965291857022477
1.05,1.9764198064804075,False,2000,adam,sweep,0.006335790677169939,0.006261091092036291
1.05,3.809882640838623,False,2000,adam,sweep,0.006335790677169939,0.012069309458468468
1.05,2.9453439712524414,False,2000,adam,sweep,0.006335790677169939,0.009330541437059952
1.05,1.7476520538330078,False,2000,adam,sweep,0.006335790677169939,0.005536378794806033
1.05,2.974138021469116,False,2000,adam,sweep,0.006335790677169939,0.009421757974520337
1.05,0.2037884145975113,False,2000,adam,sweep,0.006335790677169939,0.0006455803686610771
1.05,2.4266467094421387,False,2000,adam,sweep,0.006335790677169939,0.007687362799234306
1.05,1.2322367429733276,False,2000,adam,sweep,0.006335790677169939,0.00390359703409833
1.05,1.8245372772216797,False,2000,adam,sweep,0.006335790677169939,0.005779943135585071
1.05,0.2334021478891372,False,2000,adam,sweep,0.006335790677169939,0.0007393935763137174
1.05,2.4856185913085938,False,2000,adam,sweep,0.006335790677169939,0.007874179548906632
1.05,2.2251415252685547,False,2000,adam,sweep,0.006335790677169939,0.007049015465590103
1.05,3.1464805603027344,False,2000,adam,sweep,0.006335790677169939,0.009967721099931255
1.05,1.882367253303528,False,2000,adam,sweep,0.006335790677169939,0.005963142447245239
1.05,2.777977705001831,False,2000,adam,sweep,0.006335790677169939,0.008800342622368272
1.05,2.763204336166382,False,2000,adam,sweep,0.006335790677169939,0.008753542136099256
1.05,2.86153244972229,False,2000,adam,sweep,0.006335790677169939,0.009065035308684872
1.05,1.839377999305725,False,2000,adam,sweep,0.006335790677169939,0.005826956989896354
1.05,1.7466225624084473,False,2000,adam,sweep,0.006335790677169939,0.005533117473721055
1.05,2.6463282108306885,False,2000,adam,sweep,0.006335790677169939,0.00838329080345644
1.05,2.373103141784668,False,2000,adam,sweep,0.006335790677169939,0.007517742380840996
1.05,2.297488212585449,False,2000,adam,sweep,0.006335790677169939,0.007278202199103358
1.05,4.062262058258057,False,2000,adam,sweep,0.006335790677169939,0.012868821038466281
1.05,0.2995443046092987,False,2000,adam,sweep,0.006335790677169939,0.0009489250062714736
1.05,3.7588160037994385,False,2000,adam,sweep,0.006335790677169939,0.011907535697034824
1.05,2.363431453704834,False,2000,adam,sweep,0.006335790677169939,0.0074871034852566415
1.05,0.6471688747406006,False,2000,adam,sweep,0.006335790677169939,0.0020501632615680288
1.05,0.7366959452629089,False,2000,adam,sweep,0.006335790677169939,0.002333775650952817
1.05,1.8187072277069092,False,2000,adam,sweep,0.006335790677169939,0.00576147414890351
