a,w2,solved,budget,opt,src,gstar,R
1.02,0.6671773195266724,False,2000,adam,sweep,0.001615604787961633,0.0005389474359233502
1.02,1.9804073572158811,False,2000,adam,sweep,0.001615604787961633,0.001599777804216211
1.02,3.0763325691223145,False,2000,adam,sweep,0.001615604787961633,0.0024850688140181615
1.02,1.804921507835388,False,2000,adam,sweep,0.001615604787961633,0.0014580199149768916
1.02,0.6917063593864441,False,2000,adam,sweep,0.001615604787961633,0.0005587620530441246
1.02,2.258368492126465,False,2000,adam,sweep,0.001615604787961633,0.0018243154744306052
1.02,0.7148593664169312,False,2000,adam,sweep,0.001615604787961633,0.0005774651075512068
1.02,3.411613702774048,False,2000,adam,sweep,0.001615604787961633,0.0027559097164386336
1.02,0.6729459166526794,False,2000,adam,sweep,0.001615604787961633,0.0005436073224916495
1.02,2.0537612438201904,False,2000,adam,sweep,0.001615604787961633,0.0016590332494229693
1.02,2.8271806240081787,False,2000,adam,sweep,0.001615604787961633,0.0022838032762899857
1.02,0.5155169367790222,False,2000,adam,sweep,0.001615604787961633,0.0004164358156677514
1.02,2.73435115814209,False,2000,adam,sweep,0.001615604787961633,0.0022088154115313986
1.02,0.6673275232315063,False,2000,adam,sweep,0.001615604787961633,0.0005390687708356998
1.02,0.54246586561203,False,2000,adam,sweep,0.001615604787961633,0.0004382052248942738
1.02,1.802767038345337,False,2000,adam,sweep,0.001615604787961633,0.0014562795293650696
1.02,0.3115062713623047,False,2000,adam,sweep,0.001615604787961633,0.0002516355117465076
1.02,0.883025586605072,False,2000,adam,sweep,0.001615604787961633,0.000713310182805892
1.02,2.090005397796631,False,2000,adam,sweep,0.001615604787961633,0.0016883113637729472
1.02,2.462270975112915,False,2000,adam,sweep,0.001615604787961633,0.0019890283883256922
1.02,1.656859040260315,False,2000,adam,sweep,0.001615604787961633,0.0013384146992110404
1.02,1.0176063776016235,False,2000,adam,sweep,0.001615604787961633,0.0008220248679567382
1.02,1.3722028732299805,False,2000,adam,sweep,0.001615604787961633,0.0011084687660225332
1.02,1.852627515792847,False,2000,adam,sweep,0.001615604787961633,0.0014965569424121947
1.02,2.099823236465454,False,2000,adam,sweep,0.001615604787961633,0.00169624223735334
1.02,1.170909762382507,False,2000,adam,sweep,0.001615604787961633,0.0009458637091880982
1.02,1.0693529844284058,False,2000,adam,sweep,0.001615604787961633,0.000863825900831797
1.02,1.843021035194397,False,2000,adam,sweep,0.001615604787961633,0.0014887968043870367
1.02,1.821411728858948,False,2000,adam,sweep,0.001615604787961633,0.0014713407549969961
1.02,0.3618080615997314,False,2000,adam,sweep,0.001615604787961633,0.00029226941832182174
1.02,1.966902017593384,False,2000,adam,sweep,0.001615604787961633,0.0015888681585376338
1.02,3.0672450065612793,False,2000,adam,sweep,0.001615604787961633,0.002477727859225907
1.02,1.8068733215332031,False,2000,adam,sweep,0.001615604787961633,0.0014595965947545911
1.02,2.3338754177093506,False,2000,adam,sweep,0.001615604787961633,0.0018853101496785916
1.02,1.9339535236358645,False,2000,adam,sweep,0.001615604787961633,0.001562252286240687
1.02,1.414026141166687,False,2000,adam,sweep,0.001615604787961633,0.0011422537019859058
1.02,2.997284173965454,False,2000,adam,sweep,0.001615604787961633,0.002421213331170108
1.02,0.3508254587650299,False,2000,adam,sweep,0.001615604787961633,0.0002833976454598094
1.02,3.8680830001831055,False,2000,adam,sweep,0.001615604787961633,0.003124646707664412
1.02,2.569627523422241,False,2000,adam,sweep,0.001615604787961633,0.0020757512650594833
1.02,2.512989044189453,False,2000,adam,sweep,0.001615604787961633,0.0020299985659438043
1.02,1.5404930114746094,False,2000,adam,sweep,0.001615604787961633,0.001244413942579907
1.02,2.2037925720214844,False,2000,adam,sweep,0.001615604787961633,0.0017802289155160961
1.02,1.5755964517593384,False,2000,adam,sweep,0.001615604787961633,0.0012727705856788738
1.02,2.5101873874664307,False,2000,adam,sweep,0.001615604787961633,0.0020277353809358342
1.02,1.5551689863204956,False,2000,adam,sweep,0.001615604787961633,0.001256269230194416
1.02,0.5868241190910339,False,2000,adam,sweep,0.001615604787961633,0.000474037928247421
1.02,1.8187963962554932,False,2000,adam,sweep,0.001615604787961633,0.0014692280830588692
1.02,0.8889215588569641,False,2000,adam,sweep,0.001615604787961633,0.0007180729633058149
1.02,1.481652855873108,False,2000,adam,sweep,0.001615604787961633,0.0011968827240228103
1.02,1.056867599487305,False,2000,adam,sweep,0.001615604787961633,0.0008537401769866037
1.02,2.2431082725524902,False,2000,adam,sweep,0.001615604787961633,0.0018119882325260755
1.02,2.4521594047546387,False,2000,adam,sweep,0.001615604787961633,0.001980860237583371
1.02,2.0993409156799316,False,2000,adam,sweep,0.001615604787961633,0.0016958526174681284
1.02,1.321922779083252,False,2000,adam,sweep,0.001615604787961633,0.001067852385601225
1.02,0.1192800849676132,False,2000,adam,sweep,0.001615604787961633,9.635473819107316e-05
1.02,1.6543421745300293,False,2000,adam,sweep,0.001615604787961633,0.0013363815690487875
