seed,raw_distance,normalized_distance,init_norm,a,kind
0,23381.509765625,1.0000002505987222,2.5122170448303223,1.02,constructed
1,23381.076171875,0.9999817062932858,2.4922006130218506,1.02,constructed
2,23381.341796875,0.9999930667686882,2.3620190620422363,1.02,constructed
3,23381.505859375,1.0000000835329075,2.552370309829712,1.02,constructed
4,23381.1015625,0.9999827922210816,2.7002878189086914,1.02,constructed
5,23381.38671875,0.9999949880255578,2.389878511428833,1.02,constructed
6,23381.146484375,0.999984713477951,2.6552016735076904,1.02,constructed
7,23382.001953125,1.0000213008913796,2.6164448261260986,1.02,constructed
8,23381.2265625,0.9999881383271533,2.557216167449951,1.02,constructed
9,23381.03515625,0.9999799521022309,2.6168580055236816,1.02,constructed
10,23381.38671875,0.9999949880255578,2.445600986480713,1.02,constructed
11,23381.94921875,1.0000190455028806,2.4674220085144043,1.02,constructed
12,23381.453125,0.9999978281444083,2.631342887878418,1.02,constructed
13,23381.3203125,0.9999921479067071,2.2976980209350586,1.02,constructed
14,23381.640625,1.000005847303516,2.424558162689209,1.02,constructed
15,23381.96875,1.0000198808319543,2.6178224086761475,1.02,constructed
16,23381.189453125,0.9999865512019133,2.6108415126800537,1.02,constructed
17,23382.072265625,1.000024308076045,2.579878807067871,1.02,constructed
18,23381.22265625,0.9999879712613385,2.4322378635406494,1.02,constructed
19,23381.130859375,0.9999840452146921,2.4904282093048096,1.02,constructed
20,23381.697265625,1.0000082697578296,2.7252163887023926,1.02,constructed
21,23381.05859375,0.9999809544971193,2.5431268215179443,1.02,constructed
22,23380.9609375,0.9999767778517508,2.3864357471466064,1.02,constructed
23,23382.013671875,1.0000218020888239,2.5520381927490234,1.02,constructed
24,23381.73046875,1.000009689817255,2.6329424381256104,1.02,constructed
25,23381.08984375,0.9999822910236373,2.3630166053771973,1.02,constructed
26,23381.04296875,0.9999802862338604,2.6287853717803955,1.02,constructed
27,23381.693359375,1.000008102692015,2.5118329524993896,1.02,constructed
28,23381.5859375,1.0000035083821095,2.639101982116699,1.02,constructed
29,23381.912109375,1.0000174583776407,2.4441683292388916,1.02,constructed
30,23381.08984375,0.9999822910236373,2.6345322132110596,1.02,constructed
31,23381.0,0.9999784485098983,2.4932303428649902,1.02,constructed
32,23381.275390625,0.9999902266498376,2.586761713027954,1.02,constructed
33,23381.25390625,0.9999893077878564,2.55322003364563,1.02,constructed
34,23381.5078125,1.0000001670658147,2.149155616760254,1.02,constructed
35,23381.158203125,0.9999852146753953,2.698593854904175,1.02,constructed
36,23381.376953125,0.9999945703610209,2.471923351287842,1.02,constructed
37,23381.208984375,0.999987386530987,2.4918100833892822,1.02,constructed
38,23381.021484375,0.9999793673718793,2.622814178466797,1.02,constructed
39,23381.80859375,1.00001303113355,2.642331123352051,1.02,constructed
40,23381.708984375,1.000008770955274,2.5395288467407227,1.02,constructed
41,23380.994140625,0.9999781979111761,2.42964768409729,1.02,constructed
42,23381.896484375,1.0000167901143817,2.6816720962524414,1.02,constructed
43,23380.990234375,0.9999780308453614,2.4931464195251465,1.02,constructed
44,23381.73828125,1.0000100239488845,2.3779964447021484,1.02,constructed
45,23380.984375,0.9999777802466393,2.4931914806365967,1.02,constructed
46,23381.45703125,0.9999979952102231,2.5886363983154297,1.02,constructed
47,23381.9765625,1.0000202149635837,2.7294278144836426,1.02,constructed
48,23381.33203125,0.9999926491041513,2.338094711303711,1.02,constructed
49,23381.15234375,0.9999849640766731,2.6662657260894775,1.02,constructed
50,23381.787109375,1.0000121122715688,2.5393733978271484,1.02,constructed
51,23381.451171875,0.9999977446115009,2.6920645236968994,1.02,constructed
52,23380.939453125,0.9999758589897697,2.4199225902557373,1.02,constructed
53,23381.931640625,1.0000182937067144,2.5370497703552246,1.02,constructed
54,23381.44140625,0.9999973269469641,2.285562038421631,1.02,constructed
55,23381.70703125,1.0000086874223666,2.497415542602539,1.02,constructed
56,23381.1484375,0.9999847970108584,2.238176107406616,1.02,constructed
57,23381.115234375,0.9999833769514331,2.2432775497436523,1.02,constructed
58,23381.580078125,1.0000032577833875,2.34134578704834,1.02,constructed
59,23381.966796875,1.000019797299047,2.281623363494873,1.02,constructed
60,23381.802734375,1.0000127805348278,2.5232295989990234,1.02,constructed
61,23381.830078125,1.000013949995531,2.655827045440674,1.02,constructed
62,23382.15234375,1.0000277329252472,2.521315813064575,1.02,constructed
63,23381.474609375,0.9999987470063895,2.3118784427642822,1.02,constructed
64,23381.251953125,0.9999892242549491,2.523554563522339,1.02,constructed
65,23381.599609375,1.0000040931124612,2.2788071632385254,1.02,constructed
66,23381.8515625,1.0000148688575121,2.4989800453186035,1.02,constructed
67,23381.482421875,0.9999990811380189,2.1153786182403564,1.02,constructed
68,23381.689453125,1.0000079356262002,2.417891025543213,1.02,constructed
69,23381.58984375,1.0000036754479242,2.2784698009490967,1.02,constructed
70,23381.400390625,0.9999955727559093,2.451472282409668,1.02,constructed
71,23381.634765625,1.0000055967047938,2.2771384716033936,1.02,constructed
72,23382.00390625,1.0000213844242871,2.559462547302246,1.02,constructed
73,23381.82421875,1.000013699396809,2.3727357387542725,1.02,constructed
74,23381.99609375,1.0000210502926576,2.4693551063537598,1.02,constructed
75,23381.107421875,0.9999830428198037,2.518500566482544,1.02,constructed
76,23381.267578125,0.9999898925182081,2.363943576812744,1.02,constructed
77,23381.5390625,1.0000015035923326,2.5464236736297607,1.02,constructed
78,23381.16796875,0.9999856323399322,2.443633556365967,1.02,constructed
79,23382.091796875,1.0000251434051188,2.737002372741699,1.02,constructed
80,23381.640625,1.000005847303516,2.4507205486297607,1.02,constructed
81,23382.013671875,1.0000218020888239,2.914210796356201,1.02,constructed
82,23381.005859375,0.9999786991086204,2.4027702808380127,1.02,constructed
83,23381.66015625,1.0000066826325897,2.8695766925811768,1.02,constructed
84,23381.6328125,1.0000055131718866,2.392664670944214,1.02,constructed
85,23381.42578125,0.9999966586837051,2.514457941055298,1.02,constructed
86,23381.337890625,0.9999928997028734,2.523158311843872,1.02,constructed
87,23381.5625,1.000002505987221,2.1859381198883057,1.02,constructed
88,23381.734375,1.0000098568830698,2.591754674911499,1.02,constructed
89,23381.43359375,0.9999969928153346,2.515180826187134,1.02,constructed
90,23381.11328125,0.9999832934185258,2.5308759212493896,1.02,constructed
91,23380.859375,0.9999724341405675,2.4982004165649414,1.02,constructed
92,23380.8671875,0.9999727682721969,2.5420475006103516,1.02,constructed
93,23381.470703125,0.9999985799405747,2.3834259510040283,1.02,constructed
94,23381.052734375,0.9999807038983972,2.456568956375122,1.02,constructed
95,23381.927734375,1.0000181266408996,2.79429030418396,1.02,constructed
96,23381.09375,0.9999824580894521,2.4763128757476807,1.02,constructed
97,23381.232421875,0.9999883889258754,2.551126003265381,1.02,constructed
98,23381.6640625,1.0000068496984045,2.6913421154022217,1.02,constructed
99,23381.689453125,1.0000079356262002,2.403317451477051,1.02,constructed
100,23381.685546875,1.0000077685603854,2.343461275100708,1.02,constructed
101,23381.71484375,1.000009021553996,2.5556869506835938,1.02,constructed
102,23381.853515625,1.0000149523904194,2.123530149459839,1.02,constructed
103,23381.396484375,0.9999954056900946,2.592888116836548,1.02,constructed
104,23381.130859375,0.9999840452146921,2.5976734161376953,1.02,constructed
105,23381.30078125,0.9999913125776334,2.4749653339385986,1.02,constructed
106,23381.478515625,0.9999989140722042,2.517845630645752,1.02,constructed
107,23381.212890625,0.9999875535968017,2.3645992279052734,1.02,constructed
108,23382.0390625,1.0000228880166198,2.6566214561462402,1.02,constructed
109,23381.587890625,1.000003591915017,2.4704535007476807,1.02,constructed
110,23381.853515625,1.0000149523904194,2.2648489475250244,1.02,constructed
111,23381.404296875,0.9999957398217241,2.1950840950012207,1.02,constructed
112,23381.591796875,1.0000037589808317,2.3101742267608643,1.02,constructed
113,23381.484375,0.9999991646709263,2.579620122909546,1.02,constructed
114,23381.224609375,0.9999880547942459,2.57759690284729,1.02,constructed
115,23381.833984375,1.0000141170613457,2.4652881622314453,1.02,constructed
116,23381.498046875,0.9999997494012779,2.617765188217163,1.02,constructed
117,23381.84765625,1.0000147017916974,2.4905707836151123,1.02,constructed
118,23381.40625,0.9999958233546314,2.4404051303863525,1.02,constructed
119,23382.05859375,1.0000237233456934,2.577219247817993,1.02,constructed
120,23381.716796875,1.0000091050869035,2.6600852012634277,1.02,constructed
121,23381.044921875,0.9999803697667677,2.6569833755493164,1.02,constructed
122,23381.458984375,0.9999980787431305,2.3321640491485596,1.02,constructed
123,23381.224609375,0.9999880547942459,2.772493362426758,1.02,constructed
124,23381.205078125,0.9999872194651722,2.6402318477630615,1.02,constructed
125,23381.287109375,0.9999907278472818,2.6540040969848633,1.02,constructed
126,23382.0625,1.0000238904115082,2.3078243732452393,1.02,constructed
127,23381.11328125,0.9999832934185258,2.573352813720703,1.02,constructed
128,23382.0859375,1.0000248928063966,2.513328790664673,1.02,constructed
129,23381.482421875,0.9999990811380189,2.5051636695861816,1.02,constructed
