family,q,beta,budget,onset_eps,bracketed
q4_beta1.25,4.0,1.25,2000,0.25,True
q0.667_beta2.5,0.6666666666666666,2.5,2000,,False
q4_beta1.25,4.0,1.25,8000,0.25,True
q0.667_beta2.5,0.6666666666666666,2.5,8000,,False
q4_beta1.25,4.0,1.25,32000,0.25,True
q0.667_beta2.5,0.6666666666666666,2.5,32000,,False
q4_beta1.25,4.0,1.25,128000,0.25,True
