a,glob_sign_changes_on_coarse_grid,w2_glob_lo,w2_glob_hi,solve_sign_changes_on_coarse_grid,w2_solve_lo,w2_solve_hi,unresolved_evaluations,all_converged,seed
1.3,1,4.738281,4.742188,1,8.175781,8.179688,0,True,0
1.3,1,5.101562,5.105469,1,6.855469,6.859375,0,True,1
1.3,1,4.886719,4.890625,1,7.179688,7.183594,1,True,2
1.3,1,5.789062,5.792969,1,7.921875,7.925781,1,True,3
1.3,1,4.34375,4.347656,1,7.011719,7.015625,0,True,4
1.3,1,4.835938,4.839844,1,6.917969,6.921875,0,True,5
1.3,1,4.683594,4.6875,1,7.246094,7.25,0,True,6
1.3,1,5.027344,5.03125,1,7.339844,7.34375,0,True,7
1.3,1,4.867188,4.871094,1,7.121094,7.125,0,True,8
1.3,1,5.78125,5.785156,1,7.652344,7.65625,0,True,9
1.3,1,5.234375,5.238281,1,7.621094,7.625,1,True,10
1.3,1,5.410156,5.414062,1,7.136719,7.140625,0,True,11
1.3,1,4.738281,4.742188,1,7.867188,7.871094,0,True,12
1.3,1,5.65625,5.660156,1,7.511719,7.515625,0,True,13
1.3,1,4.726562,4.730469,1,7.488281,7.492188,1,True,14
1.3,1,4.976562,4.980469,1,7.214844,7.21875,1,True,15
1.3,1,4.761719,4.765625,1,7.230469,7.234375,0,True,16
1.3,1,5.242188,5.246094,1,7.15625,7.160156,0,True,17
1.3,1,5.265625,5.269531,1,8.058594,8.0625,1,True,18
1.3,1,4.921875,4.925781,1,7.492188,7.496094,0,True,19
1.3,1,5.59375,5.597656,1,7.605469,7.609375,0,True,20
1.3,1,5.417969,5.421875,1,7.984375,7.988281,0,True,21
1.3,1,4.953125,4.957031,1,6.875,6.878906,0,True,22
1.3,1,5.457031,5.460938,1,8.167969,8.171875,0,True,23
1.3,1,5.566406,5.570312,1,7.757812,7.761719,1,True,24
1.3,1,5.792969,5.796875,1,8.722656,8.726562,1,True,25
1.3,1,5.511719,5.515625,1,7.855469,7.859375,1,True,26
1.3,1,5.144531,5.148438,1,9.4375,9.441406,1,True,27
1.3,1,5.738281,5.742188,1,8.933594,8.9375,0,True,28
1.3,1,5.152344,5.15625,1,7.378906,7.382812,1,True,29
1.3,1,5.484375,5.488281,1,7.730469,7.734375,0,True,30
1.3,1,5.375,5.378906,1,8.519532,8.523438,1,True,31
1.3,1,4.554688,4.558594,1,6.609375,6.613281,0,True,32
1.3,1,5.386719,5.390625,1,7.695312,7.699219,1,True,33
1.3,1,4.652344,4.65625,1,7.050781,7.054688,0,True,34
1.3,1,5.265625,5.269531,1,7.683594,7.6875,1,True,35
1.3,1,6.054688,6.058594,1,8.339844,8.34375,0,True,36
1.3,1,4.855469,4.859375,1,6.933594,6.9375,0,True,37
1.3,1,5.761719,5.765625,1,9.464844,9.46875,0,True,38
1.3,1,5.320312,5.324219,1,8.085938,8.089844,0,True,39
1.3,1,5.421875,5.425781,1,7.320312,7.324219,1,True,40
1.3,1,6.027344,6.03125,1,8.121094,8.125,1,True,41
1.3,1,4.933594,4.9375,1,7.082031,7.085938,0,True,42
1.3,1,5.671875,5.675781,1,8.125,8.128906,0,True,43
1.3,1,5.429688,5.433594,1,7.582031,7.585938,1,True,44
1.3,1,5.484375,5.488281,1,7.90625,7.910156,0,True,45
1.3,1,5.988281,5.992188,1,7.308594,7.3125,1,True,46
1.3,1,5.578125,5.582031,1,8.246094,8.25,1,True,47
1.3,1,5.09375,5.097656,1,7.394531,7.398438,1,True,48
1.3,1,4.816406,4.820312,1,7.363281,7.367188,0,True,49
