dimension,seed,expected,recovered,raw,residual,min_distance,defined,correct
3,0,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
3,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
3,2,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
3,3,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
3,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
3,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
3,6,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
3,7,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
3,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
3,9,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999997,True,True
4,0,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
4,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
4,2,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999998,True,True
4,3,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
4,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
4,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
4,6,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
4,7,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
4,8,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
4,9,-1,1,1.0000251002374543,2.5100237454278584e-05,0.9999999999999991,True,True
5,0,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
5,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
5,2,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
5,3,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
5,4,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
5,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
5,6,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
5,7,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
5,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
5,9,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
6,0,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
6,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
6,2,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
6,3,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
6,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
6,5,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
6,6,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
6,7,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
6,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
6,9,-1,-1,-1.0000251002374543,2.5100237454278584e-05,0.9999999999999993,True,True
7,0,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999989,True,True
7,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
7,2,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
7,3,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
7,4,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
7,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
7,6,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
7,7,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
7,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
7,9,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
8,0,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
8,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
8,2,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
8,3,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
8,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
8,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
8,6,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
8,7,-1,-1,-1.0000251002374543,2.5100237454278584e-05,0.9999999999999994,True,True
8,8,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999994,True,True
8,9,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999998,True,True
10,0,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
10,1,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999994,True,True
10,2,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999991,True,True
10,3,-1,-1,-1.0000251002374543,2.5100237454278584e-05,0.9999999999999996,True,True
10,4,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
10,5,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
10,6,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
10,7,-1,-1,-1.000025100237454,2.510023745405654e-05,0.9999999999999993,True,True
10,8,-1,1,1.000025100237454,2.510023745405654e-05,0.9999999999999996,True,True
10,9,-1,-1,-1.0000251002374543,2.5100237454278584e-05,0.9999999999999993,True,True
