a,search,gamma_lo,gamma_hi,gamma_over_a,alpha1,beta1,alpha2,beta2,v1,v2,linear_coefficient_c,c_over_sum_abs_v_alpha
1.3,"multistart NM, 4000 starts",1.1868728875468348,1.1868728875469317,0.912979144266796,7.641435462527845,1.5707964927823306,1.7498286803524197,4.712388984442418,-0.18632514759449148,0.8136748524055085,2.8313988931216727e-09,9.943164819270448e-10
1.3,differential evolution,0.9192384405738316,0.9192384405738316,0.7071064927491012,1.9634937671247323,4.712661721507029,1.963493083285526,1.5705229986201183,0.49999997908794436,-0.5000000209120556,2.59798235591191e-07,1.3231428853093885e-07
1.5,"multistart NM, 4000 starts",1.3694651982927923,1.369465198292886,0.9129767988618616,7.64316278904412,4.712383013802704,1.7495220142520307,1.5707963524116333,-0.1862642790350528,0.8137357209649472,3.51162576572861e-07,1.2333191994785264e-07
1.5,differential evolution,1.0606601715722015,1.0606601715722015,0.7071067810481343,1.9635005918316808,1.5707884063282942,1.9634902224746111,4.712396900760354,0.499998679737421,-0.500001320262579,1.951450112613884e-11,9.938653818685931e-12
