budget,a,rate
4000,1.45,0.775
4000,1.4,0.75
4000,1.35,0.65
4000,1.32,0.525
4000,1.3,0.45
64000,1.1,1.0
64000,1.07,0.975
64000,1.06,0.975
64000,1.05,0.95
64000,1.045,0.925
64000,1.04,0.675
64000,1.035,0.0
