family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.3,100047,2900,8.037302020736375,2900,8.037302020736375,0.0005688889583712609,True,2850,-0.0010880802504522613,7.896740448707228,7.989042870311085
Block 3,H10,1.3,100048,6400,8.781066248011877,6400,8.781066248011877,0.0001717457044083659,True,6350,-0.0012024361432771968,8.646065880699217,8.7641938572009
Block 3,H10,1.3,100049,4050,7.498650875304277,4050,7.498650875304277,0.0011110510773648663,True,4000,-0.0004128782127712505,7.3749681104733185,7.408477486022791
Block 3,H10,1.3,100050,6300,8.339968278852647,6300,8.339968278852647,0.0009621095207426045,True,6250,-0.0004116786120849092,8.218873169116458,8.255161345957713
Block 3,H10,1.3,100051,3850,8.920485497680904,3850,8.920485497680904,0.00037943890924418966,True,3800,-0.0009359630603809066,8.790861091255682,8.883094232865153
Block 3,H10,1.3,100052,5300,8.984359670156852,5300,8.984359670156852,5.266497465683528e-06,True,5250,-0.0011942245664546824,8.866423784619617,8.983841859677911
Block 3,H10,1.3,100053,4400,9.28710063495133,4400,9.28710063495133,0.00034244790751447596,True,4350,-0.0007994225493037632,9.164344395573844,9.250285935824861
Block 3,H10,1.3,100054,3950,9.832750629131944,3950,9.832750629131944,0.0009562327097949463,True,3900,-8.284846000572443e-05,9.706800380046618,9.716842698661686
Block 3,H10,1.3,100055,3700,7.779560084124944,3700,7.779560084124944,0.0013698997469155927,True,3650,-2.3709947596817216e-05,7.662355167264875,7.664349213695367
Block 3,H10,1.3,100056,4500,8.599279536223657,4500,8.599279536223657,0.0005755424624958039,True,4450,-0.0007184286833799014,8.475174608307892,8.544079189563558
Block 3,H10,1.3,100057,3350,7.8709663243136,3350,7.8709663243136,0.0004807332269272102,True,3300,-0.0009006386147496492,7.7488508880642835,7.828468753453537
Block 3,H10,1.3,100058,2650,5.493213957325872,2650,5.493213957325872,0.0003981125780549988,True,2600,-0.0019877605218225902,5.379715738587442,5.47427536898732
Block 3,H10,1.3,100059,3500,8.278859114440829,3500,8.278859114440829,0.0008978502072483074,True,3450,-0.0004581172033826242,8.14838961105247,8.192469080478055
Block 3,H10,1.3,100060,5300,9.39744593523668,5300,9.39744593523668,0.0009401185133151024,True,5250,-0.0002053668314476731,9.276301314391509,9.29802056819397
Block 3,H10,1.3,100061,3550,6.790451540931115,3550,6.790451540931115,2.654702234528017e-05,True,3500,-0.0016157433702801427,6.675982824677257,6.788601196082316
Block 3,H10,1.3,100062,2900,7.935592499793521,2900,7.935592499793521,0.001278469423317219,True,2850,-0.0002118079088835323,7.8018871428135235,7.820890217916759
Block 3,H10,1.3,100063,3100,7.8408861102004375,3100,7.8408861102004375,0.0006542457880458485,True,3050,-0.0007372712420958827,7.711225329276698,7.779923852494219
Block 3,H10,1.3,100064,4850,10.234674921387962,4850,10.234674921387962,0.00015659996747929839,True,4800,-0.001843710809254162,10.114069597209962,10.225232993631641
Block 3,H10,1.3,100065,4350,7.115938615580967,4350,7.115938615580967,0.001306530931882044,True,4300,-0.0010283866755589344,7.006145674870767,7.054502669112011
Block 3,H10,1.3,100066,3750,7.07654431904911,3750,7.07654431904911,0.0005440854354064051,True,3700,-0.0009597774920782065,6.96022968758871,7.034462626797996
