activation,monotonic,seed,budget,accuracy,perfect
relu,True,12,64000,0.9664999842643738,False
relu,True,13,64000,0.9794999957084656,False
relu,True,14,64000,0.9520000219345093,False
relu,True,15,64000,0.9355000257492065,False
relu,True,16,64000,0.9440000057220459,False
relu,True,17,64000,0.9359999895095825,False
relu,True,18,64000,0.9319999814033508,False
relu,True,19,64000,0.9975000023841858,False
gelu,False,0,64000,0.9984999895095825,False
gelu,False,1,64000,0.9884999990463257,False
gelu,False,2,64000,1.0,True
gelu,False,3,64000,0.9860000014305115,False
gelu,False,4,64000,0.987500011920929,False
gelu,False,5,64000,0.9810000061988831,False
gelu,False,6,64000,0.9624999761581421,False
gelu,False,7,64000,1.0,True
gelu,False,8,64000,0.9975000023841858,False
gelu,False,9,64000,1.0,True
gelu,False,10,64000,0.9909999966621399,False
gelu,False,11,64000,1.0,True
gelu,False,12,64000,0.9994999766349792,False
gelu,False,13,64000,0.9890000224113464,False
gelu,False,14,64000,0.996999979019165,False
gelu,False,15,64000,0.9919999837875366,False
gelu,False,16,64000,1.0,True
gelu,False,17,64000,1.0,True
gelu,False,18,64000,1.0,True
gelu,False,19,64000,1.0,True
