seed,step,adam_step,G,first_placement,placed_before,w1,b1,w2,b2
200000,1,1,-2.9018866874888745,False,False,0.5422462142975094,0.36167239225946574,-0.6527658608153184,-0.9579657224399167
200000,2,2,-2.871009591784338,False,False,0.532236759913011,0.35167452338206034,-0.6427739787976283,-0.9479682473182944
200000,3,3,-2.8389083948164444,False,False,0.522212856520974,0.3416805667720441,-0.6327961065107479,-0.9379751241598019
200000,4,4,-2.805566499618601,False,False,0.5121705014161838,0.3316925704466993,-0.6228385002515718,-0.9279882869579695
200000,5,5,-2.7709715980414815,False,False,0.5021066716946709,0.32171284445333964,-0.612907781055102,-0.9180097742441276
200000,6,6,-2.7351160271519084,False,False,0.4920193053199898,0.311743955320149,-0.6030109323330782,-0.9080417265165349
200000,7,7,-2.6979970868464496,False,False,0.48190727701267905,0.30178871926783457,-0.5931552943391056,-0.8980863830661674
200000,9,9,-2.6199847680869937,False,False,0.46160924976927686,0.28193166904616085,-0.57359873745303,-0.8782232364935059
200000,10,10,-2.579113162389081,False,False,0.4514254247086336,0.2720366541274325,-0.5639141818998069,-0.8683203680160618
200000,12,12,-2.4937372135081626,False,False,0.4309997358983423,0.25233221354669544,-0.5447756726844811,-0.8485849796580068
200000,14,14,-2.4037186406925306,False,False,0.41052099264702424,0.23276880410299147,-0.5260051624943476,-0.828961449726432
200000,17,17,-2.2607252415558032,False,False,0.3797910331715968,0.2037638899844366,-0.49870471977580805,-0.7997851427817853
200000,20,20,-2.109534855279617,False,False,0.3492014222936536,0.17527684666081927,-0.47266230732317616,-0.7709890422787172
200000,24,24,-1.898544899915724,False,False,0.3089920865503217,0.1383156853039388,-0.4403360332792126,-0.7333207109195403
200000,28,28,-1.6817356279877642,False,False,0.26993468553082833,0.10277861912196151,-0.41124663003717815,-0.6966448878666978
200000,33,33,-1.4111738690771989,False,False,0.22353014370730545,0.06071769772542619,-0.38007302084508826,-0.6524357627085097
200000,38,38,-1.1506353526731767,False,False,0.18060570481653143,0.021571731080154297,-0.35508278685002964,-0.610275321702147
