tag,A_lo,A_hi,centre_p,centre_q,ring_certified,ring_boxes,ring_depth,ring_final_side,ring_grad_lower,ring_left,outer_certified,outer_margin,branch_upper,localised,outer_P,outer_lower,outer_attained,outer_rounds,outer_peak_cells,outer_final_h,certified
annulus,0.66,0.66125,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0032786344759717072,0,True,0.00012143088519894762,0.3580445932238794,True,24.0,0.35816602410907833,0.36206192405277166,7,39072,0.001953125,True
annulus,0.66125,0.6625,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0034964123534474757,0,True,0.00010973790943336059,0.3577679922062697,True,24.0,0.35787773011570306,0.36191458594644144,7,39072,0.001953125,True
annulus,0.6625,0.6637500000000001,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0037138894798954105,0,True,0.0001473779234199557,0.35749184477388235,True,24.0,0.3576392226973023,0.361680897481083,7,39072,0.001953125,True
annulus,0.6637500000000001,0.665,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.00393106563656581,0,True,0.00011710739847003993,0.35721614906818394,True,24.0,0.357333256466654,0.36190765338084546,7,39072,0.001953125,True
annulus,0.665,0.66625,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004147940614521805,0,True,0.00012804862090237679,0.35694090324173156,True,24.0,0.35706895186263393,0.3616682497946411,7,39072,0.001953125,True
annulus,0.66625,0.6675,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004364514214531496,0,True,0.00011052635465363947,0.3566661054580964,True,24.0,0.35677663181275004,0.3614292489985479,7,39072,0.001953125,True
annulus,0.6675,0.6687500000000001,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.004580786246960225,0,True,0.00011133024209930564,0.3563917538917919,True,24.0,0.3565030841338912,0.36119064919793936,7,39072,0.001953125,True
annulus,0.6687500000000001,0.67,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.0047967565316644764,0,True,0.00010394445241923567,0.3561178467281983,True,24.0,0.35622179118061753,0.3609524486101202,7,39072,0.001953125,True
annulus,0.67,0.67125,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005012424897886219,0,True,0.00014671450140041342,0.35584438216349124,True,24.0,0.35599109666489165,0.36071464546424037,7,39072,0.001953125,True
annulus,0.67125,0.6725,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005227791184149336,0,True,0.0001402330172119437,0.35557135840456816,True,24.0,0.3557115914217801,0.36047723800120823,7,39072,0.001953125,True
annulus,0.6725,0.67375,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005442855238156272,0,True,0.00013439325453440398,0.3552987736689775,True,24.0,0.3554331669235119,0.3602402244736051,7,39072,0.001953125,True
annulus,0.67375,0.675,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005657616916686122,0,True,0.00010544106802345965,0.35502662618484665,True,24.0,0.3551320672528701,0.35997112080882554,7,39072,0.001953125,True
annulus,0.675,0.67625,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.005872076085494008,0,True,0.00012462991929013123,0.354754914190811,True,24.0,0.35487954411010114,0.35967239595801703,7,39072,0.001953125,True
annulus,0.67625,0.6775,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006086232619210703,0,True,0.0001207018863781939,0.3544836359359445,True,24.0,0.3546043378223227,0.3593741402929953,7,39072,0.001953125,True
annulus,0.6775,0.67875,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006300086401244217,0,True,0.00011740665208909151,0.3542127896796886,True,24.0,0.3543301963317777,0.3590763521443695,7,39072,0.001953125,True
annulus,0.67875,0.68,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006269426611241045,0,True,0.00011474200381972333,0.3539423736917839,True,24.0,0.3540571156956036,0.35877902985156146,7,39072,0.001953125,True
annulus,0.68,0.68125,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006448153248152923,0,True,0.00010838062406592908,0.35367238625220077,True,24.0,0.3537807668762667,0.35848217176275243,7,39072,0.001953125,True
annulus,0.68125,0.6825,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006664676662811326,0,True,0.00011129563463846415,0.35340282565107156,True,24.0,0.35351412128571,0.3581857762348295,7,39072,0.001953125,True
annulus,0.6825,0.68375,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.006880903600311879,0,True,0.00011050953083602266,0.3531336901886221,True,24.0,0.35324419971945814,0.35788984163333337,7,39072,0.001953125,True
annulus,0.68375,0.685,1.6685791015625,1.3697166410041663,True,540,0,0.0125,0.007096833897468905,0,True,0.00011034522505698474,0.35286497817510487,True,24.0,0.35297532340016186,0.3575943663324058,7,39072,0.001953125,True
