part,eps,K_vertex,K_bnb_lo,K_bnb_hi,vertex_in_bnb,alpha,alpha_first_order,kappa,kappa_first_order,dev,dev_first_order,excess_over_first_order,A_higher_order,K_higher_order,product_term
vertex_check,0.05,0.5688635443559584,0.5688635443530023,0.5688635494685444,True,,,,,,,,,,
vertex_check,0.3,0.5240073039698625,0.5240073039658696,0.5240073070910424,True,,,,,,,,,,
vertex_check,0.6,0.48276265063846957,0.4827626506225842,0.48276265312065425,True,,,,,,,,,,
vertex_check,1.0,0.4410368294581236,0.4410368294400451,0.441036832106727,True,,,,,,,,,,
vertex_check,1.5,0.401987324007397,0.4019873239760868,0.40198732737898746,True,,,,,,,,,,
vertex_check,2.0,0.3720471168820168,0.37204711686378394,0.3720471193897827,True,,,,,,,,,,
decomposition,0.30000000000000004,,,,,0.1881255176138099,0.19864641281865572,-0.09570539272189604,-0.11307741698260237,0.07441549834767422,0.08556899583605332,-0.0111534974883791,-0.01052089520484581,0.01737202426070633,-0.01800462654423965
decomposition,0.3500000000000001,,,,,0.2177805550871339,0.23175414828843172,-0.10893310368545583,-0.13192365314636945,0.08512393961369519,0.09983049514206221,-0.014706555528367027,-0.013973593201297818,0.022990549460913612,-0.023723511787982883
decomposition,0.3999999999999999,,,,,0.2479423011253108,0.2648618837582076,-0.1215627879973783,-0.15076988931013646,0.0962389557406542,0.11409199444807105,-0.01785303870741685,-0.01691958263289678,0.029207101312758166,-0.030140557387278288
decomposition,0.44999999999999996,,,,,0.27440367654278,0.29796961922798354,-0.13363005470251665,-0.16961612547390353,0.10410504353327994,0.12835349375407995,-0.024248450220800008,-0.023565942685203567,0.03598607077138688,-0.036668578306983377
decomposition,0.5,,,,,0.30562147182538335,0.3310773546977595,-0.14517789898615974,-0.1884623616376706,0.11607408967455665,0.14261499306008885,-0.026540903385532194,-0.025455882872376157,0.04328446265151087,-0.04436948316466697
decomposition,0.6000000000000001,,,,,0.3603139820437127,0.39729282563731144,-0.1668972457746647,-0.22615483396520475,0.13328132505185036,0.17113799167210664,-0.037856666620256274,-0.036978843593598765,0.059257588190540056,-0.060135411217197635
