group,a,seed,init_branch,branch,R_cross,matches_init
B45 free crossing,1.3,200089,-1,1,0.22711658591562162,False
B45 free crossing,1.3,200090,-1,1,0.23610924873937414,False
B45 free crossing,1.3,200091,1,-1,0.2447303635403376,False
B45 free crossing,1.3,200092,1,-1,0.2324206378375586,False
B45 free crossing,1.3,200093,1,1,0.2534242767270555,True
B45 free crossing,1.3,200094,1,-1,0.20485729305034467,False
B45 free crossing,1.3,200095,1,1,0.20776565481536585,True
B45 free crossing,1.3,200096,1,1,0.21165745332531355,True
B45 free crossing,1.3,200097,1,-1,0.23877624210924983,False
B45 free crossing,1.3,200098,-1,1,0.24657586883988397,False
B45 free crossing,1.3,200099,-1,1,0.2296488866350703,False
B45 free crossing,1.3,200100,1,1,0.21123637594429914,True
B45 free crossing,1.3,200101,1,1,0.22913068323680294,True
B45 free crossing,1.3,200102,-1,-1,0.20388169114633642,True
B45 free crossing,1.3,200103,1,-1,0.25334450515199064,False
B45 free crossing,1.3,200104,1,-1,0.21838317000358654,False
B45 free crossing,1.3,200105,-1,1,0.2169239574746051,False
B45 free crossing,1.3,200107,1,-1,0.23674210124582018,False
B45 free crossing,1.3,200108,-1,-1,0.24155138679657956,True
B45 free crossing,1.3,200109,1,-1,0.25592388730915927,False
B45 free crossing,1.3,200110,1,-1,0.23648047893844176,False
B45 free crossing,1.3,200111,-1,-1,0.21291865170253021,True
B45 free crossing,1.3,200112,1,-1,0.23192616500990595,False
B45 free crossing,1.3,200114,-1,-1,0.2069533985324709,True
B45 free crossing,1.3,200115,1,-1,0.23198557842303055,False
B45 free crossing,1.3,200116,-1,-1,0.21295921787740568,True
B45 free crossing,1.3,200117,1,1,0.23213232229689112,True
B45 free crossing,1.3,200118,1,1,0.2512666062799473,True
B45 free crossing,1.3,200119,-1,1,0.21999130203822637,False
B45 free crossing,1.3,200120,-1,1,0.21562750347282672,False
B45 free crossing,1.3,200121,1,-1,0.2191046036333233,False
B45 free crossing,1.3,200122,-1,1,0.2013882298526776,False
B45 free crossing,1.3,200123,1,1,0.21951375301994067,True
B45 free crossing,1.3,200124,-1,-1,0.22268179003482017,True
B45 free crossing,1.3,200125,1,1,0.22472224231338894,True
B45 free crossing,1.3,200126,1,1,0.25922130415825123,True
B45 free crossing,1.3,200127,1,1,0.17916044670274192,True
B45 free crossing,1.3,200128,-1,1,0.21645781848969764,False
B45 free crossing,1.3,200129,-1,1,0.20278150999544617,False
B45 free crossing,1.3,200130,1,-1,0.26653148022516365,False
B45 free crossing,1.3,200131,-1,1,0.23253615693716473,False
B45 free crossing,1.3,200132,-1,-1,0.23891355574884438,True
B45 free crossing,1.3,200133,1,1,0.21794311434051644,True
B45 free crossing,1.3,200134,1,1,0.22424778878616597,True
B45 free crossing,1.3,200135,-1,-1,0.19824288984028046,True
B45 free crossing,1.3,200136,-1,1,0.24538724029860784,False
B45 free crossing,1.3,200137,-1,-1,0.2411990807308049,True
B45 free crossing,1.3,200138,-1,1,0.22134738566301118,False
B45 free crossing,1.3,200139,-1,-1,0.20469203239564707,True
B45 free crossing,1.3,200140,-1,-1,0.21116979698691954,True
B45 free crossing,1.3,200141,1,1,0.25723927460110996,True
B45 free crossing,1.3,200142,-1,1,0.2196633186464655,False
B45 free crossing,1.3,200143,-1,1,0.26617796590060355,False
B45 free crossing,1.3,200144,-1,-1,0.20307027992216753,True
B45 free crossing,1.3,200145,1,1,0.23688500855454703,True
B45 free crossing,1.3,200146,-1,1,0.2158059988616018,False
B45 free crossing,1.3,200147,1,-1,0.2179807667017753,False
B45 free crossing,1.3,200148,-1,-1,0.2316334234593214,True
B45 free crossing,1.3,200149,-1,1,0.22270592132600434,False
B45 free crossing,1.3,200150,-1,-1,0.21545673741772375,True
B45 free crossing,1.3,200151,1,1,0.25432313560383124,True
B45 free crossing,1.3,200152,1,-1,0.21197799848392285,False
B45 free crossing,1.3,200153,1,-1,0.230228932845123,False
B45 free crossing,1.3,200154,-1,1,0.23540895857387958,False
B45 free crossing,1.3,200155,1,1,0.22606486128093045,True
B45 free crossing,1.3,200156,-1,1,0.2166898143311599,False
B45 free crossing,1.3,200157,-1,-1,0.20763895112427944,True
B45 free crossing,1.3,200158,1,1,0.2215849182147105,True
B45 free crossing,1.3,200159,-1,-1,0.26271155879832264,True
B45 free crossing,1.3,200160,1,1,0.22788745327356125,True
B45 free crossing,1.3,200161,-1,-1,0.20286778883402237,True
B45 free crossing,1.3,200163,-1,1,0.24495073688490873,False
B45 free crossing,1.3,200164,-1,1,0.26776309457397696,False
B45 free crossing,1.3,200165,1,-1,0.21840666178590648,False
B45 free crossing,1.3,200166,-1,-1,0.2548069159913307,True
B45 free crossing,1.3,200167,1,-1,0.24134860336141226,False
B45 free crossing,1.3,200168,1,1,0.217787761847703,True
B45 free crossing,1.3,200169,1,1,0.21852548859831936,True
B45 free crossing,1.3,200170,1,-1,0.2145435697098156,False
B45 free crossing,1.3,200171,-1,1,0.2307631930468578,False
B45 free crossing,1.3,200172,-1,1,0.24885028767095685,False
B45 free crossing,1.3,200173,1,1,0.24535688862740335,True
B45 free crossing,1.3,200174,1,-1,0.22948778239885953,False
B45 free crossing,1.3,200175,1,-1,0.2681216985347229,False
B45 free crossing,1.3,200176,1,1,0.2215359856002381,True
B45 free crossing,1.3,200177,1,-1,0.221331376749728,False
B45 free crossing,1.3,200178,-1,1,0.2285299797959052,False
B45 free crossing,1.3,200179,1,1,0.22728705043865838,True
phase 2b crossing a=1.30,1.3,0,1,1,0.2117248350833405,True
phase 2b crossing a=1.30,1.3,1,-1,1,0.2268609933978354,False
phase 2b crossing a=1.30,1.3,2,1,-1,0.2169291840744494,False
