a,gstar,w2_fold,w2_glob,w2_spin,R_fold,R_glob,R_spin
1.35,0.1067705918459203,4.030000000000027,4.039999999999973,4.040000000000002,0.21514274256953084,0.2156765955287576,0.21567659552875912
1.4,0.1286030010801844,3.370000000000026,3.3799999999999835,3.3800000000000017,0.2166960568201124,0.2173390718255106,0.21733907182551176
1.45,0.1512839606725933,2.8900000000000214,2.8999999999999893,2.9000000000000012,0.21860532317189896,0.21936174297525948,0.2193617429752604
1.5,0.17447768424209897,2.5200000000000253,2.529999999999993,2.530000000000001,0.2198418821450469,0.22071427056625462,0.2207142705662553
1.6,0.22290642494654067,2.0000000000000298,2.01,2.0100000000000007,0.22290642494654397,0.22402095707127334,0.22402095707127345
