activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs,gstar,R,bin
pwl_family,-0.05,0,171,False,0.4950605034828186,0.1182312965393066,0.16000000000000014,0.03960484027862552,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,1,190,False,0.8640610575675964,0.5434027314186096,0.16000000000000014,0.06912488460540778,"(0.0527, 0.129]"
pwl_family,-0.05,2,0,True,11.401649475097656,10.826340675354004,0.16000000000000014,0.9121319580078133,"(0.821, 0.927]"
pwl_family,-0.05,3,180,False,1.2841777801513672,0.9388808012008668,0.16000000000000014,0.10273422241210947,"(0.0527, 0.129]"
pwl_family,-0.05,4,192,False,0.6124112010002136,0.0256962031126022,0.16000000000000014,0.04899289608001713,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,5,0,True,10.819090843200684,8.830707550048828,0.16000000000000014,0.8655272674560555,"(0.821, 0.927]"
pwl_family,-0.05,6,0,True,12.361721992492676,8.708508491516113,0.16000000000000014,0.988937759399415,"(0.927, 1.2]"
pwl_family,-0.05,7,0,True,10.43368434906006,10.856285095214844,0.16000000000000014,0.8346947479248056,"(0.821, 0.927]"
pwl_family,-0.05,8,198,False,0.7774716019630432,0.0043304399587213,0.16000000000000014,0.06219772815704351,"(0.0527, 0.129]"
pwl_family,-0.05,9,0,True,9.671133041381836,10.772241592407228,0.16000000000000014,0.7736906433105476,"(0.598, 0.821]"
pwl_family,-0.05,10,197,False,2.943847894668579,0.5710939764976501,0.16000000000000014,0.23550783157348654,"(0.228, 0.365]"
pwl_family,-0.05,11,0,True,11.222702980041504,10.307851791381836,0.16000000000000014,0.8978162384033211,"(0.821, 0.927]"
pwl_family,-0.05,12,202,False,1.5195744037628174,0.6457445025444031,0.16000000000000014,0.1215659523010255,"(0.0527, 0.129]"
pwl_family,-0.05,13,0,True,9.96822452545166,10.241174697875977,0.16000000000000014,0.7974579620361335,"(0.598, 0.821]"
pwl_family,-0.05,14,189,False,0.4388113915920257,0.1011143401265144,0.16000000000000014,0.035104911327362084,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,15,0,True,11.782559394836426,9.928369522094728,0.16000000000000014,0.9426047515869149,"(0.927, 1.2]"
pwl_family,-0.05,16,0,True,12.22421646118164,10.492958068847656,0.16000000000000014,0.9779373168945321,"(0.927, 1.2]"
pwl_family,-0.05,17,0,True,11.31178092956543,8.571218490600586,0.16000000000000014,0.9049424743652352,"(0.821, 0.927]"
pwl_family,-0.05,18,199,False,1.4212079048156738,0.4954476952552795,0.16000000000000014,0.113696632385254,"(0.0527, 0.129]"
pwl_family,-0.05,19,0,True,10.00587272644043,10.307634353637695,0.16000000000000014,0.8004698181152351,"(0.598, 0.821]"
pwl_family,-0.05,20,0,True,12.56114387512207,8.988382339477539,0.16000000000000014,1.0048915100097666,"(0.927, 1.2]"
pwl_family,-0.05,21,194,False,1.2631628513336182,0.2137314230203628,0.16000000000000014,0.10105302810668955,"(0.0527, 0.129]"
pwl_family,-0.05,22,202,False,0.0212350264191627,0.0117487283423542,0.16000000000000014,0.0016988021135330177,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,23,0,True,10.959942817687988,10.982741355895996,0.16000000000000014,0.8767954254150399,"(0.821, 0.927]"
pwl_family,-0.05,24,190,False,1.3811092376708984,0.4718304276466369,0.16000000000000014,0.11048873901367197,"(0.0527, 0.129]"
pwl_family,-0.05,25,195,False,2.972531318664551,0.663281261920929,0.16000000000000014,0.23780250549316428,"(0.228, 0.365]"
pwl_family,-0.05,26,0,True,11.663278579711914,10.0332670211792,0.16000000000000014,0.933062286376954,"(0.927, 1.2]"
pwl_family,-0.05,27,0,True,8.11713695526123,11.420254707336426,0.16000000000000014,0.649370956420899,"(0.598, 0.821]"
pwl_family,-0.05,28,0,True,9.65457820892334,10.52059555053711,0.16000000000000014,0.7723662567138678,"(0.598, 0.821]"
pwl_family,-0.05,29,0,True,8.880941390991211,9.38828182220459,0.16000000000000014,0.7104753112792975,"(0.598, 0.821]"
pwl_family,-0.05,30,202,False,0.3388174772262573,0.0336030609905719,0.16000000000000014,0.02710539817810061,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,31,0,True,10.54912567138672,9.995224952697754,0.16000000000000014,0.8439300537109384,"(0.821, 0.927]"
pwl_family,-0.05,32,0,True,9.332776069641112,11.118014335632324,0.16000000000000014,0.7466220855712896,"(0.598, 0.821]"
pwl_family,-0.05,33,215,False,0.5504955649375916,0.1656561344861984,0.16000000000000014,0.04403964519500737,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,34,0,True,10.599236488342283,10.65779972076416,0.16000000000000014,0.8479389190673834,"(0.821, 0.927]"
pwl_family,-0.05,35,0,True,11.890130996704102,8.16606616973877,0.16000000000000014,0.951210479736329,"(0.927, 1.2]"
pwl_family,-0.05,36,190,False,5.009840488433838,0.5902801752090454,0.16000000000000014,0.40078723907470737,"(0.365, 0.598]"
pwl_family,-0.05,37,0,True,10.99308967590332,10.436205863952637,0.16000000000000014,0.8794471740722664,"(0.821, 0.927]"
pwl_family,-0.05,38,180,False,1.0393813848495483,0.2362704277038574,0.16000000000000014,0.08315051078796394,"(0.0527, 0.129]"
pwl_family,-0.05,39,0,True,8.862394332885742,11.139354705810549,0.16000000000000014,0.7089915466308601,"(0.598, 0.821]"
pwl_family,-0.05,40,188,False,0.4683878123760223,0.1431657075881958,0.16000000000000014,0.037471024990081814,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,41,2,False,10.907448768615724,9.201396942138672,0.16000000000000014,0.8725959014892587,"(0.821, 0.927]"
pwl_family,-0.05,42,193,False,0.4208357334136963,0.1449512392282486,0.16000000000000014,0.03366685867309573,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,43,0,True,13.13283920288086,8.794222831726074,0.16000000000000014,1.0506271362304698,"(0.927, 1.2]"
pwl_family,-0.05,44,0,True,12.024311065673828,9.50603199005127,0.16000000000000014,0.9619448852539071,"(0.927, 1.2]"
pwl_family,-0.05,45,0,True,8.16104507446289,11.424112319946287,0.16000000000000014,0.6528836059570319,"(0.598, 0.821]"
pwl_family,-0.05,46,0,True,11.25892734527588,9.032916069030762,0.16000000000000014,0.9007141876220712,"(0.821, 0.927]"
pwl_family,-0.05,47,0,True,8.712043762207031,10.793736457824709,0.16000000000000014,0.6969635009765631,"(0.598, 0.821]"
pwl_family,-0.05,48,190,False,0.8763854503631592,0.4512435793876648,0.16000000000000014,0.0701108360290528,"(0.0527, 0.129]"
pwl_family,-0.05,49,0,True,9.215439796447754,8.885904312133789,0.16000000000000014,0.737235183715821,"(0.598, 0.821]"
pwl_family,-0.05,50,0,True,11.092615127563477,8.571700096130371,0.16000000000000014,0.8874092102050789,"(0.821, 0.927]"
pwl_family,-0.05,51,0,True,8.483015060424805,12.746220588684082,0.16000000000000014,0.6786412048339849,"(0.598, 0.821]"
pwl_family,-0.05,52,0,True,11.871838569641112,10.79973316192627,0.16000000000000014,0.9497470855712897,"(0.927, 1.2]"
pwl_family,-0.05,53,0,True,10.253783226013184,10.350726127624512,0.16000000000000014,0.8203026580810554,"(0.598, 0.821]"
pwl_family,-0.05,54,0,True,12.0513334274292,8.667643547058105,0.16000000000000014,0.9641066741943368,"(0.927, 1.2]"
pwl_family,-0.05,55,0,True,10.338167190551758,10.406641960144045,0.16000000000000014,0.8270533752441414,"(0.821, 0.927]"
pwl_family,-0.05,56,0,True,9.14797306060791,10.509292602539062,0.16000000000000014,0.7318378448486335,"(0.598, 0.821]"
pwl_family,-0.05,57,186,False,0.735689640045166,0.0349273905158042,0.16000000000000014,0.05885517120361333,"(0.0527, 0.129]"
pwl_family,-0.05,58,0,True,10.47062873840332,9.77956485748291,0.16000000000000014,0.8376502990722664,"(0.821, 0.927]"
pwl_family,-0.05,59,189,False,0.2338107526302337,0.0487032309174537,0.16000000000000014,0.018704860210418714,"(0.0006999999999999999, 0.0527]"
pwl_family,-0.05,60,0,True,10.49716854095459,11.219645500183104,0.16000000000000014,0.8397734832763679,"(0.821, 0.927]"
pwl_family,-0.05,61,0,True,10.353045463562012,11.277607917785645,0.16000000000000014,0.8282436370849616,"(0.821, 0.927]"
