a,seed,spec_product,eval_errors
1.02,0,73.84641917588866,23
1.02,1,14.032827840822218,70
1.02,2,4.859309089268111,97
1.02,3,152.79003906150737,7
1.02,4,94.73962479487156,94
1.02,5,20.73758986234887,71
1.02,6,33.099650307255615,80
1.02,7,15.95084388824025,89
1.02,8,72.21836509649351,70
1.02,9,139.69587665481947,16
1.05,0,17.887407555791462,49
1.05,1,12.739991747381826,64
1.05,2,4.988146491335637,98
1.05,3,333.0397545670398,12
1.05,4,97.97441561769305,82
1.05,5,18.325774194994302,83
1.05,6,31.54761376583277,77
1.05,7,14.821726971777732,87
1.05,8,67.09581757518608,71
1.05,9,313.80659552951425,8
1.09,0,10.193219894327909,63
1.09,1,31.05201945114711,70
1.09,2,65.11074129239962,88
1.09,3,281.1713260472897,11
1.09,4,77.69524631301643,0
1.09,5,16.586715694122482,77
1.09,6,29.138081499189987,80
1.09,7,13.773674989225842,89
1.09,8,56.30085415999222,76
1.09,9,260.7825427987228,15
1.25,0,51.65320049255549,0
1.25,1,25.08036604058303,72
1.25,2,6.588526466732414,91
1.25,3,138.26160595269118,61
1.25,4,33.72775455844813,0
1.25,5,12.602409277113676,75
1.25,6,136.3947313877169,10
1.25,7,8.576391581781316,86
1.25,8,50.08370051393532,94
1.25,9,8.192977332536044,89
3.0,0,1.2921794305154937,0
3.0,1,0.6312166711727686,67
3.0,2,8.238912079584464,9
3.0,3,12.167142595014408,15
3.0,4,0.8399169836011537,0
3.0,5,6.31719464249783,16
3.0,6,24.494650834965178,10
3.0,7,2.002564902298354,0
3.0,8,4.497149854407684,1
3.0,9,2.896665595614093,0
