window,a,n_crossed,obs_median_cross_R,B1,B2,C,U,abslogerr_U,abslogerr_C,abslogerr_B1,abslogerr_B2,U_logerr,U_in_expected_range
H10,1.3,88,0.21190070200301653,0.1481755694447343,0.2280329273471252,0.2187923953125538,0.1962499999999999,0.07672842150391965,0.03200553543621179,0.35771992744451686,0.07337225854984666,-0.07672842150391965,False
H10,1.5,88,0.22591990884289925,0.1609042460024693,0.2280329273471252,0.2343359302444753,0.2012499999999998,0.11563263451329155,0.036575134393546774,0.33937110808493554,0.00930948590432051,-0.11563263451329155,True
H35,1.3,86,0.22960570757603274,0.2326649611276435,0.2280329273471252,0.2362121720094132,0.2118749999999999,0.08036704478235311,0.028366912157778208,0.01323596075338018,0.006873486200783671,-0.08036704478235311,True
H35,1.5,87,0.2475787548917335,0.2523131644106304,0.2280329273471252,0.2547129676570385,0.2187499999999999,0.12379920773839664,0.02840856116844156,0.018942298918211094,0.08223869625983629,-0.12379920773839664,True
H65,1.3,87,0.2414903786981187,0.3231355847816418,0.2280329273471252,0.246664038027529,0.22125,0.08753634865162135,0.02119760828851033,0.2912423697312495,0.0573395958233766,-0.08753634865162135,True
H65,1.5,87,0.26791283043100883,0.34990325799447,0.2280329273471252,0.2707234970526239,0.2324999999999999,0.1417714429892861,0.010436325917552475,0.2669950425295725,0.16117163130041304,-0.1417714429892861,True
H90,1.3,88,0.24165795672978374,0.3951586702722069,0.2280329273471252,0.246664038027529,0.22125,0.0882300405308932,0.02050391640923841,0.49176405671525586,0.05803328770264845,-0.0882300405308932,True
H90,1.5,88,0.27037398255182554,0.4273784819934655,0.2280329273471252,0.2707234970526239,0.2324999999999999,0.15091589613868756,0.0012918727681511795,0.45786387415641144,0.17031608444981441,-0.15091589613868756,True
