quantile,target_kappa0,i,o1,o2,K_lo,K_hi,u,v,argmax_near_box_edge,kappa0_lo,kappa0_hi
0.1,0.19079278280707196,0.6,0.8,2.0,0.3601639465349631,0.3601866721202895,1.810714340209961,-1.2674999237060525,False,0.1910057767003361,0.1910178287619542
0.35,0.3036848225103796,0.6,0.9,1.7,0.5670517798897916,0.5670898257210535,1.980635833740234,1.236627960205079,False,0.3007246191329799,0.3007447959819407
0.65,0.4163381074794,0.8,1.4,2.2,0.7898668755444336,0.789908366431944,1.454547882080078,1.2444465637207045,False,0.4188901679490748,0.4189121718150118
0.9,0.5201898626557467,0.7,1.5,2.7,0.9678146515161204,0.9678649524042612,1.267817687988281,1.3181289672851573,False,0.5132612272640581,0.513287903338386
