family,threshold,R_frozen,R_scaled,diff,one_grid_step,pass
A,glob,0.215254,0.21359342,-0.0016605799999999948,0.002152545,True
A,solve,0.307814,0.30615285500000006,-0.0016611449999999195,0.002152545,True
q2,glob,0.204983,0.20498323999999998,2.399999999846969e-07,0.002152545,True
q2,solve,0.29539,0.29539013,1.299999999870849e-07,0.002152545,True
