A,region,upper,lower,encl,b2_validated,hessian_pd,active_set_unique,hess_lambda_min_lo,dG_dA_lo,dG_dA_hi,outer_active,inner_active,G_lo,G_hi
0.68125,-,0.35340230546463064,0.3534023054607635,"(1.669555664, 1.669565201, 1.370778062, 1.370789495)",True,True,True,0.14709644658852308,1.6990986639688395,1.7045769969537414,end -1.2,end 0.8,-0.007148654469202328,-0.0070323187076109656
0.68125,+,0.35340311388101087,0.353403113874363,"(1.669104734, 1.669113855, 1.368884603, 1.368887682)",True,True,True,0.14719463189692253,1.689611271299733,1.6930091895561257,end -1.2,end 0.8,-3.260315660472704e-05,3.254928131097912e-05
0.684375,-,0.3527307735378422,0.3527307735340822,"(1.668455124, 1.668464661, 1.369621361, 1.369630889)",True,True,True,0.14706328575959263,1.6827674329820492,1.687780100419552,end -1.2,end 0.8,-0.0018528461421217308,-0.001747778808283435
0.684375,+,0.3527308258824738,0.35273082587570576,"(1.668339804, 1.668348961, 1.369142619, 1.369145708)",True,True,True,0.1471008656392167,1.6809169430796551,1.68431665371858,end -1.2,end 0.8,-3.2795225158753547e-05,3.258435622540006e-05
0.6875,-,0.35206080417852953,0.35206080417203284,"(1.667581409, 1.667590439, 1.369398072, 1.369401113)",True,True,True,0.1470069631867066,1.672312141666428,1.6756524613003598,end -1.2,end 0.8,-3.215730661806879e-05,3.226483441581716e-05
0.6875,+,0.35206061220947066,0.3520606122055595,"(1.667360306, 1.667369843, 1.368472283, 1.368481811)",True,True,True,0.14702395017385636,1.666435924395437,1.6714291761028601,end -1.2,end 0.8,0.0033898853697309893,0.0034948565964994624
