arm,seed,w2,R,loss_run,loss_min,excess,gap_min
jump,0,5.157639905032564,0.22121917393365667,0.6925460369221845,0.3430069504954467,0.3495390864267378,0.006383508888389677
jump,1,5.66063272841083,0.24279331616365693,0.6930198902135021,0.32781000282256784,0.36520988739093424,0.020337884789745964
jump,2,4.767369928527418,0.20447988941529888,0.6930920468041424,0.35533467938669216,0.3377573674174502,-0.006629453220205139
jump,3,6.078289786795717,0.2607072750953987,0.691406339037867,0.3157428647810903,0.37566347425677665,0.030039291926126754
jump,4,5.124079703401694,0.2197797248409459,0.69314631295365,0.3440480472074454,0.3490982657462046,0.005347498789694427
jump,5,4.467784099359463,0.1916301886081336,0.6928397054470062,0.3651398200118328,0.3276998854351734,-0.01826420922962413
jump,6,4.622519292596709,0.19826702100758206,0.6930673098916291,0.36003708529607303,0.3330302245955561,-0.012055603578424723
jump,7,4.995918037124025,0.21428267222270425,0.6931170695884395,0.34805627588158006,0.3450607937068595,0.0012540512354015654
jump,8,4.791165164247346,0.20550050397669598,0.6931452205714911,0.3545689207497138,0.3385762998217773,-0.005771331173055394
jump,11,4.800066388188464,0.20588229127544308,0.6928892660809877,0.3542829509583828,0.33860631512260486,-0.005452650276734694
jump,12,4.712087411528589,0.20210873652974723,0.6926582906907681,0.35712101861439705,0.3355372720763711,-0.008658626653651691
jump,13,5.733954914088428,0.24593821841454527,0.6920386271186202,0.3256563678759993,0.3663822592426209,0.022152223691716877
cold_high,0,5.7499999999999964,0.24662641703182145,0.6925448376065603,0.3251871175535331,0.3673577200530272,0.02254257414680705
cold_high,1,5.7499999999999964,0.24662641703182145,0.693016863172041,0.3251871175535331,0.36782974561850795,0.02254257414680705
cold_high,2,5.7499999999999964,0.24662641703182145,0.6930918288237004,0.3251871175535331,0.3679047112701673,0.02254257414680705
cold_high,3,5.7499999999999964,0.24662641703182145,0.6914577410089388,0.3251871175535331,0.3662706234554057,0.02254257414680705
cold_high,4,5.7499999999999964,0.24662641703182145,0.6931463105035565,0.3251871175535331,0.3679591929500234,0.02254257414680705
cold_high,5,5.7499999999999964,0.24662641703182145,0.692845589643776,0.3251871175535331,0.3676584720902429,0.02254257414680705
cold_high,6,5.7499999999999964,0.24662641703182145,0.6930655916931053,0.3251871175535331,0.36787847413957225,0.02254257414680705
cold_high,7,5.7499999999999964,0.24662641703182145,0.693121598782809,0.3251871175535331,0.3679344812292759,0.02254257414680705
cold_high,8,5.7499999999999964,0.24662641703182145,0.6931452094237077,0.3251871175535331,0.36795809187017464,0.02254257414680705
cold_high,10,5.7499999999999964,0.24662641703182145,0.69187346630617,0.3251871175535331,0.3666863487526369,0.02254257414680705
cold_high,11,5.7499999999999964,0.24662641703182145,0.692887927436385,0.3251871175535331,0.367700809882852,0.02254257414680705
cold_high,12,5.7499999999999964,0.24662641703182145,0.6926747517475144,0.3251871175535331,0.3674876341939813,0.02254257414680705
